q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,68.945112,157.11432,-88.169208,151327.981233+63.759362i,38.317480-0.001479i
0.02,68.68988,156.514911,-87.82503100000001,151327.981233+63.759362i,38.317480-0.001479i
0.04,67.929686,154.729795,-86.80010899999999,151327.981233+63.759362i,38.317480-0.001479i
0.06,66.680846,151.797845,-85.11699899999999,151327.981233+63.759362i,38.317480-0.001479i
0.08,64.969928,147.782361,-82.81243300000001,151327.981233+63.759362i,38.317480-0.001479i
0.1,62.832854,142.768895,-79.93604099999999,151327.981233+63.759362i,38.317480-0.001479i
0.12,60.31369,136.862364,-76.548674,151327.981233+63.759362i,38.317480-0.001479i
0.14,57.463197,130.183554,-72.72035699999998,151327.981233+63.759362i,38.317480-0.001479i
0.16,54.337185,122.865189,-68.52800400000001,151327.981233+63.759362i,38.317480-0.001479i
0.18,50.994769,115.047734,-64.052965,151327.981233+63.759362i,38.317480-0.001479i
0.2,47.496572,106.875102,-59.37853,151327.981233+63.759362i,38.317480-0.001479i
0.22,43.902974,98.490442,-54.587468,151327.981233+63.759362i,38.317480-0.001479i
0.24,40.272458,90.032185,-49.759727,151327.981233+63.759362i,38.317480-0.001479i
0.26,36.660114,81.630479,-44.970364999999994,151327.981233+63.759362i,38.317480-0.001479i
0.28,33.116364,73.404132,-40.28776800000001,151327.981233+63.759362i,38.317480-0.001479i
0.3,29.685933,65.458168,-35.772235,151327.981233+63.759362i,38.317480-0.001479i
0.32,26.407087,57.88203,-31.474943,151327.981233+63.759362i,38.317480-0.001479i
0.34,23.311163,50.748475,-27.437312,151327.981233+63.759362i,38.317480-0.001479i
0.36,20.422368,44.113125,-23.690756999999998,151327.981233+63.759362i,38.317480-0.001479i
0.38,17.757841,38.014657,-20.256816,151327.981233+63.759362i,38.317480-0.001479i
0.4,15.327952,32.475552,-17.1476,151327.981233+63.759362i,38.317480-0.001479i
0.42,13.136794,27.503323,-14.366529000000002,151327.981233+63.759362i,38.317480-0.001479i
0.44,11.182837,23.092112,-11.909275000000001,151327.981233+63.759362i,38.317480-0.001479i
0.46,9.45969,19.224573,-9.764883,151327.981233+63.759362i,38.317480-0.001479i
0.48,7.95694,15.873906,-7.9169659999999995,151327.981233+63.759362i,38.317480-0.001479i
0.5,6.661011,13.00596,-6.344949,151327.981233+63.759362i,38.317480-0.001479i
