q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,170.09432,205.803892,-35.70957199999998,20150559.534891+9974.624478i,10.445794-0.003422i
0.02,163.226285,197.494653,-34.26836800000001,20150559.534891+9974.624478i,10.445794-0.003422i
0.04,144.167415,174.436284,-30.268868999999995,20150559.534891+9974.624478i,10.445794-0.003422i
0.06,117.02905,141.602716,-24.57366599999999,20150559.534891+9974.624478i,10.445794-0.003422i
0.08,87.141471,105.443168,-18.301697000000004,20150559.534891+9974.624478i,10.445794-0.003422i
0.1,59.447649,71.939096,-12.491447000000008,20150559.534891+9974.624478i,10.445794-0.003422i
0.12,37.261788,45.101748,-7.839959999999998,20150559.534891+9974.624478i,10.445794-0.003422i
0.14,21.789073,26.390095,-4.601022,20150559.534891+9974.624478i,10.445794-0.003422i
0.16,12.428035,15.075668,-2.647633000000001,20150559.534891+9974.624478i,10.445794-0.003422i
0.18,7.55505,9.19155,-1.6364999999999998,20150559.534891+9974.624478i,10.445794-0.003422i
0.2,5.367213,6.553056,-1.1858430000000002,20150559.534891+9974.624478i,10.445794-0.003422i
0.22,4.454491,5.451512,-0.9970210000000002,20150559.534891+9974.624478i,10.445794-0.003422i
0.24,3.988791,4.884334,-0.895543,20150559.534891+9974.624478i,10.445794-0.003422i
0.26,3.619285,4.42872,-0.8094350000000001,20150559.534891+9974.624478i,10.445794-0.003422i
0.28,3.255083,3.977893,-0.72281,20150559.534891+9974.624478i,10.445794-0.003422i
0.3,2.887475,3.524558,-0.6370830000000001,20150559.534891+9974.624478i,10.445794-0.003422i
0.32,2.511348,3.064511,-0.5531630000000001,20150559.534891+9974.624478i,10.445794-0.003422i
0.34,2.122264,2.592583,-0.47031899999999993,20150559.534891+9974.624478i,10.445794-0.003422i
0.36,1.734447,2.124775,-0.390328,20150559.534891+9974.624478i,10.445794-0.003422i
0.38,1.38208,1.70074,-0.31865999999999994,20150559.534891+9974.624478i,10.445794-0.003422i
0.4,1.100568,1.36198,-0.261412,20150559.534891+9974.624478i,10.445794-0.003422i
0.42,0.90559,1.126916,-0.22132600000000002,20150559.534891+9974.624478i,10.445794-0.003422i
0.44,0.786334,0.982625,-0.196291,20150559.534891+9974.624478i,10.445794-0.003422i
0.46,0.715008,0.895974,-0.18096600000000007,20150559.534891+9974.624478i,10.445794-0.003422i
0.48,0.662818,0.832582,-0.16976400000000003,20150559.534891+9974.624478i,10.445794-0.003422i
0.5,0.611276,0.770317,-0.159041,20150559.534891+9974.624478i,10.445794-0.003422i
