q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,210.38632,172.233669,-28.088231000000007,10.064420000000013,-38.15265100000002
0.02,177.34077,204.809333,167.591925,-27.468563000000017,9.748844999999989,-37.217408000000006
0.04,163.304075,188.978301,154.444059,-25.674225999999976,8.860016000000002,-34.53424199999998
0.06,142.468743,165.360892,134.91355,-22.892149000000018,7.555193000000003,-30.44734200000002
0.08,117.964319,137.373633,111.916719,-19.40931400000001,6.047600000000003,-25.456914000000012
0.1,93.004226,108.57851,88.452905,-15.574283999999992,4.5513210000000015,-20.125604999999993
0.12,70.198973,81.944499,66.966142,-11.745525999999998,3.2328309999999902,-14.978356999999988
0.14,51.142472,59.378782,48.959005,-8.236310000000003,2.1834670000000003,-10.419777000000003
0.16,36.348498,41.619256,34.930448,-5.270758000000001,1.418050000000001,-6.688808000000002
0.18,25.483834,28.447887,24.588832,-2.964053,0.8950020000000016,-3.8590550000000015
0.2,17.754861,19.086037,17.208183,-1.3311760000000028,0.546678,-1.8778540000000028
0.22,12.28458,12.60148,11.977155,-0.3169000000000004,0.3074250000000003,-0.6243250000000007
0.24,8.362694,8.194202,8.231974,0.16849199999999875,0.13072000000000017,0.037771999999998584
0.26,5.53071,5.307478,5.537715,0.22323200000000032,-0.007005000000000372,0.2302370000000007
0.28,3.537195,3.592199,3.64971,-0.05500399999999983,-0.1125149999999997,0.05751099999999987
0.3,2.236357,2.801869,2.422121,-0.565512,-0.18576400000000026,-0.37974799999999975
0.32,1.499227,2.699264,1.72731,-1.2000369999999998,-0.2280829999999998,-0.971954
0.34,1.174379,3.022429,1.419982,-1.8480499999999997,-0.24560300000000002,-1.6024469999999997
0.36,1.097244,3.511376,1.34541,-2.4141319999999995,-0.2481659999999999,-2.165966
0.38,1.122909,3.962428,1.368811,-2.839519,-0.24590200000000006,-2.593617
0.4,1.15393,4.268696,1.400001,-3.1147660000000004,-0.24607100000000015,-2.868695
0.42,1.147148,4.421094,1.398844,-3.273946,-0.2516959999999999,-3.02225
0.44,1.100174,4.471148,1.362349,-3.3709740000000004,-0.26217500000000005,-3.1087990000000003
0.46,1.029106,4.478208,1.304112,-3.4491020000000003,-0.27500599999999986,-3.1740960000000005
0.48,0.950115,4.469213,1.237639,-3.5190979999999996,-0.2875239999999999,-3.231574
0.5,0.871401,4.428544,1.169348,-3.5571429999999995,-0.2979470000000001,-3.2591959999999993
