q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,293.059065,164.207143,-110.76097599999997,18.090946000000002,-128.85192199999997
0.02,177.34077,284.357917,159.783194,-107.017147,17.557575999999983,-124.57472299999998
0.04,163.304075,259.879143,147.252237,-96.57506799999999,16.051838000000004,-112.62690599999999
0.06,142.468743,224.03148,128.638115,-81.562737,13.83062799999999,-95.39336499999999
0.08,117.964319,182.777899,106.720314,-64.81357999999999,11.244005000000001,-76.05758499999999
0.1,93.004226,142.071571,84.357441,-49.067345,8.646785000000008,-57.71413000000001
0.12,70.198973,106.479462,63.878855,-36.280489,6.320117999999994,-42.600607
0.14,51.142472,78.405281,46.716628,-27.262809000000004,4.425843999999998,-31.688653000000002
0.16,36.348498,58.069008,33.346302,-21.720509999999997,3.002195999999998,-24.722705999999995
0.18,25.483834,44.11512,23.489923,-18.631285999999996,1.9939110000000007,-20.625196999999996
0.2,17.754861,34.522278,16.45558,-16.767417000000002,1.299280999999997,-18.066698
0.22,12.28458,27.441996,11.469996,-15.157416,0.814584,-15.972
0.24,8.362694,21.698111,7.900543,-13.335417000000001,0.46215099999999953,-13.797568000000002
0.26,5.53071,16.866175,5.332701,-11.335465,0.19800899999999988,-11.533473999999998
0.28,3.537195,13.031246,3.533282,-9.494050999999999,0.003913000000000277,-9.497964
0.3,2.236357,10.421829,2.363293,-8.185472,-0.12693600000000016,-8.058536
0.32,1.499227,9.112711,1.701082,-7.613483999999999,-0.2018549999999999,-7.411629
0.34,1.174379,8.905561,1.408175,-7.7311820000000004,-0.2337959999999999,-7.4973860000000005
0.36,1.097244,9.388082,1.337101,-8.290838,-0.239857,-8.050981
0.38,1.122909,10.093187,1.359405,-8.970278,-0.23649600000000004,-8.733782
0.4,1.15393,10.656901,1.389132,-9.502970999999999,-0.23520200000000013,-9.267769
0.42,1.147148,10.902882,1.388028,-9.755734,-0.24087999999999998,-9.514854
0.44,1.100174,10.835269,1.353246,-9.735095000000001,-0.25307199999999996,-9.482023
0.46,1.029106,10.568417,1.297742,-9.539311,-0.2686359999999999,-9.270675
0.48,0.950115,10.241964,1.234387,-9.291849,-0.28427199999999986,-9.007577
0.5,0.871401,9.961014,1.169301,-9.089613,-0.29789999999999994,-8.791713000000001
