q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,68.945112,80.545965,-11.600853,151327.981233+63.759362i,9.971320-0.000385i
0.02,68.68988,80.240731,-11.550850999999994,151327.981233+63.759362i,9.971320-0.000385i
0.04,67.929686,79.331705,-11.402018999999996,151327.981233+63.759362i,9.971320-0.000385i
0.06,66.680846,77.838682,-11.157836000000003,151327.981233+63.759362i,9.971320-0.000385i
0.08,64.969928,75.793897,-10.823969000000005,151327.981233+63.759362i,9.971320-0.000385i
0.1,62.832854,73.240915,-10.408061000000004,151327.981233+63.759362i,9.971320-0.000385i
0.12,60.31369,70.233161,-9.919470999999994,151327.981233+63.759362i,9.971320-0.000385i
0.14,57.463197,66.832143,-9.368946000000001,151327.981233+63.759362i,9.971320-0.000385i
0.16,54.337185,63.105448,-8.768263000000005,151327.981233+63.759362i,9.971320-0.000385i
0.18,50.994769,59.124604,-8.129835,151327.981233+63.759362i,9.971320-0.000385i
0.2,47.496572,54.962894,-7.466321999999998,151327.981233+63.759362i,9.971320-0.000385i
0.22,43.902974,50.693215,-6.790241000000002,151327.981233+63.759362i,9.971320-0.000385i
0.24,40.272458,46.386059,-6.113601000000003,151327.981233+63.759362i,9.971320-0.000385i
0.26,36.660114,42.107699,-5.447584999999997,151327.981233+63.759362i,9.971320-0.000385i
0.28,33.116364,37.918637,-4.802273,151327.981233+63.759362i,9.971320-0.000385i
0.3,29.685933,33.872352,-4.186419000000001,151327.981233+63.759362i,9.971320-0.000385i
0.32,26.407087,30.014393,-3.6073059999999977,151327.981233+63.759362i,9.971320-0.000385i
0.34,23.311163,26.381808,-3.070644999999999,151327.981233+63.759362i,9.971320-0.000385i
0.36,20.422368,23.002921,-2.580553000000002,151327.981233+63.759362i,9.971320-0.000385i
0.38,17.757841,19.897428,-2.1395870000000023,151327.981233+63.759362i,9.971320-0.000385i
0.4,15.327952,17.076777,-1.748825,151327.981233+63.759362i,9.971320-0.000385i
0.42,13.136794,14.544793,-1.4079990000000002,151327.981233+63.759362i,9.971320-0.000385i
0.44,11.182837,12.298493,-1.1156560000000013,151327.981233+63.759362i,9.971320-0.000385i
0.46,9.45969,10.329046,-0.8693559999999998,151327.981233+63.759362i,9.971320-0.000385i
0.48,7.95694,8.622802,-0.6658619999999997,151327.981233+63.759362i,9.971320-0.000385i
0.5,6.661011,7.162372,-0.5013610000000002,151327.981233+63.759362i,9.971320-0.000385i
