q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{a=0.15}_TetToxHcGT1b,strat{a=0.15}_TetToxHcGT1b_relDiffDebye,strat{a=0.20}_TetToxHcGT1b,strat{a=0.20}_TetToxHcGT1b_relDiffDebye,strat{a=0.25}_TetToxHcGT1b,strat{a=0.25}_TetToxHcGT1b_relDiffDebye,strat{a=0.30}_TetToxHcGT1b,strat{a=0.30}_TetToxHcGT1b_relDiffDebye,strat{a=0.35}_TetToxHcGT1b,strat{a=0.35}_TetToxHcGT1b_relDiffDebye,strat{a=0.40}_TetToxHcGT1b,strat{a=0.40}_TetToxHcGT1b_relDiffDebye,strat{a=0.45}_TetToxHcGT1b,strat{a=0.45}_TetToxHcGT1b_relDiffDebye,strat{a=0.50}_TetToxHcGT1b,strat{a=0.50}_TetToxHcGT1b_relDiffDebye
0.28,0.449552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.216289,837.8868295547566,12.941859,2778.8347065523008,21.52988,4689.1856781862825,9.731608,2064.734669181763,27.341111,5981.857271238922,47.028948,10361.292130832475,23.26614,5075.405737267324,40.491862,8907.158682421612
0.3,0.414082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.858625,831.8504547408484,13.793394,3231.0779024444428,21.114553,4999.123603537463,10.382976,2407.4685690273905,26.718405,6352.4429943827545,48.219925,11545.018378002425,23.887683,5668.829120802159,40.223638,9613.93057413749
0.32,0.360183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.680233,921.767545941924,14.630819,3962.0515127032654,22.003119,6008.8721566537015,10.774328,2891.3482868430774,28.265348,7747.496411546354,48.282485,13304.987187068798,25.533341,6988.991151720099,40.517978,11149.275507172742
0.34,0.284393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.788401,1232.1006494533972,15.210762,5248.500842144497,23.720747,8240.833635145731,10.792353,3694.872939910617,30.610154,10663.328914565407,48.129993,16823.761484987324,27.381059,9527.894849732587,41.08803,14347.623535037783
0.36,0.212417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.097761,1829.1116059449105,15.583378,7236.219794084278,25.481753,11896.098711496727,10.425142,4807.86613124185,31.837219,14888.074871596908,48.55159,22756.73463046743,28.655488,13390.204644637672,41.244318,19316.674748254612
0.38,0.168878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.427197,2521.5356647994404,15.996119,9371.996944539846,26.74815,15738.741576759554,9.78334,5693.14061038146,31.14245,18340.797498786105,49.382017,29141.23746136264,29.14175,17156.096116723314,40.848000999999996,24087.875863049063
0.4,0.154444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.667285,2921.9917899044317,16.524701,10599.477480510734,27.33204,17597.055243324437,9.056272,5763.790111626221,29.271064,18852.54202170366,49.912996,32217.86019528114,29.28795,18863.47543446168,40.515339,26133.028800082877
0.42,0.153911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.804634,3021.6963050074396,16.920252,10893.53002709358,27.323604,17652.859769607112,8.436299,5381.283988798721,27.479175,17753.93831500023,49.891637,32315.900747834792,29.805526,19265.429371519906,40.816766,26419.719838088247
0.44,0.154043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.853233,3050.570295307155,16.970037,10916.428529696253,27.126908,17509.958258408362,8.058766,5131.504190388398,26.373575,17020.91753601267,49.961382,32333.39976500068,31.085323,20079.64010049142,41.632765,26926.716566153602
0.46,0.150789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.835381,3106.71998620589,16.917417,11119.264667847123,27.324227,18020.835737354846,7.973877,5188.102580426954,25.840017,17036.53980064859,51.030396,33742.25374529972,32.849112,21684.81984760161,42.497404,28083.358202521402
0.48,0.145682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.795357,3191.6606032316963,17.249381,11740.433958896774,28.122036,19203.713567908184,8.140768,5488.039702914567,25.731762,17562.965912055024,53.208932,36424.02630386732,34.246614,23407.786823354978,43.295574,29619.233673343308
0.5,0.140295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.766158,3297.2401012152964,18.007915,12735.749670337505,28.913939,20509.386649559856,8.452906,5925.094265654514,26.185942,18564.9146441427,55.460735,39431.51217078299,34.350437,24384.434227876973,44.295112,31472.83723582451
