q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.15}_TeicoplaninUbiquitin,strat{a=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.20}_TeicoplaninUbiquitin,strat{a=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.25}_TeicoplaninUbiquitin,strat{a=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.30}_TeicoplaninUbiquitin,strat{a=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.35}_TeicoplaninUbiquitin,strat{a=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.40}_TeicoplaninUbiquitin,strat{a=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.45}_TeicoplaninUbiquitin,strat{a=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.50}_TeicoplaninUbiquitin,strat{a=0.50}_TeicoplaninUbiquitin_relDiffDebye
0,175.982653,166.667471,5.293238760299854,162.503034,7.659629384039338,158.339279,10.025632469582098,154.63878,12.12839597320993,150.938906,14.230804328197049,147.239704,16.3328308273657,144.003495,18.171767191167422,140.767879,20.01036658993884,87.766432,50.12779356156201,20.565362,88.31398342426398,916.398937,420.73253890541133,45.682751,74.04133292614927,1486.575025,744.7281590873619,222.688726,26.5401573415307,524.125795,197.82810184137867,3769.790971,2042.1378225273145
0.02,170.769539,161.760272,5.275687369513847,157.7192,7.642076611801363,153.67881,10.008066485440363,150.087969,12.11080741981743,146.497753,14.213182363864096,142.908209,16.315163795107516,139.767951,18.154050295820028,136.628286,19.992589544907073,85.873469,49.71382513364986,20.045007,88.26195402448208,880.136075,415.39406861079596,44.327836,74.04230505066832,1432.883166,739.0742133466789,217.300007,27.247522170801187,507.480875,197.17294897657362,3655.108435,2040.3749500079168
0.04,156.103692,147.952524,5.221636910419765,144.258575,7.587980045981224,140.565307,9.95388693305217,137.283019,12.056520098192168,134.001356,14.158752888432652,130.720365,16.26055519558116,127.850091,18.09925225855644,124.98041,19.937569445827066,80.578513,48.38141752598651,18.57044,88.10377912138043,781.696398,400.754586893435,40.505622,74.05210505847613,1285.974517,723.79506885718,202.173058,29.512028453497436,461.623716,195.71607825905878,3343.244462,2041.6818648978526
0.06,134.615868,127.714213,5.126925304229369,124.529048,7.493039379280312,121.344565,9.85864682757905,118.51453,11.960950992790844,115.685119,14.062791616809992,112.856381,16.16413229976722,110.381828,18.00236507036452,107.907868,19.840157328257924,72.924216,45.82791978134406,16.377324,87.83403157196892,648.192454,381.5126653568062,34.874594,74.09325177028907,1083.232511,704.6841186657132,180.101149,33.78894455444137,397.40781,195.21617020662077,2918.544635,2068.053943685153
0.08,109.835578,104.360437,4.984851993950443,101.762378,7.350259494241475,99.165001,9.715046066402996,96.856837,11.816518141325755,94.549299,13.917420273419962,92.242433,16.0177105819027,90.224518,17.854924931518998,88.207196,19.69159938321625,64.321619,41.43826602341912,13.787597,87.44705745528101,513.392072,367.4187374877747,28.327472,74.20920204926676,872.02103,693.9331188296746,154.78723,40.92631260155065,328.876096,199.4258344959955,2486.187828,2163.5541900639882
0.1,85.246607,81.165784,4.787079678138973,79.150831,7.1507549854740855,77.13656,9.513630260967448,75.346713,11.613241099437545,73.557491,13.712118770897238,71.768941,15.810208141187369,70.204553,17.64534041806496,68.640758,19.479777066083102,56.17568,34.10215142052515,11.129677,86.94414077970282,405.734744,375.9541268311125,21.762506,74.47111765985008,693.732866,713.7952821981524,129.806934,52.27225876567735,268.876635,215.4103658342672,2135.125481,2404.645705136393
0.12,63.487829,60.614453,4.52586904491568,59.116153,6.885848939644795,57.618535,9.24475461273057,56.287936,11.34058781565833,54.957962,13.435436577930545,53.628660000000004,15.529226869609914,52.466113,17.36036051886417,51.304159,19.190560130824444,49.547227,21.957912594554145,8.668281,86.34654683183449,339.405935,434.6000018365725,15.885313,74.97896329074348,571.422947,800.0511688626178,107.758636,69.73117162346188,225.529259,255.23227451989263,1910.585952,2909.373579304468
0.14,45.941542,44.013104,4.197590929795085,42.932157,6.550465807177308,41.851891,8.90185836600782,40.892271,10.990643283153181,39.933277,13.078065599104189,38.974955,15.164025186616497,38.137016,16.98794959907962,37.299669,18.81058541744201,44.951291,2.1554587784624224,6.564149,85.71195324701988,311.829022,578.7517536960339,11.099225,75.84054753756413,505.503869,1000.3197694147923,89.870084,95.6183447216465,200.733771,336.93302893490164,1806.444833,3832.050937689466
0.16,32.77505,31.528275,3.8040369122243884,30.761192,6.144484905438738,29.994791,8.482852047517856,29.314162,10.559520122776322,28.634158,12.634281259677715,27.954827,14.706989005356204,27.361004,16.518803174976085,26.767775,18.328804990381403,42.337477,29.175934132823595,4.870712,85.13896393750734,307.960225,839.6178648087492,7.502162,77.11014323395388,478.354387,1359.5077261514473,76.119473,132.24822845426627,190.995432,482.74642449058047,1778.46002,5326.261805855368
0.18,23.322894,22.543224,3.3429384878223214,22.002022,5.663413811339199,21.461502,7.980964969441623,20.981657,10.038364021205957,20.502436,12.093087590245027,20.023888,14.14492558256279,19.605751,15.937743403541601,19.188207,17.728018658404928,41.232521,76.7899000870132,3.560532,84.73374702127447,308.828071,1224.1412965303534,4.966902,78.70374920024933,464.955696,1893.5591869516707,65.719436,181.7807944417189,189.905377,714.2444801232642,1770.291387,7490.359013765616
