q_inverse_angstroms,debye,propo{e=0.380}_MutSADPBeF3DNA,propo{e=0.380}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.390}_MutSADPBeF3DNA,propo{e=0.390}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.400}_MutSADPBeF3DNA,propo{e=0.400}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.410}_MutSADPBeF3DNA,propo{e=0.410}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.420}_MutSADPBeF3DNA,propo{e=0.420}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.430}_MutSADPBeF3DNA,propo{e=0.430}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.440}_MutSADPBeF3DNA,propo{e=0.440}_MutSADPBeF3DNA_relDiffDebye,propo{e=0.450}_MutSADPBeF3DNA,propo{e=0.450}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.15}_MutSADPBeF3DNA,strat{s=0.15}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.20}_MutSADPBeF3DNA,strat{s=0.20}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.25}_MutSADPBeF3DNA,strat{s=0.25}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.30}_MutSADPBeF3DNA,strat{s=0.30}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.35}_MutSADPBeF3DNA,strat{s=0.35}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.40}_MutSADPBeF3DNA,strat{s=0.40}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.45}_MutSADPBeF3DNA,strat{s=0.45}_MutSADPBeF3DNA_relDiffDebye,strat{s=0.50}_MutSADPBeF3DNA,strat{s=0.50}_MutSADPBeF3DNA_relDiffDebye
0.28,0.119385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151888,27.22536332035012,0.140116,17.36482807722912,0.13214,10.683921765715963,0.145281,21.691167232064316,0.118578,0.6759643171252687,0.137868,15.481844452820692,0.122654,2.7381999413661635,0.138704,16.182099928801765
0.3,0.102206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131698,28.855448799483398,0.131827,28.98166448153728,0.125826,23.110189225681456,0.12405,21.372522161125556,0.105874,3.5888304013462915,0.110555,8.168796352464627,0.096039,6.033892335087964,0.115197,12.710604074124795
0.32,0.081911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12728,55.3881652036967,0.120621,47.25860995470695,0.127219,55.31369413143534,0.106114,29.54792396625606,0.098357,20.07788941656188,0.094585,15.472891308859621,0.079042,3.5025820707841397,0.09347,14.111657774902028
0.34,0.064064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122779,91.65053696303698,0.110661,72.73507742257742,0.119664,86.78821178821181,0.092296,44.068431568431585,0.092532,44.436813186813204,0.08652,35.05244755244756,0.069718,8.825549450549461,0.077442,20.88224275724276
0.36,0.059377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120834,103.50303989760346,0.108069,82.0048166798592,0.107922,81.75724607171128,0.088405,48.887616417131206,0.091702,54.44027148559207,0.082968,39.73087222325143,0.070383,18.53579668895364,0.078323,31.907977836536038
0.38,0.060716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123375,103.20014493708412,0.108621,78.90012517293628,0.09919,63.36715198629687,0.084747,39.579353053560844,0.090622,49.25555043151722,0.078898,29.945977995915406,0.073245,20.63541735292181,0.083145,36.940839317478094
0.4,0.059477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125524,111.04628679993947,0.108658,82.68910671351951,0.093996,58.037560737764174,0.076236,28.17727861190039,0.084612,42.26003329017941,0.073529,23.625939438774644,0.070571,18.65258839551422,0.077863,30.912789817912806
0.42,0.056841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124534,119.09185271195088,0.105883,86.27927024506958,0.088546,55.77839939480304,0.073045,28.507591351313305,0.078473,38.05703629422423,0.06812,19.843071022677286,0.067132,18.104889076546847,0.068745,20.942629440016887
0.44,0.054763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121701,122.23216405237112,0.101071,84.56074356773733,0.082018,49.76900461990759,0.075486,37.8412431751365,0.074308,35.69015576210215,0.0637,16.319412742179953,0.067559,23.366141372824707,0.063208,15.42099592790753
0.46,0.053054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121262,128.56335054849774,0.095797,80.56508463075357,0.075344,42.01379726316583,0.07462,40.64914992272027,0.06925,30.527387190409787,0.061474,15.870622384740084,0.066975,26.239303351302468,0.060969,14.91876201605912
0.48,0.050023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116272,132.4370789436859,0.091479,82.8738780161126,0.069039,38.01451332387103,0.068451,36.83905403514384,0.06299,25.922075845111266,0.059029,18.00371828958679,0.060784,21.512104431961298,0.05808,16.106590968154652
0.5,0.04624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102217,121.05752595155708,0.091413,97.69247404844288,0.069282,49.83131487889271,0.062952,36.141868512110705,0.058,25.43252595155709,0.056324,21.80795847750864,0.053639,16.00129757785466,0.052593,13.739186851211066
