q_inverse_angstroms,debye,propo{e=0.380}_MyosinII10s,propo{e=0.380}_MyosinII10s_relDiffDebye,propo{e=0.390}_MyosinII10s,propo{e=0.390}_MyosinII10s_relDiffDebye,propo{e=0.400}_MyosinII10s,propo{e=0.400}_MyosinII10s_relDiffDebye,propo{e=0.410}_MyosinII10s,propo{e=0.410}_MyosinII10s_relDiffDebye,propo{e=0.420}_MyosinII10s,propo{e=0.420}_MyosinII10s_relDiffDebye,propo{e=0.430}_MyosinII10s,propo{e=0.430}_MyosinII10s_relDiffDebye,propo{e=0.440}_MyosinII10s,propo{e=0.440}_MyosinII10s_relDiffDebye,propo{e=0.450}_MyosinII10s,propo{e=0.450}_MyosinII10s_relDiffDebye,strat{s=0.15}_MyosinII10s,strat{s=0.15}_MyosinII10s_relDiffDebye,strat{s=0.20}_MyosinII10s,strat{s=0.20}_MyosinII10s_relDiffDebye,strat{s=0.25}_MyosinII10s,strat{s=0.25}_MyosinII10s_relDiffDebye,strat{s=0.30}_MyosinII10s,strat{s=0.30}_MyosinII10s_relDiffDebye,strat{s=0.35}_MyosinII10s,strat{s=0.35}_MyosinII10s_relDiffDebye,strat{s=0.40}_MyosinII10s,strat{s=0.40}_MyosinII10s_relDiffDebye,strat{s=0.45}_MyosinII10s,strat{s=0.45}_MyosinII10s_relDiffDebye,strat{s=0.50}_MyosinII10s,strat{s=0.50}_MyosinII10s_relDiffDebye
0,175.174051,30.898671,82.36115975875902,30.113318,82.80948700558395,29.360144,83.23944452252235,28.655164,83.64188997376102,27.982345,84.02597597060765,27.325662,84.40085055748354,26.717139,84.7482324879271,26.12474,85.08640985872958,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.19351700000001,17.68557261942865,144.193518,17.685572048567842,144.193518,17.685572048567842,144.193518,17.685572048567842
0.02,113.475815,20.05056,82.33054329682497,19.542637,82.77814792517684,19.055571,83.20737242556928,18.599713,83.60909503051379,18.164691,83.99245601364484,17.740143,84.36658683614654,17.346771,84.71324396304182,16.963861,85.05068150424829,94.466204,16.75212555203943,93.440671,17.65587142952003,94.048933,17.11984355432917,93.629709,17.489282628197024,94.15328,17.0278882773391,93.740729,17.39144680300379,93.822353,17.3195160572321,94.218292,16.970596774299434
0.04,33.275788,5.948138,82.12472684343342,5.800873,82.56728585961662,5.659742,82.9914110523844,5.527739,83.38810488875575,5.401852,83.76641899509639,5.279079,84.1353749458916,5.1654,84.47700171668362,5.054822,84.8093093993747,28.606133,14.033191340202066,27.837469,16.3431711970277,28.215789,15.206248459089828,27.55849,17.18155555023971,28.111893,15.518475475321578,27.85414,16.29307170727256,27.856394,16.286298013438472,28.266288,15.054489468438732
0.06,9.055997,1.687551,81.36537589400703,1.649246,81.78835527441099,1.612629,82.19269507266841,1.578468,82.56991472059896,1.545976,82.9287045921062,1.514374,83.2776667218419,1.485195,83.59987310066468,1.456894,83.91238424659372,7.760296,14.307657124886408,7.937581,12.350004091211602,7.873255,13.060317930759025,7.709817,14.86506676183748,7.691716,15.064945361620586,7.789187,13.988630959131276,7.779692,14.093478608705368,7.785564,14.028637597826057
0.08,4.476457,0.881039,80.3183857233522,0.863361,80.71329625192422,0.846528,81.08933024487892,0.830888,81.4387136970153,0.816075,81.76962271725161,0.801731,82.09005470174291,0.788548,82.38455099646885,0.775821,82.66886066369005,3.765722,15.877176972771103,3.941891,11.941720874343256,3.924425,12.331895514689409,3.92055,12.418459509384318,3.849849,13.997855893623015,4.012777,10.358191757454614,3.900828,12.859031148964453,3.828766,14.468831042049551
0.1,2.045105,0.452439,77.87697942159448,0.445722,78.20542221548527,0.439402,78.5144528031568,0.433605,78.79791013175362,0.428187,79.06283540453913,0.423015,79.315731955083,0.418332,79.54471775287821,0.413883,79.7622615953704,1.767999,13.549719941029917,1.779422,12.991166712711566,1.79612,12.174680517626236,1.803026,11.836996144452238,1.744826,14.682815796743931,1.880822,8.032986081399242,1.795683,12.196048613640867,1.730417,15.3873761982881
0.12,1.281919,0.317925,75.19929106285187,0.314648,75.45492343900044,0.311628,75.6905077465893,0.30892,75.90175354293056,0.306451,76.09435541559178,0.304157,76.27330587970067,0.302142,76.43049209817468,0.30029,76.57496300468283,1.148153,10.434824665208959,1.111351,13.305676879740455,1.104289,13.856569720863796,1.139011,11.14797424798291,1.059216,17.372626507603062,1.141479,10.955450383370566,1.106497,13.684327948957769,1.069282,16.587397487672774
0.14,0.805174,0.234084,70.92752622414534,0.23295,71.0683653471175,0.231987,71.18796682456214,0.231205,71.28508868890451,0.230573,71.36358103962621,0.230074,71.42555522160427,0.229722,71.4692724802341,0.229488,71.4983345214823,0.727689,9.62338575264476,0.72962,9.383561813968148,0.708136,12.051804951476322,0.734219,8.812380926358774,0.678711,15.70629454006215,0.722385,10.282125354271237,0.710762,11.725664266357327,0.699109,13.172929081167545
0.16,0.516765,0.183263,64.53649144195137,0.183429,64.504368523410065,0.183712,64.44960475264385,0.184097,64.37510280301491,0.184579,64.28183023231064,0.185167,64.1680454365137,0.185823,64.04110185480829,0.186571,63.896355209814914,0.445028,13.881938598782822,0.451224,12.682940988650548,0.460546,10.879026249842774,0.464886,10.03918609038925,0.436178,15.594515882461083,0.453221,12.296498408367448,0.474325,8.21263049935658,0.463194,10.366607645641643
0.18,0.364721,0.156583,57.06773122468955,0.157431,56.83522473342638,0.158369,56.57804184568478,0.159366,56.30468220914069,0.160434,56.011855637596966,0.161593,55.69407848739174,0.162778,55.369172600426076,0.164041,55.02288050317915,0.335245,8.081794028860417,0.336388,7.768403793584684,0.339264,6.979855835008131,0.340387,6.671949243394272,0.33155,9.09489719539045,0.32157,11.831235382662362,0.336994,7.602249390630098,0.330254,9.450237304679474
