q_inverse_angstroms,debye,propo{e=0.380}_FM197H,propo{e=0.380}_FM197H_relDiffDebye,propo{e=0.390}_FM197H,propo{e=0.390}_FM197H_relDiffDebye,propo{e=0.400}_FM197H,propo{e=0.400}_FM197H_relDiffDebye,propo{e=0.410}_FM197H,propo{e=0.410}_FM197H_relDiffDebye,propo{e=0.420}_FM197H,propo{e=0.420}_FM197H_relDiffDebye,propo{e=0.430}_FM197H,propo{e=0.430}_FM197H_relDiffDebye,propo{e=0.440}_FM197H,propo{e=0.440}_FM197H_relDiffDebye,propo{e=0.450}_FM197H,propo{e=0.450}_FM197H_relDiffDebye,strat{s=0.15}_FM197H,strat{s=0.15}_FM197H_relDiffDebye,strat{s=0.20}_FM197H,strat{s=0.20}_FM197H_relDiffDebye,strat{s=0.25}_FM197H,strat{s=0.25}_FM197H_relDiffDebye,strat{s=0.30}_FM197H,strat{s=0.30}_FM197H_relDiffDebye,strat{s=0.35}_FM197H,strat{s=0.35}_FM197H_relDiffDebye,strat{s=0.40}_FM197H,strat{s=0.40}_FM197H_relDiffDebye,strat{s=0.45}_FM197H,strat{s=0.45}_FM197H_relDiffDebye,strat{s=0.50}_FM197H,strat{s=0.50}_FM197H_relDiffDebye
0,57.349674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.999908,93.02540411999553,3.997194,93.03013649214466,3.999908,93.02540411999553,3.996289,93.0317145307574,3.999908,93.02540411999553,3.999908,93.02540411999553,3.998701,93.02750875270887,3.998822,93.0272977663308
0.02,51.508615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.597278,93.01616244195266,3.592154,93.0261102924239,3.594335,93.02187604927835,3.590642,93.02904572371048,3.592431,93.02557251830592,3.595826,93.01898138787075,3.5961,93.0184494380212,3.589779,93.0307211715943
0.04,37.152565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.604778,92.98896859476594,2.59519,93.01477569583689,2.596787,93.01047720392927,2.592279,93.0226109556635,2.590175,93.02827409090058,2.601507,92.9977728321046,2.604072,92.99086886733122,2.584827,93.04266879016295
0.06,21.262426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.499425,92.94800602715796,1.488132,93.00111849889565,1.490397,92.99046590450214,1.484143,93.01987929317191,1.479253,93.04287760954465,1.497506,92.95703133781629,1.499529,92.94751690141098,1.473496,93.06995354151967
0.08,9.56639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677783,92.9149553802427,0.66867,93.01021597488707,0.672206,92.97325323345589,0.665094,93.04759684687745,0.660278,93.0979397662023,0.67924,92.8997249746247,0.67743,92.91864538242744,0.657105,93.13110797280896
0.1,3.559635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250134,92.97304358452482,0.243987,93.14572982904146,0.247794,93.03878066150041,0.242544,93.1862676931764,0.239837,93.26231481598535,0.252727,92.90019903726085,0.247044,93.05985023745413,0.239933,93.25961791026327
0.12,1.440602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097855,93.20735359245649,0.092587,93.57303405104254,0.095534,93.36846679374317,0.0939,93.48189159809579,0.093316,93.52243020626099,0.097871,93.20624294565744,0.091395,93.6557772375715,0.095141,93.39574705574476
0.14,0.853302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057819,93.22408713444948,0.05182,93.92712076146546,0.054002,93.67140824702157,0.054958,93.55937288322306,0.055205,93.53042650784835,0.054256,93.6416415290249,0.049972,94.14369121366175,0.057028,93.31678585073045
0.16,0.559626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.040075,92.83896745326344,0.03409,93.90843170260139,0.036084,93.5521223102572,0.037387,93.31928823893101,0.037219,93.34930828803523,0.034859,93.77101850164216,0.033357,94.03941203589541,0.038298,93.15650094884799
0.18,0.33401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025523,92.35861201760426,0.021372,93.60138917996467,0.0231,93.08403940001796,0.023696,92.90560162869376,0.022644,93.22056225861502,0.020917,93.73761264632795,0.020889,93.74599562887339,0.023041,93.10170354181014
0.2,0.222847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016876,92.42709123299842,0.015276,93.14507262830551,0.016396,92.64248565159056,0.016596,92.55273797717717,0.014888,93.31918311666747,0.013947,93.74144592478248,0.013966,93.7329198957132,0.015018,93.26084712829879
0.22,0.186121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012802,93.12167890780728,0.012788,93.1292008961912,0.013563,92.71280511065383,0.013711,92.6332869477383,0.011834,93.64177067606556,0.011542,93.79865786235835,0.011075,94.0495699034499,0.012139,93.47789878627344
0.24,0.151255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009778,93.53542031668374,0.00987,93.47459588112791,0.010787,92.86833493107667,0.010767,92.88155763445836,0.009114,93.97441406895639,0.009435,93.76218967968,0.008713,94.23952927175961,0.009694,93.59095567088691
0.26,0.10288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007151,93.0491835147745,0.006663,93.52352255054433,0.007518,92.6924572317263,0.007279,92.924766718507,0.006051,94.11839035769829,0.0065970000000000004,93.58767496111975,0.006046,94.12325038880249,0.006575,93.60905909797823
0.28,0.063215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005674,91.02428221150043,0.004892,92.26133038044767,0.004991,92.10472198054259,0.00477,92.45432255002768,0.004019,93.64233172506525,0.004238,93.29589496163885,0.004061,93.57589179783278,0.004177,93.39239104642886
0.3,0.0443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005117,88.4492099322799,0.004515,89.80812641083521,0.003664,91.72911963882619,0.003637,91.79006772009029,0.003297,92.55756207674943,0.003083,93.04063205417606,0.003192,92.79458239277652,0.003199,92.77878103837472
0.32,0.038624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004668,87.91425020712511,0.004281,88.91621789560895,0.003037,92.13701325600663,0.003112,91.94283347141675,0.003042,92.12406793703396,0.0027,93.00952775476388,0.002921,92.43734465617233,0.002985,92.27164457332229
0.34,0.035131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004075,88.40055791181578,0.003634,89.65585949731008,0.002612,92.56497110813811,0.00261,92.5706640858501,0.002677,92.37994933249837,0.002396,93.17981270103327,0.002666,92.41126070991432,0.00271,92.2860152002505
0.36,0.030528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003611,88.1715146750524,0.002978,90.24502096436058,0.002338,92.3414570230608,0.002167,92.90159853249477,0.002304,92.45283018867924,0.002005,93.43225890985325,0.002358,92.27594339622642,0.002253,92.61988993710692
0.38,0.027075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003429,87.33518005540165,0.002706,90.005540166205,0.002318,91.43859649122807,0.001985,92.668513388735,0.002158,92.02954755309327,0.001788,93.3961218836565,0.002216,91.81532779316713,0.001954,92.78301015697137
0.4,0.025623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003372,86.8399484837841,0.00267,89.57967451118137,0.002452,90.43047262225345,0.002036,92.05401397182219,0.002187,91.46469968387775,0.001864,92.72528587597081,0.002263,91.16809116809115,0.001947,92.40135815478281
0.42,0.024166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003264,86.49342050815196,0.002546,89.46453695274353,0.00251,89.61350657949185,0.002108,91.27700074484814,0.002188,90.94595712985186,0.002017,91.65356285690639,0.002256,90.66457005710502,0.002007,91.69494330878094
0.44,0.02145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003101,85.54312354312354,0.002294,89.3053613053613,0.002409,88.76923076923077,0.002038,90.4988344988345,0.002076,90.3216783216783,0.001991,90.71794871794872,0.002015,90.60606060606061,0.001905,91.1188811188811
0.46,0.01844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002962,83.93709327548807,0.002117,88.51952277657267,0.002222,87.95010845986985,0.001833,90.05965292841648,0.001912,89.63123644251627,0.001777,90.36334056399133,0.001633,91.14425162689805,0.001654,91.03036876355749
0.48,0.016249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00287,82.33737460766815,0.002134,86.8668841159456,0.002019,87.57461997661395,0.001606,90.11631485014463,0.001767,89.12548464520894,0.001532,90.57172749092251,0.001331,91.80872669087327,0.001394,91.42101052372455
0.5,0.014921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002799,81.2412036726761,0.002249,84.92728369412237,0.001836,87.69519469204477,0.00146,90.21513303397896,0.001666,88.83452851685544,0.001375,90.7847999463843,0.001221,91.81690235238925,0.001231,91.74988271563569
