q_inverse_angstroms,debye,propo{e=0.380}_PHGDH,propo{e=0.380}_PHGDH_relDiffDebye,propo{e=0.390}_PHGDH,propo{e=0.390}_PHGDH_relDiffDebye,propo{e=0.400}_PHGDH,propo{e=0.400}_PHGDH_relDiffDebye,propo{e=0.410}_PHGDH,propo{e=0.410}_PHGDH_relDiffDebye,propo{e=0.420}_PHGDH,propo{e=0.420}_PHGDH_relDiffDebye,propo{e=0.430}_PHGDH,propo{e=0.430}_PHGDH_relDiffDebye,propo{e=0.440}_PHGDH,propo{e=0.440}_PHGDH_relDiffDebye,propo{e=0.450}_PHGDH,propo{e=0.450}_PHGDH_relDiffDebye,strat{s=0.15}_PHGDH,strat{s=0.15}_PHGDH_relDiffDebye,strat{s=0.20}_PHGDH,strat{s=0.20}_PHGDH_relDiffDebye,strat{s=0.25}_PHGDH,strat{s=0.25}_PHGDH_relDiffDebye,strat{s=0.30}_PHGDH,strat{s=0.30}_PHGDH_relDiffDebye,strat{s=0.35}_PHGDH,strat{s=0.35}_PHGDH_relDiffDebye,strat{s=0.40}_PHGDH,strat{s=0.40}_PHGDH_relDiffDebye,strat{s=0.45}_PHGDH,strat{s=0.45}_PHGDH_relDiffDebye,strat{s=0.50}_PHGDH,strat{s=0.50}_PHGDH_relDiffDebye
0,182.424757,73.645071,59.629892230033235,71.769727,60.65790182195501,69.976197,61.64106333440258,68.264466,62.579384989944096,66.716003,63.428207828173235,65.167794,64.27689143091472,63.70132,65.08077025970768,62.235106,65.88450656398572,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145,144.19351700000001,20.957265136990145
0.02,166.187936,67.087695,59.63142896244887,65.380302,60.65881581199732,63.747421,61.64136667537649,62.189035,62.57909178196906,60.779315,63.42736033498846,59.369847,64.27547725245232,58.034812,65.07880572029006,56.700038,65.88197713701673,130.878367,21.246770283012605,131.347826,20.96428347241764,131.06304600000001,21.135643684749773,130.949914,21.20371842153452,130.730007,21.336042707696908,131.022783,21.159871075118232,131.28967,20.999277588958083,131.507779,20.868035210449936
0.04,126.109976,50.911934,59.62894006101468,49.618842,60.654308585388996,48.382249,61.63487573734848,47.202138,62.5706549971907,46.134667,63.41711539141044,45.067448,64.263375960043,44.056649,65.0648977999964,43.046111,65.86621267773455,98.323922,22.033192679380104,99.703517,20.939230850380937,98.828642,21.632970574825897,98.677965,21.752451209728246,97.974203,22.310505395703192,98.76932,21.68001046959204,99.51835,21.086060630128106,100.205047,20.54153828401332
0.06,80.691922,32.604086,59.594361874290215,31.779903,60.61575655615192,30.991832,61.5923983072308,30.239856,62.52430819531105,29.559744,63.367158363138266,28.879885,64.2096949927652,28.236059,65.00757659484181,27.592493,65.80513598374816,62.097401,23.04384446314218,63.953955,20.743051578322802,62.675735,22.327125880085,62.97884,21.95149348406896,61.85356,23.34603208484736,62.757116,22.226271918519924,63.701851,21.05547938243435,64.720292,19.793344369712752
0.08,44.526582,18.053363,59.45486451216938,17.60186,60.46887227948464,17.170266,61.43816742996352,16.758563,62.36279038889624,16.386317,63.19879886581009,16.014324,64.03423914281137,15.66216,64.82514647093281,15.310257,65.615467632346,33.931547,23.794853600036035,35.556052,20.146459928139098,34.267937,23.039372301246917,35.354826,20.5983832309428,34.049942,23.528956253592508,34.607599,22.276542583035,35.392411,20.513972979107166,36.362017,18.336383870650565
0.1,21.90858,8.974109,59.0383813099708,8.755149,60.03780710570928,8.545986,60.99251526114426,8.346604,61.90257880702447,8.166458,62.7248411352995,7.986566,63.545944100439186,7.816391,64.32269457901882,7.646477,65.09825374351053,16.748509,23.552740524488588,17.800835,18.749480797021082,16.730658,23.6342200179108,18.341668,16.28089086558783,17.108122,21.911315110335764,17.279424,21.12942052839573,17.795973,18.77167301577738,18.416807,15.937924776503095
0.12,10.178751,4.277736,57.97386142956047,4.179061,58.94328292341565,4.084954,59.86782661251857,3.995398,60.74765951146659,3.914619,61.54126375623099,3.834093,62.33238243081101,3.758055,63.07940925168519,3.682277,63.823881731658425,8.119262,20.233219183768217,8.605098,15.460177776232076,7.797646,23.392899580704942,9.334868,8.290634086637938,8.370726,17.762739259463174,8.384105,17.631298771332553,8.661401,14.907035254128925,8.894698,12.615034988084492
0.14,5.110249,2.256518,55.843286696988734,2.209612,56.76116760650998,2.165022,57.633727828135186,2.122733,58.4612608896357,2.084719,59.205138536302236,2.046958,59.94406534789205,2.011435,60.63919781599682,1.976172,61.32924246939826,4.700832,8.011683970781062,4.675974,8.498118193457884,4.188933,18.028788812443388,5.21939,2.1357276328413772,4.619945,9.594522693512571,4.613723,9.716278013067454,4.691658,8.191205555737094,4.676668,8.484537641903543
0.16,3.240571,1.515926,53.220404675595745,1.487988,54.082536688750224,1.461542,54.89862743325173,1.436572,55.66917064924669,1.414228,56.3586787637117,1.392136,57.04041047087072,1.371457,57.678538751349684,1.351039,58.308612895690295,3.65378,12.751117009934351,3.227787,0.39449837698355955,3.133786,3.2952525959159638,3.584665,10.618313871228253,3.306366,2.030352058325525,3.264433,0.7363517108558901,3.235396,0.15969407860528068,3.119545,3.7347121849822167
0.18,2.307007,1.143362,50.439595545223746,1.124966,51.23699234549354,1.107648,51.98766193600627,1.09139,52.692384548464744,1.076929,53.319214029259555,1.06272,53.93512026621505,1.049509,54.50776698987042,1.036559,55.069100353835076,2.952811,27.993153033345802,2.40746,4.354256402342945,2.619129,13.529304419102326,2.657757,15.20368165332832,2.579122,11.795152767200094,2.481435,7.560791969855305,2.459954,6.629672124965384,2.330655,1.0250510726668847
0.2,1.439919,0.789745,45.15351210727825,0.780407,45.802020808114904,0.771752,46.40309628527716,0.763763,46.95791916073057,0.756784,47.44259920176066,0.750057,47.90977825836036,0.743934,48.33501051100791,0.738072,48.742116744066855,1.939084,34.66618608407835,1.567489,8.85952612612237,1.840638,27.829273729980645,1.692734,17.55758483636927,1.70796,18.615005427388624,1.59688,10.900682607841144,1.604324,11.417656132046327,1.507323,4.681096645019617
0.22,0.758488,0.508762,32.92418601217158,0.50662,33.20658995264264,0.504849,33.44008079231313,0.503432,33.626899832297944,0.502397,33.76335551781967,0.501615,33.866455369102745,0.501124,33.93118941894928,0.500895,33.96138106337873,1.042723,37.47389543407411,0.895118,18.013468901287812,1.050617,38.514650198816575,0.87963,15.971511744417837,0.919736,21.259136598074054,0.842899,11.128851082680265,0.830441,9.486372889221705,0.781484,3.031821202181169
0.24,0.453397,0.381904,15.768300187253109,0.383011,15.524143300462951,0.384348,15.229258243878979,0.385897,14.887615048180736,0.387546,14.523916126485176,0.389449,14.104195660756469,0.391501,13.651612163291773,0.393814,13.141463220974112,0.652685,43.95441522550876,0.579342,27.778084107305524,0.618787,36.47796522694239,0.489647,7.995200674022987,0.508501,12.153587253554829,0.468664,3.367247688008529,0.434132,4.249035613380762,0.418602,7.674289860762206
0.26,0.387218,0.353644,8.670568000454521,0.355474,8.197966003646522,0.357503,7.673971767841368,0.359714,7.102975584812697,0.361961,6.5226823133222185,0.364461,5.877051170141891,0.36708,5.20068798454617,0.369959,4.457179160059714,0.601099,55.235293813820654,0.494127,27.60951195450624,0.488316,26.108806925297884,0.406582,5.000800582617542,0.391029,0.9842001146640933,0.361057,6.756142534696215,0.350228,9.552758394496129,0.342909,11.442908129270847
0.28,0.361221,0.341839,5.3656902561036075,0.343972,4.7751930258761295,0.34629,4.133480611592357,0.348777,3.4449824345760653,0.351274,2.7537158692324195,0.354024,1.9924090792063607,0.356879,1.202034211742953,0.359995,0.33940440893525153,0.584281,61.75167003025849,0.461357,27.721533354926763,0.435473,20.555837008368833,0.394665,9.258597922047713,0.36232,0.30424587717767265,0.325707,9.831654305812782,0.352032,2.5438720340179564,0.339661,5.968645233804242
0.3,0.318214,0.323044,1.517846480670241,0.325658,2.339306253024696,0.328437,3.212617923787131,0.331363,4.132124922222159,0.334258,5.041890048835061,0.337405,6.030847165743812,0.340637,7.04651586668092,0.34413,8.144204843281564,0.522633,64.23947406462318,0.424476,33.3932510826048,0.377808,18.727648689246852,0.365457,14.846298402961523,0.331867,4.290508902813838,0.29529300000000003,7.203014323694108,0.33375,4.8822490525244,0.315784,0.7636370492812974
0.32,0.259591,0.29861,15.030952536875303,0.301851,16.279454988809306,0.305228,17.580347546717714,0.308725,18.92746666872118,0.312137,20.241841974490633,0.315802,21.653678286227183,0.319523,23.087086994541405,0.323506,24.621423701129853,0.453931,74.86392055194516,0.376635,45.08784973284897,0.326192,25.6561282941242,0.321555,23.869856813217698,0.286117,10.218381993212397,0.259565,0.010015755553939082,0.292047,12.502744702243138,0.273248,5.2609682153849615
0.34,0.187954,0.269729,43.50798599657362,0.273709,45.625525394511406,0.277794,47.79892952530937,0.281966,50.018621577620046,0.285989,52.15903891377677,0.290265,54.43406365387274,0.294565,56.72185747576535,0.299127,59.1490471072709,0.391988,108.55528480372855,0.315599,67.91289358034412,0.279983,48.963576194175154,0.271385,44.389052640539695,0.233209,24.077699862732363,0.217049,15.479851453015089,0.235855,25.4854911308086,0.224498,19.443055215637862
0.36,0.133513,0.248009,85.75644319279772,0.252546,89.15461415742287,0.257162,92.61195539011183,0.261843,96.11798102057479,0.266325,99.47495749477578,0.271061,103.0221776156629,0.275797,106.56939773655003,0.280793,110.31135544853312,0.343781,157.48878386374363,0.261535,95.88729187419955,0.242611,81.71339120535079,0.23325,74.70208893515989,0.199028,49.070128002516626,0.192244,43.988974856381034,0.185877,39.22015084673403,0.189429,41.88056593739935
