q_inverse_angstroms,debye,propo{e=0.380}_Elf2Nucleosome,propo{e=0.380}_Elf2Nucleosome_relDiffDebye,propo{e=0.390}_Elf2Nucleosome,propo{e=0.390}_Elf2Nucleosome_relDiffDebye,propo{e=0.400}_Elf2Nucleosome,propo{e=0.400}_Elf2Nucleosome_relDiffDebye,propo{e=0.410}_Elf2Nucleosome,propo{e=0.410}_Elf2Nucleosome_relDiffDebye,propo{e=0.420}_Elf2Nucleosome,propo{e=0.420}_Elf2Nucleosome_relDiffDebye,propo{e=0.430}_Elf2Nucleosome,propo{e=0.430}_Elf2Nucleosome_relDiffDebye,propo{e=0.440}_Elf2Nucleosome,propo{e=0.440}_Elf2Nucleosome_relDiffDebye,propo{e=0.450}_Elf2Nucleosome,propo{e=0.450}_Elf2Nucleosome_relDiffDebye,strat{s=0.15}_Elf2Nucleosome,strat{s=0.15}_Elf2Nucleosome_relDiffDebye,strat{s=0.20}_Elf2Nucleosome,strat{s=0.20}_Elf2Nucleosome_relDiffDebye,strat{s=0.25}_Elf2Nucleosome,strat{s=0.25}_Elf2Nucleosome_relDiffDebye,strat{s=0.30}_Elf2Nucleosome,strat{s=0.30}_Elf2Nucleosome_relDiffDebye,strat{s=0.35}_Elf2Nucleosome,strat{s=0.35}_Elf2Nucleosome_relDiffDebye,strat{s=0.40}_Elf2Nucleosome,strat{s=0.40}_Elf2Nucleosome_relDiffDebye,strat{s=0.45}_Elf2Nucleosome,strat{s=0.45}_Elf2Nucleosome_relDiffDebye,strat{s=0.50}_Elf2Nucleosome,strat{s=0.50}_Elf2Nucleosome_relDiffDebye
0,187.04931,48.582616,74.02684030216416,47.344808,74.68859521588185,46.140638,75.33236663636984,45.036989,75.92239768219406,43.966953,76.49445860024825,42.963957,77.0306787017819,41.994555,77.54893883329483,41.058742,78.04924166787892,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887
0.02,148.751807,38.727313,73.96514786539701,37.742029,74.6275156173397,36.78356,75.27185669751226,35.905135,75.86238733893163,35.053499,76.43490878736014,34.255254,76.97153756256554,33.483777,77.49017126225566,32.739064,77.99081257547346,115.79990599999999,22.152269383860336,115.574638,22.303708216465576,116.486669,21.690585580583907,115.668494,22.24061251235759,116.074811,21.967461544853712,116.306001,21.81204158414023,116.086023,21.95992415742554,116.045411,21.987226010639326
0.04,75.455296,19.811587,73.74394104822014,19.310986,74.40738155741911,18.8241,75.05264574139369,18.37796,75.64390973961589,17.945509,76.21703187010228,17.540249,76.75411809397713,17.148659,77.27308763058859,16.770733,77.77394843166476,60.902804,19.286243340692746,60.210711,20.20346590383795,62.139117,17.64777253010843,60.370376,19.991863791774144,61.117681,19.001469426347498,61.652327,18.292909486432873,61.197952,18.895087231517856,61.143852,18.966785313518617
0.06,25.963338,6.957428,73.20287553164388,6.786193,73.86240166807518,6.619771,74.50339012649299,6.467389,75.0903023332362,6.319795,75.65877315158784,6.181589,76.1910852911132,6.04815,76.70503692552938,5.919473,77.20064731276078,22.717058,12.503322954852718,21.872432,15.756471683263532,23.26243,10.4027764072555,21.921305,15.568233175564714,22.371063,13.835952064407127,22.84229,12.020981277522951,22.480793,13.413317655842254,22.528505,13.229550838185759
0.08,7.643426,2.146222,71.92068059532465,2.098266,72.54809557912904,2.05179,73.15614751814172,2.00936,73.7112650792982,1.968386,74.24733359098394,1.930135,74.74777671688062,1.89332,75.22943245607402,1.857936,75.69236622425598,7.416617,2.967373531188766,6.840718,10.50193983692653,7.274854,4.822078476327231,6.84892,10.394631935993102,7.012095,8.259790832016945,7.190681,5.923325482578103,7.029442,8.032837630664567,7.131272,6.700581650165774
0.1,3.004342,0.912302,69.63388322634374,0.895963,70.17772943293407,0.88025,70.70073913023218,0.866019,71.17442022246469,0.852389,71.62809693437032,0.839774,72.04798921028299,0.82774,72.44854280904104,0.816282,72.82992415643758,2.891413,3.758859677094014,2.615989,12.926391203131999,2.665931,11.264063811643275,2.668204,11.188406646114194,2.751593,8.412790554470819,2.680744,10.771010757097562,2.668981,11.162544077871289,2.700336,10.118887929536644
0.12,1.957751,0.639039,67.35851494904102,0.629702,67.83543974693411,0.620802,68.29004301364168,0.612816,68.69796005722894,0.605241,69.08488362411768,0.598303,69.43926985607465,0.591757,69.773633112689,0.585598,70.08822878905437,1.836314,6.202882797659152,1.741153,11.063613299137637,1.717055,12.294515492521779,1.751523,10.533923874895228,1.802051,7.953003216445807,1.643727,16.040037778042258,1.682327,14.068387655018444,1.656704,15.377185351967643
0.14,1.485339,0.521293,64.904106066022635,0.514973,65.32959815907346,0.509008,65.7311899842393,0.503713,66.08767426156588,0.498748,66.42194138846418,0.494256,66.72436393308195,0.490075,67.0058484965385,0.486199,67.26679902702347,1.509923,1.6551103822090403,1.445217,2.7012015438899803,1.473545,0.7940274913672811,1.438025,3.1854007738300725,1.463084,1.4983111599439531,1.359757,8.454770257833388,1.403185,5.530993261470955,1.34256,9.612553093940171
0.16,1.10948,0.423682,61.81256083931211,0.419863,62.15677614738436,0.416332,62.47503334895627,0.413267,62.75128889209359,0.410465,63.0038396365865,0.408002,63.225835526552984,0.405781,63.42601939647403,0.403797,63.60484190792083,1.182934,6.620579009986652,1.084334,2.266467173811165,1.137055,2.485398565093549,1.110308,0.07462955618848928,1.085443,2.166510437321996,1.067072,3.8223311821754336,1.13798,2.5687709557630574,1.050264,5.337275119875972
0.18,0.870854,0.361279,58.514400806564595,0.359059,58.76932298640185,0.357084,58.99611186260844,0.355445,59.1843179224072,0.354026,59.34726142384372,0.352859,59.481267812974394,0.351891,59.59242306976831,0.351118,59.68118651346839,0.939175,7.8452874993971395,0.851576,2.2136890913976415,0.852265,2.134571351799494,0.871746,0.10242819117785576,0.806467,7.393547023955792,0.840971,3.431459234268889,0.917877,5.399642190309746,0.853949,1.9411979505175445
0.2,0.6587,0.306302,53.4990132078336,0.30549,53.62228632154243,0.304885,53.71413390010626,0.304503,53.772126916654,0.304302,53.80264156672233,0.304277,53.80643692120843,0.304414,53.785638378624554,0.304707,53.741156824047366,0.738586,12.127827539092154,0.67727,2.81918931228178,0.658501,0.03021102170941995,0.673318,2.219219675117659,0.619285,5.983755882799451,0.660155,0.22088963109155843,0.714423,8.45954152117809,0.673789,2.290724153635953
