q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,201.898371,65.760869,-26.443242999999995,109.694259,-136.13750199999998
0.02,155.715814,178.460438,58.384255,-22.744624000000016,97.331559,-120.07618300000001
0.04,110.323038,124.959808,41.423986,-14.636769999999999,68.899052,-83.535822
0.06,65.571009,73.062753,24.710017,-7.491743999999997,40.860992,-48.352736
0.08,36.016787,39.662411,13.679766,-3.645623999999998,22.337021,-25.982644999999998
0.1,20.232491,22.278756,7.79324,-2.0462650000000018,12.439250999999999,-14.485516
0.12,12.023409,13.256843,4.73207,-1.2334340000000008,7.291338999999999,-8.524773
0.14,7.590894,8.342844,3.077728,-0.7519499999999999,4.513166,-5.265115999999999
0.16,5.095966,5.64743,2.145032,-0.5514640000000002,2.9509339999999997,-3.502398
0.18,3.402934,3.848897,1.510352,-0.4459629999999999,1.8925820000000002,-2.338545
0.2,2.049687,2.358768,1.001367,-0.30908099999999994,1.0483200000000001,-1.357401
0.22,1.080507,1.351828,0.635747,-0.2713209999999999,0.44476000000000016,-0.7160810000000001
0.24,0.586863,1.014258,0.448796,-0.4273950000000001,0.13806700000000005,-0.5654620000000001
0.26,0.44614,1.052625,0.39491,-0.6064849999999999,0.05123,-0.6577149999999999
0.28,0.427474,1.079692,0.387498,-0.6522180000000001,0.03997600000000001,-0.6921940000000001
0.3,0.403836,1.017644,0.378701,-0.613808,0.025134999999999963,-0.638943
0.32,0.352069,0.898594,0.359426,-0.5465249999999999,-0.007357000000000002,-0.539168
0.34,0.277245,0.726677,0.33136,-0.449432,-0.05411499999999997,-0.39531700000000003
0.36,0.214571,0.582158,0.307793,-0.36758699999999994,-0.09322199999999997,-0.27436499999999997
0.38,0.191423,0.523664,0.299098,-0.332241,-0.10767499999999997,-0.22456600000000004
0.4,0.18979,0.515719,0.298542,-0.325929,-0.10875199999999999,-0.21717700000000006
0.42,0.189667,0.541722,0.298569,-0.352055,-0.10890199999999997,-0.24315300000000006
0.44,0.186964,0.591769,0.297543,-0.40480499999999997,-0.11057900000000001,-0.294226
0.46,0.176092,0.625632,0.293371,-0.44953999999999994,-0.117279,-0.332261
0.48,0.160713,0.643835,0.287522,-0.48312200000000005,-0.126809,-0.35631300000000005
0.5,0.149848,0.658443,0.283419,-0.508595,-0.13357099999999997,-0.375024
