q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,196.731784,65.760869,-21.276656000000003,109.694259,-130.970915
0.02,155.715814,175.451364,58.384255,-19.735550000000018,97.331559,-117.06710900000002
0.04,110.323038,126.308728,41.423986,-15.985690000000005,68.899052,-84.884742
0.06,65.571009,77.217452,24.710017,-11.64644299999999,40.860992,-52.507434999999994
0.08,36.016787,43.792988,13.679766,-7.776201,22.337021,-30.113222
0.1,20.232491,25.087678,7.79324,-4.855187000000001,12.439250999999999,-17.294438
0.12,12.023409,15.025289,4.73207,-3.0018800000000017,7.291338999999999,-10.293219
0.14,7.590894,9.49587,3.077728,-1.9049760000000004,4.513166,-6.418142
0.16,5.095966,6.265242,2.145032,-1.169276,2.9509339999999997,-4.12021
0.18,3.402934,4.106055,1.510352,-0.7031209999999994,1.8925820000000002,-2.5957029999999994
0.2,2.049687,2.594141,1.001367,-0.544454,1.0483200000000001,-1.5927740000000001
0.22,1.080507,1.692055,0.635747,-0.611548,0.44476000000000016,-1.056308
0.24,0.586863,1.342006,0.448796,-0.755143,0.13806700000000005,-0.8932100000000001
0.26,0.44614,1.312102,0.39491,-0.8659620000000001,0.05123,-0.9171920000000001
0.28,0.427474,1.331522,0.387498,-0.9040480000000001,0.03997600000000001,-0.9440240000000001
0.3,0.403836,1.292409,0.378701,-0.888573,0.025134999999999963,-0.913708
0.32,0.352069,1.215743,0.359426,-0.863674,-0.007357000000000002,-0.856317
0.34,0.277245,1.137691,0.33136,-0.860446,-0.05411499999999997,-0.806331
0.36,0.214571,1.084156,0.307793,-0.8695849999999998,-0.09322199999999997,-0.7763629999999999
0.38,0.191423,1.055225,0.299098,-0.8638020000000001,-0.10767499999999997,-0.7561270000000001
0.4,0.18979,1.040913,0.298542,-0.851123,-0.10875199999999999,-0.742371
0.42,0.189667,1.049958,0.298569,-0.8602909999999999,-0.10890199999999997,-0.751389
0.44,0.186964,1.078877,0.297543,-0.8919130000000001,-0.11057900000000001,-0.7813340000000001
0.46,0.176092,1.104164,0.293371,-0.9280719999999999,-0.117279,-0.8107929999999999
0.48,0.160713,1.119339,0.287522,-0.9586260000000001,-0.126809,-0.831817
0.5,0.149848,1.141204,0.283419,-0.9913560000000001,-0.13357099999999997,-0.8577850000000001
