q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,195.31062,96.4944,-25.21629999999999,73.59992000000001,-98.81622
0.02,163.226285,187.372068,92.612712,-24.145783000000023,70.61357299999999,-94.75935600000001
0.04,144.167415,165.371759,81.840919,-21.204343999999992,62.326496000000006,-83.53084
0.06,117.02905,134.1269,66.50261,-17.097850000000008,50.526439999999994,-67.62429
0.08,87.141471,99.846946,49.610558,-12.705475000000007,37.530913,-50.236388000000005
0.1,59.447649,68.231353,33.959021,-8.783704,25.488628,-34.272332
0.12,37.261788,43.028128,21.421866,-5.76634,15.839922000000001,-21.606262
0.14,21.789073,25.517473,12.680655,-3.7284000000000006,9.108417999999999,-12.836818
0.16,12.428035,14.921266,7.395084,-2.4932309999999998,5.032951,-7.5261819999999995
0.18,7.55505,9.35321,4.646299,-1.798160000000001,2.9087509999999996,-4.706911000000001
0.2,5.367213,6.793267,3.413717,-1.4260540000000006,1.9534959999999995,-3.37955
0.22,4.454491,5.70748,2.899127,-1.2529890000000004,1.555364,-2.8083530000000003
0.24,3.988791,5.210531,2.634169,-1.2217399999999996,1.354622,-2.5763619999999996
0.26,3.619285,4.908347,2.421327,-1.289062,1.1979580000000003,-2.4870200000000002
0.28,3.255083,4.64917,2.210721,-1.3940869999999999,1.044362,-2.438449
0.3,2.887475,4.352683,1.998944,-1.465208,0.8885309999999997,-2.353739
0.32,2.511348,3.961282,1.784032,-1.4499340000000003,0.7273159999999999,-2.17725
0.34,2.122264,3.460784,1.563569,-1.33852,0.5586949999999999,-1.8972149999999999
0.36,1.734447,2.896952,1.345031,-1.1625050000000001,0.389416,-1.551921
0.38,1.38208,2.35317,1.146942,-0.97109,0.23513800000000007,-1.206228
0.4,1.100568,1.904194,0.988689,-0.803626,0.11187899999999995,-0.9155049999999999
0.42,0.90559,1.581514,0.878878,-0.6759240000000001,0.026711999999999958,-0.702636
0.44,0.786334,1.37143,0.811472,-0.585096,-0.025137999999999994,-0.559958
0.46,0.715008,1.238968,0.770993,-0.5239600000000001,-0.05598500000000006,-0.46797500000000003
0.48,0.662818,1.154438,0.741379,-0.49162000000000006,-0.07856099999999999,-0.41305900000000007
0.5,0.611276,1.104224,0.712292,-0.49294800000000005,-0.101016,-0.39193200000000006
