q_inverse_angstroms,debye,propo{e=0.380}_CollagenLikePeptide,propo{e=0.380}_CollagenLikePeptide_relDiffDebye,propo{e=0.390}_CollagenLikePeptide,propo{e=0.390}_CollagenLikePeptide_relDiffDebye,propo{e=0.400}_CollagenLikePeptide,propo{e=0.400}_CollagenLikePeptide_relDiffDebye,propo{e=0.410}_CollagenLikePeptide,propo{e=0.410}_CollagenLikePeptide_relDiffDebye,propo{e=0.420}_CollagenLikePeptide,propo{e=0.420}_CollagenLikePeptide_relDiffDebye,propo{e=0.430}_CollagenLikePeptide,propo{e=0.430}_CollagenLikePeptide_relDiffDebye,propo{e=0.440}_CollagenLikePeptide,propo{e=0.440}_CollagenLikePeptide_relDiffDebye,propo{e=0.450}_CollagenLikePeptide,propo{e=0.450}_CollagenLikePeptide_relDiffDebye,strat{s=0.15}_CollagenLikePeptide,strat{s=0.15}_CollagenLikePeptide_relDiffDebye,strat{s=0.20}_CollagenLikePeptide,strat{s=0.20}_CollagenLikePeptide_relDiffDebye,strat{s=0.25}_CollagenLikePeptide,strat{s=0.25}_CollagenLikePeptide_relDiffDebye,strat{s=0.30}_CollagenLikePeptide,strat{s=0.30}_CollagenLikePeptide_relDiffDebye,strat{s=0.35}_CollagenLikePeptide,strat{s=0.35}_CollagenLikePeptide_relDiffDebye,strat{s=0.40}_CollagenLikePeptide,strat{s=0.40}_CollagenLikePeptide_relDiffDebye,strat{s=0.45}_CollagenLikePeptide,strat{s=0.45}_CollagenLikePeptide_relDiffDebye,strat{s=0.50}_CollagenLikePeptide,strat{s=0.50}_CollagenLikePeptide_relDiffDebye
0,183.629759,206.301854,12.346634403631702,201.402096,9.678353387154417,195.890682,6.676980390743742,191.604667,4.342927880224467,186.707107,1.675843837490415,182.422438,0.6574756763689961,178.750419,2.6571619036977623,174.467091,4.989751143767496,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913
0.02,170.366398,191.384032,12.33672499197875,186.840521,9.669819397132521,181.729884,6.670027736338004,177.755585,4.337232627293084,173.214271,1.6716166059929216,169.241317,0.6603890281227842,165.836484,2.65892456093366,161.864871,4.990143068001009,131.615061,22.74588032318439,134.38832,21.118059912260403,133.27049,21.774192819407972,132.422366,22.27201633974793,133.164644,21.836321268000276,133.669738,21.539846137969064,132.83439,22.030170526936885,133.231971,21.79680232483404
0.04,138.038853,155.046982,12.321262188407221,151.371221,9.658416967576516,147.236803,6.663305149311855,144.021786,4.3342384190920535,140.348222,1.6729847791476533,137.134551,0.6551068632829058,134.38053,2.6502125455939542,131.168199,4.97733344683761,102.098096,26.036696349541526,110.357815,20.053077375251725,107.027543,22.465638714051035,104.476842,24.31345253209253,106.65384,22.736361769102782,108.120924,21.67355664712745,105.661451,23.455281825617597,106.875539,22.575755537464506
0.06,102.48947,115.140086,12.343332441859637,112.417326,9.686708302813944,109.355034,6.698799398611395,106.973892,4.375495355766802,104.253329,1.721014851574505,101.873532,0.6009768613302419,99.834262,2.5907129776356554,97.455806,4.911396263440529,72.444703,29.314979382759997,83.542518,18.486730392888166,78.97604,22.942288607795515,75.491047,26.342631101517068,78.329091,23.573523211701644,80.255256,21.694144774092397,77.00491,24.86553984521532,78.694939,23.216561662383455
0.08,75.456752,84.849716,12.448142480344247,82.850308,9.798402136365484,80.601787,6.818521687760967,78.853578,4.501685945877984,76.856367,1.8548572035011677,75.109504,0.46019473512455633,73.612748,2.443789258249544,71.867225,4.757065345192688,53.509062,29.086449414096165,62.508225,17.160196611696186,58.421397,22.57631629837446,55.547809,26.384574570609658,57.679645,23.559332370945405,59.323611,21.380645962603843,56.696161,24.86270678600107,58.107876,22.99181390685886
0.1,58.677757,66.078185,12.611981742928593,64.527052,9.968504760671063,62.782841,6.9959797543045115,61.426873,4.68510751015926,59.877937,2.0453747064667165,58.523315,0.2632036531321452,57.362765,2.2410399906731207,56.009484,4.547332986842015,44.445373,24.255160264561585,48.796805,16.839348511566318,45.95418,21.683816237215744,44.630927,23.938934816475687,45.312907,22.77668861814196,46.492821,20.76585170084126,45.051375,23.22239754324624,45.70428,22.109701637027474
0.12,47.891991,54.006605,12.767508454597355,52.743748,10.130622884314832,51.323848,7.165826536633235,50.220123,4.861213642172454,48.959463,2.2289154777465865,47.857083,0.07288901394806158,46.912741,2.044705136606245,45.811701,4.343711665693744,38.932812,18.707050621470298,39.724253,17.054496648510607,37.786638,21.100298377655662,37.822419,21.02558651194936,37.255287,22.209776160694584,38.267204,20.09686128939596,37.533334,21.629205183806192,37.543211,21.608581693753344
0.14,39.419235,44.513915,12.924350256924056,43.477749,10.295770580022676,42.312877,7.340685327860877,41.407506,5.0439106694992875,40.373538,2.420906950629567,39.469512,0.12754433210081637,38.695188,1.8367860259084143,37.792503,4.126746751934676,33.249994,15.650331621098177,32.829613,16.716767841892413,31.309233,20.573717374271727,31.904716,19.063076693396003,30.770916,21.939337483337766,31.780502,19.37818681666451,31.163628,20.943092883461592,30.956302,21.469044236906168
0.16,32.325352,36.575175,13.147027757037261,35.728591,10.528080251067333,34.776998,7.584282454217347,34.037511,5.296644565541002,33.193125,2.6844966761692173,32.454984,0.4010227019337666,31.822846,1.5545259955715374,31.086045,3.833854616648888,27.68577,14.352765594014262,27.297776,15.55304332030167,26.078118,19.32611282933594,26.577502,17.781244887913374,25.551679,20.95467668843947,26.362228000000002,18.447205153404052,25.831933,20.087697730252103,25.683756,20.546090263765738
0.18,26.711325,30.304103,13.45039229615155,29.607276,10.841659857756964,28.82416,7.909884665025042,28.21571,5.6320118900878295,27.521081,3.031508171159612,26.913977,0.7586744573696756,26.394157,1.1873914903135612,25.788393,3.455208605338745,23.257111,12.931646034032385,22.944389,14.102392898892127,22.021566,17.55719343761494,22.216028,16.829180132397017,21.714696,18.706031992048313,22.077067,17.349412655493502,21.901244,18.007646569385834,21.816711,18.324115333103084
0.2,22.265274,25.336075,13.791885067302559,24.757888,11.195074446422709,24.108241,8.277315608152849,23.603601,6.010826545408781,23.027611,3.4238833081506144,22.524317,1.1634395336881924,22.093476,0.7715961636043758,21.591522,3.0260215975783646,19.797211,11.084808567817312,19.445455,12.664649893821215,18.704356,15.993146996529218,18.66663,16.16258573777264,18.726691,15.89283383622408,18.646815,16.25158082492046,18.854975,15.316672051734024,18.768211,15.70635510706044
0.22,18.50702,21.12793,14.161707287288817,20.650236,11.580556999452094,20.113643,8.681154502453658,19.696935,6.429533225770541,19.221438,3.8602541089813402,18.806075,1.615900344842115,18.450604,0.3048356785695495,18.036581,2.541948946940128,16.777886,9.343124933133492,16.508736,10.797437945168923,15.878176,14.204577506265196,15.679653,15.277267761098223,16.022683,13.423754877878771,15.720297,15.057653798396501,16.069237,13.172207086824347,16.002956,13.530346862974154
0.24,15.283752,17.515436,14.601676342301298,17.124011,12.040623271039728,16.68447,9.16475221529374,16.343247,6.9321656095963995,15.954018,4.385480737975857,15.61414,2.161694327413851,15.323371,0.2592229970755877,14.984833,1.955795932831151,14.177029,7.241173502422707,14.060713,8.002216994884503,13.591327,11.073360782090681,13.204037,13.607358978345111,13.530677,11.470187425181978,13.221389,13.493826646755322,13.530703,11.470017309885682,13.551824,11.331824803228944
0.26,12.608179,14.516703,15.137189914578464,14.196889,12.60063011478502,13.837911,9.753446552432356,13.559348,7.544063262426716,13.241731,5.024928659404343,12.964513,2.8262130478953416,12.727453,0.9460049702657359,12.451575,1.2420826195440258,12.11231,3.9329152925255824,12.071702,4.254991938169657,11.746965,6.8305978206686335,11.15404,11.533299138598839,11.387944,9.67812243147881,11.155066,11.525161563775388,11.443649,9.236306051809697,11.572009,8.218236749335492
0.28,10.387947,12.025312,15.762161666785545,11.764994,13.256199709143676,11.47295,10.4448261047154,11.246445,8.26436638538875,10.988324,5.779553938810045,10.763165,3.6120515439672563,10.570726,1.7595295778848317,10.346908,0.3950636251802171,10.410426,0.21639502011320239,10.419192,0.3007812804589799,10.092018,2.848772717072979,9.379463,9.708212797004077,9.607907,7.509087214249356,9.417234,9.344608708534995,9.740388,6.233753406712617,9.945548,4.258772209754246
0.3,8.493114,9.894229,16.49707045024945,9.684803,14.031237541377642,9.450011,11.266739148915223,9.268037,9.124132797463915,9.060807,6.684156129306638,8.880178,4.55738613658077,8.725908,2.740973452140171,8.54662,0.6299927211621144,8.850698,4.21028141150583,8.968802,5.600866772776156,8.575369,0.9684904735765936,7.83842,7.7085271668318605,8.118417,4.411774056017609,7.905699,6.916367777472432,8.227675,3.1253436607585936,8.466782,0.31003940368632776
0.32,6.87959,8.076666,17.400397407403627,7.910644,14.987143129169024,7.724682,12.284045996927132,7.580687,10.190970682845924,7.416862,7.80965144725194,7.274212,5.736126716853766,7.152495,3.966878840163436,7.011185,1.9128320146985491,7.434331,8.06357646313225,7.666816,11.442920290307992,7.334664,6.6148418728441625,6.544973,4.86390904109112,6.861081,0.2690421958285288,6.614346,3.855520459794843,6.865972,0.19794784282203054,7.099313,3.193838586311104
0.34,5.537728,6.563492,18.523192182786868,6.433605,16.17769959087914,6.288296,13.55371733678504,6.175919,11.524419400880648,6.048229,9.218600119037982,5.937198,7.213608180105631,5.842583,5.505055502906604,5.732892,3.5242612132628977,6.236301,12.614794370543292,6.524521,17.819455921273118,6.373599,15.094114409375091,5.444159,1.6896640643960927,5.779389,4.363901585632225,5.548514,0.19477301882648473,5.7048,3.016977359668066,5.905998,6.650200226518887
0.36,4.425354,5.306582,19.913164009026175,5.206711,17.656372800910408,5.09517,15.135873875852665,5.009057,13.189973050743529,4.911383,10.982827588482195,4.826615,9.067319812155159,4.754512,7.43800382975013,4.671085,5.552798713955995,5.236767,18.33555010514415,5.557349,25.579761528682244,5.523008,24.803755812529356,4.500038,1.6876390001794301,4.825919,9.051592256800255,4.659282,5.286085587729267,4.726737,6.810370424603329,4.894388,10.598790514837924
0.38,3.49775,4.255574,21.666042455864492,4.180802,19.528325352012008,4.097496,17.146622828961466,4.033345,15.312558073046953,3.96077,13.237652776785083,3.897963,11.44201272246444,3.844684,9.918776356229007,3.783218,8.16147523407906,4.397151,25.713701665356304,4.745227,35.66512758201701,4.685663,33.96220427417626,3.775816,7.949853477235363,3.995335,14.225859481094988,3.892025,11.272246444142661,3.882685,11.005217639911374,4.026248,15.109656207562002
0.4,2.735442,3.389929,23.926188162644284,3.335829,21.948445625971964,3.27578,19.753224524592376,3.229716,18.069255352517068,3.177814,16.1718654608652,3.133095,14.537065673481656,3.09532,13.156118828328298,3.051942,11.570342196983157,3.728574,36.30608874178287,4.042217,47.771987123104786,3.913272,43.05812369628017,3.29001,20.27343295891487,3.295246,20.464846266161015,3.229649,18.066806022573328,3.171843,15.953582638564445,3.288325,20.211834138687642
0.42,2.120761,2.69051,26.865309197971875,2.653112,25.10188559672685,2.611853,23.15640470566934,2.580404,21.673493618564294,2.545204,20.01371205902033,2.5151,18.594221602528528,2.489852,17.403705556637455,2.461089,16.047447119218052,3.218229,51.74878263038599,3.422927,61.400883927986236,3.258073,53.62754218886523,2.908793,37.15798244120862,2.709289,27.750793229411524,2.673135,26.0460278173731,2.604546,22.811858573408326,2.687047,26.702018756474693
0.44,1.627627,2.127545,30.714531031987065,2.103591,29.242817918356007,2.077457,27.637167483704804,2.057771,26.427676611410345,2.036015,25.09100672328488,2.017675,23.964212930849644,2.00251,23.032488401826715,1.98551,21.988023054422186,2.802887,72.2069614229796,2.89655,77.961535413212,2.702111,66.0153708435655,2.492332,53.126729895731664,2.220385,36.41854061157746,2.219567,36.36828339662589,2.150729,32.138936009294525,2.209865,35.77220087894833
0.46,1.237607,1.680185,35.760786744095675,1.666914,34.68847542071111,1.652799,33.54796797367824,1.642461,32.71264626008095,1.631388,31.817935742121705,1.622396,31.09137230154646,1.615243,30.513402073517693,1.607591,29.895112099398286,2.447994,97.80059421124801,2.463437,99.04840551160426,2.230962,80.26417109793336,2.054775,66.02806868416225,1.828143,47.71595506489542,1.860683,50.345222675695936,1.7706,43.06641769156122,1.824943,47.45739156291134
0.48,0.938244,1.335138,42.301789300011514,1.330108,41.765681421890264,1.325262,41.24918464706409,1.322134,40.91579589104753,1.319301,40.61384884955301,1.317518,40.42381299534023,1.316546,40.32021521054225,1.316104,40.27310592980077,2.170382,131.3238347380852,2.095409,123.33305621991721,1.865275,98.80489510191379,1.694186,80.56987308205542,1.520982,62.10942995638662,1.578915,68.28404977809612,1.451043,54.6551856446724,1.505343,60.44259275838696
0.5,0.710416,1.071551,50.83429990315531,1.072815,51.01222382378775,1.075051,51.32696898718496,1.077431,51.66198396432512,1.080892,52.14916330713271,1.084618,52.67364473773113,1.088366,53.20122294542914,1.093432,53.91432625391318,1.976428,178.2071349744375,1.781105,150.7129625458886,1.607541,126.28164343145426,1.444787,103.37196797369428,1.274704,79.43064345397626,1.349817,90.00374428503862,1.189344,67.41514830747055,1.241272,74.72466836332514
