q_inverse_angstroms,debye,propo{e=0.380}_C60BuckyBallHe,propo{e=0.380}_C60BuckyBallHe_relDiffDebye,propo{e=0.390}_C60BuckyBallHe,propo{e=0.390}_C60BuckyBallHe_relDiffDebye,propo{e=0.400}_C60BuckyBallHe,propo{e=0.400}_C60BuckyBallHe_relDiffDebye,propo{e=0.410}_C60BuckyBallHe,propo{e=0.410}_C60BuckyBallHe_relDiffDebye,propo{e=0.420}_C60BuckyBallHe,propo{e=0.420}_C60BuckyBallHe_relDiffDebye,propo{e=0.430}_C60BuckyBallHe,propo{e=0.430}_C60BuckyBallHe_relDiffDebye,propo{e=0.440}_C60BuckyBallHe,propo{e=0.440}_C60BuckyBallHe_relDiffDebye,propo{e=0.450}_C60BuckyBallHe,propo{e=0.450}_C60BuckyBallHe_relDiffDebye,strat{s=0.15}_C60BuckyBallHe,strat{s=0.15}_C60BuckyBallHe_relDiffDebye,strat{s=0.20}_C60BuckyBallHe,strat{s=0.20}_C60BuckyBallHe_relDiffDebye,strat{s=0.25}_C60BuckyBallHe,strat{s=0.25}_C60BuckyBallHe_relDiffDebye,strat{s=0.30}_C60BuckyBallHe,strat{s=0.30}_C60BuckyBallHe_relDiffDebye,strat{s=0.35}_C60BuckyBallHe,strat{s=0.35}_C60BuckyBallHe_relDiffDebye,strat{s=0.40}_C60BuckyBallHe,strat{s=0.40}_C60BuckyBallHe_relDiffDebye,strat{s=0.45}_C60BuckyBallHe,strat{s=0.45}_C60BuckyBallHe_relDiffDebye,strat{s=0.50}_C60BuckyBallHe,strat{s=0.50}_C60BuckyBallHe_relDiffDebye
0,74.170762,7.100677,90.4265821079201,6.922409,90.666930184700007,6.751074,90.89793091245308,6.590094,91.11497061335302,6.436036,91.32267779586786,6.288896,91.5210578529583,6.14867,91.71011617758491,6.015352,91.88986085918867,36.377177,50.95482907402244,41.750502,43.71029651818866,29.182779,60.654605382104606,32.464574,56.22995756737675,40.964419,44.77012518760425,40.379701,45.55846547727257,39.521837,46.71507217358775,31.068959,58.111581757782126
0.02,64.892891,6.219249,90.41613202284363,6.063482,90.6561691017896,5.913783,90.88685538759553,5.77314,91.1035863697304,5.638554,91.31098350973453,5.510021,91.50905297161133,5.387535,91.69780400136588,5.271093,91.87724122200073,32.100207,50.53355382178921,36.291628,44.07457051035066,25.613499,60.52957634450282,28.341141,56.3262777119916,35.879159,44.71018558874192,35.512353,45.275433945453294,34.636971,46.62439834896553,27.134816,58.18522555883664
0.04,42.998364,4.139531,90.37281744021703,4.036854,90.61161024638054,3.938203,90.84103990561128,3.845546,91.05652949958748,3.756903,91.26268385466945,3.672272,91.45950762219698,3.591647,91.64701475618932,3.515022,91.82521921066578,21.912465,49.03884017540761,23.577838,45.165732352049496,17.103403,60.223130814930535,18.636516,56.657616089765654,23.827321,44.585517253633185,23.933015,44.33970790144481,23.125953,46.21666768531008,17.889383,58.395200803453825
0.06,20.783338,2.030028,90.23242560939921,1.981202,90.46735418535752,1.934331,90.69287618764609,1.890346,90.90451206634853,1.848306,91.10678948684759,1.808205,91.29973731842304,1.770039,91.48337480726147,1.733802,91.65773082264263,11.335985,45.456379528639715,11.052792,46.818975854600446,8.312609,60.00349414516572,8.862057,57.35979947013325,11.531669,44.514836837085554,11.964883,42.430407473525186,11.455986,44.878989120996835,8.582117,58.706743834893125
0.08,6.736308,0.696741,89.65693076979258,0.681951,89.87648723900392,0.667806,90.08646873034904,0.654585,90.28273350921603,0.641998,90.46958660441298,0.630042,90.64707255072065,0.618712,90.81526557277368,0.608002,90.97425474013362,4.323134,35.823391685772094,3.567609,47.039105100301235,2.660469,60.50553211046763,2.793903,58.52471413124222,3.77439,43.96945626595459,4.132157,38.65843129500611,4.02326,40.27499930228844,2.762898,58.98498109053209
0.1,1.293377,0.180381,86.0534863384767,0.178773,86.17781203778944,0.177303,86.29146799425071,0.175995,86.39259860040809,0.174816,86.48375531650863,0.17376,86.56540204441552,0.172823,86.63784805203743,0.171999,86.70155724123747,1.318028,1.9059408045759265,1.012969,21.680298938360583,0.514053,60.254975927359155,0.563754,56.41224484431066,0.884339,31.625581713607094,0.906453,29.915794080148327,1.015635,21.474171877186617,0.551905,57.328373706970204
0.12,0.390208,0.094676,75.73704280793834,0.095255,75.58866040675743,0.095889,75.42618295883221,0.096559,75.25447966212892,0.097273,75.07150032803018,0.098026,74.87852632442184,0.098814,74.67658274561259,0.099631,74.46720723306544,0.646416,65.65934065934066,0.7994,104.8650975889782,0.287122,26.4182179760538,0.288853,25.974608413974074,0.525535,34.68073437756273,0.312444,19.928858454977856,0.373797,4.205705674922095,0.223395,42.749764228309
0.14,0.518265,0.106693,79.41342749365671,0.106965,79.36094469045759,0.107304,79.29553413794102,0.107697,79.21970420537757,0.108145,79.13326194128486,0.108645,79.03678620010999,0.109191,78.93143469074701,0.109778,78.81817217060771,0.65492,26.367784820506877,0.921897,77.8813927237996,0.450392,13.096195961525467,0.387542,25.223196627208083,0.6254,20.671857061541875,0.434861,16.092925433899644,0.365942,29.390948645962972,0.311014,39.98938766847076
0.16,0.4423,0.099435,77.51865249830432,0.099893,77.41510287135428,0.10041,77.29821388198056,0.10097,77.17160298439974,0.101579,77.03391363328058,0.102232,76.8862762830658,0.102924,76.72982138819805,0.10365,76.56567940312004,0.612169,38.405833144924244,0.792788,79.24214334162333,0.432357,2.2480217047253075,0.352269,20.355188785891933,0.511399,15.62265430703143,0.451217,2.0160524530861297,0.349642,20.949129550079135,0.292935,33.77006556635768
0.18,0.227933,0.079179,65.26216037168817,0.080154,64.83440309213672,0.081168,64.3895355214032,0.082196,63.93852579486078,0.083252,63.47523175670043,0.084333,63.00096958316699,0.085433,62.51837162674997,0.086546,62.03007023993893,0.479019,110.15780953174837,0.560588,145.94420290172988,0.301364,32.21604594332546,0.267901,17.53497738370486,0.320499,40.61105675790692,0.320301,40.52418912575187,0.275804,21.00222433785367,0.204848,10.127976203533493
