q_inverse_angstroms,debye,propo{e=0.380}_CytosolAminopeptidase,propo{e=0.380}_CytosolAminopeptidase_relDiffDebye,propo{e=0.390}_CytosolAminopeptidase,propo{e=0.390}_CytosolAminopeptidase_relDiffDebye,propo{e=0.400}_CytosolAminopeptidase,propo{e=0.400}_CytosolAminopeptidase_relDiffDebye,propo{e=0.410}_CytosolAminopeptidase,propo{e=0.410}_CytosolAminopeptidase_relDiffDebye,propo{e=0.420}_CytosolAminopeptidase,propo{e=0.420}_CytosolAminopeptidase_relDiffDebye,propo{e=0.430}_CytosolAminopeptidase,propo{e=0.430}_CytosolAminopeptidase_relDiffDebye,propo{e=0.440}_CytosolAminopeptidase,propo{e=0.440}_CytosolAminopeptidase_relDiffDebye,propo{e=0.450}_CytosolAminopeptidase,propo{e=0.450}_CytosolAminopeptidase_relDiffDebye,strat{s=0.15}_CytosolAminopeptidase,strat{s=0.15}_CytosolAminopeptidase_relDiffDebye,strat{s=0.20}_CytosolAminopeptidase,strat{s=0.20}_CytosolAminopeptidase_relDiffDebye,strat{s=0.25}_CytosolAminopeptidase,strat{s=0.25}_CytosolAminopeptidase_relDiffDebye,strat{s=0.30}_CytosolAminopeptidase,strat{s=0.30}_CytosolAminopeptidase_relDiffDebye,strat{s=0.35}_CytosolAminopeptidase,strat{s=0.35}_CytosolAminopeptidase_relDiffDebye,strat{s=0.40}_CytosolAminopeptidase,strat{s=0.40}_CytosolAminopeptidase_relDiffDebye,strat{s=0.45}_CytosolAminopeptidase,strat{s=0.45}_CytosolAminopeptidase_relDiffDebye,strat{s=0.50}_CytosolAminopeptidase,strat{s=0.50}_CytosolAminopeptidase_relDiffDebye
0,182.131027,32.268992,82.28253992110855,31.453335,82.73038069455349,30.668574,83.16125785641125,29.93009,83.56672638759127,29.222488,83.9552389939579,28.545761,84.32679951889801,27.899902,84.68141180579846,27.284902,85.01908079615671,385.040944,111.40875903587808,314.069301,72.44140450599886,496.675408,172.70224968313613,385.078988,111.42964729452713,258.966198,42.186755472476435,314.069301,72.44140450599886,410.369928,125.31577115633354,355.827163,95.368778654062055
0.02,142.755749,25.312533,82.2686419445006,24.673706,82.71613845828374,24.059104,83.14666542781404,23.480768,83.5517881665137,22.926642,83.93995186841828,22.396718,84.31116213750524,21.890989,84.66542387725484,21.409447,85.0027426916446,325.674944,128.13438077369477,260.545109,82.51111484133645,415.331867,190.93880275182468,321.589723,125.27269497216534,211.974055,48.48722834973181,259.584849,81.83845541660112,343.526391,140.63926910572263,293.889547,105.86879972168404
0.04,66.155065,11.777274,82.1974719547173,11.482509,82.64303874540822,11.198985,83.07161363986265,10.932253,83.47480574616621,10.676746,83.86103014183418,10.432458,84.23029589646688,10.199382,84.5826135912647,9.977509,84.91799683062816,199.034088,200.85993869101335,147.890901,123.55189432585401,239.85956,262.5717244779368,185.95646,181.09179546569868,114.275215,72.73842146478128,144.777189,118.84520709034148,199.794844,202.00989750369084,162.953451,146.32044575876392
0.06,15.557293,2.835684,81.77263872320204,2.768211,82.20634528127742,2.703403,82.62292160981991,2.64252,83.01426861344066,2.584286,83.38858823318427,2.528693,83.74593189187861,2.475735,84.0863381566446,2.425403,84.40986487816356,93.959305,503.9566459280545,57.31622,268.42026437375705,92.293872,493.2514866178839,73.275806,371.0061448350944,38.055587,144.61573745509583,52.527764,237.64077079476485,78.715243,405.97004890246654,57.320131,268.44540370873005
0.08,1.427639,0.341249,76.09696849133431,0.337184,76.3817043384217,0.33339,76.64745779570326,0.329933,76.8896058457355,0.326732,77.11382219174455,0.32378,77.32059715376226,0.32107,77.510421051820515,0.318593,77.68392429738891,44.547929,3020.391709668901,17.629129,1134.845013340207,25.413986,1680.140917977164,21.058682,1375.0705185274428,6.738261,371.9863354811685,12.621639,784.0917767026536,21.327905,1393.9284370908892,12.024212,742.2445730328184
0.1,1.148745,0.294903,74.32824517190498,0.292016,74.57956291431083,0.289356,74.81111996134912,0.286966,75.0191730975978,0.284788,75.2087713113006,0.282813,75.38069806615046,0.281037,75.53530156823317,0.279449,75.67353938428458,31.166389,2613.0815803333203,9.73649,747.5762680142243,15.396724,1240.3082494374298,9.552452,731.5554801109038,1.569572,36.63363061427907,5.172754,350.2961057501883,8.222631,615.7925388140972,4.723347,311.1745426530693
0.12,1.604938,0.376398,76.5475052618855,0.371439,76.85648916032893,0.366786,77.14640690169962,0.36252,77.41221156206657,0.358543,77.66000929630927,0.354849,77.89017395064482,0.351431,78.10314167899321,0.34828,78.2994732506801,28.483039,1674.7127303360007,11.576939,621.3324751485726,23.442664,1360.658542572984,11.827478,636.9429847134281,3.389546,111.19482497143194,6.919583,331.1433214242544,10.612942,561.2680365222831,7.98475,397.5114303480882
0.14,1.180563,0.301306,74.47777035194224,0.298257,74.73603695863753,0.29544,74.97465192454787,0.292903,75.18954939295912,0.290583,75.3860658008086,0.288473,75.56479408553378,0.286567,75.7262424792239,0.284857,75.87108862466468,25.610178,2069.319045235197,13.473062,1041.240408178132,29.160968,2370.0899486092653,14.845354,1157.4808798852753,4.820526,308.3243333900859,8.110121,586.9706233381868,13.753408,1064.9872137276877,10.245502,767.8488145062992
0.16,0.443448,0.169463,61.785147300247154,0.169765,61.717044614024644,0.170173,61.62503833594921,0.170671,61.512736555357115,0.17126,61.37991376666486,0.171933,61.228148508957084,0.172683,61.059019321318395,0.173502,60.87433024841695,21.921283,4843.3717143836475,13.582233,2962.869378145803,29.029273,6446.26314697552,15.621231,3422.6748119283434,4.784122,978.8462232324871,7.435139,1576.6653587342823,14.202134,3102.6605148743483,10.325623,2228.4856398044417
0.18,0.118785,0.110043,7.359515090289177,0.111855,5.834069958328077,0.113717,4.266531969524774,0.115583,2.695626552174093,0.117483,1.0960979921707266,0.11941,0.526160710527424,0.121357,2.1652565559624573,0.123315,3.8136128299027594,19.660461,16451.299406490718,12.991923,10837.34309887612,26.247337,21996.507976596375,14.828071,12383.117396977732,4.278406,3501.806625415667,6.298988,5202.848002693942,13.049551,10885.857641958159,9.875289,8213.582523045838
