q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,175.455128,200.892003,69.935650999999993,-25.436874999999986,105.51947700000001,-130.95635199999998
0.02,155.715814,177.249076,62.087334,-21.533262000000008,93.62848,-115.161742
0.04,110.323038,123.798578,44.042531,-13.47554000000001,66.280507,-79.75604700000001
0.06,65.571009,72.83833,26.259778,-7.2673209999999955,39.31123100000001,-46.578552
0.08,36.016787,40.456478,14.524191,-4.439690999999996,21.492596,-25.932286999999995
0.1,20.232491,23.176216,8.261248,-2.9437250000000006,11.971243,-14.914968
0.12,12.023409,13.608868,5.00433,-1.5854590000000002,7.019078999999999,-8.604537999999998
0.14,7.590894,8.272084,3.2442,-0.68119,4.346693999999999,-5.027883999999999
0.16,5.095966,5.455602,2.251862,-0.35963600000000007,2.8441039999999997,-3.20374
0.18,3.402934,3.693978,1.576597,-0.29104399999999986,1.826337,-2.117381
0.2,2.049687,2.328589,1.035065,-0.278902,1.0146220000000001,-1.2935240000000001
0.22,1.080507,1.385247,0.646065,-0.3047399999999998,0.4344420000000001,-0.7391819999999999
0.24,0.586863,0.935326,0.44716,-0.34846299999999997,0.13970300000000002,-0.488166
0.26,0.44614,0.810391,0.389827,-0.364251,0.056313,-0.420564
0.28,0.427474,0.753584,0.381942,-0.32611,0.04553200000000002,-0.37164200000000003
0.3,0.403836,0.669642,0.372582,-0.265806,0.03125399999999995,-0.29705999999999994
0.32,0.352069,0.580412,0.352075,-0.22834300000000002,-6.0000000000060005e-6,-0.228337
0.34,0.277245,0.49321,0.322213,-0.21596499999999996,-0.04496800000000001,-0.17099699999999995
0.36,0.214571,0.432093,0.297139,-0.217522,-0.08256799999999997,-0.13495400000000002
0.38,0.191423,0.416834,0.287889,-0.22541099999999997,-0.096466,-0.12894499999999998
0.4,0.18979,0.414254,0.287297,-0.22446400000000002,-0.09750700000000004,-0.126957
0.42,0.189667,0.40746,0.287325,-0.217793,-0.097658,-0.12013499999999999
0.44,0.186964,0.405437,0.286235,-0.218473,-0.09927100000000003,-0.11920199999999997
0.46,0.176092,0.392954,0.281795,-0.21686200000000003,-0.10570300000000002,-0.11115900000000001
0.48,0.160713,0.371216,0.275572,-0.210503,-0.11485899999999999,-0.095644
0.5,0.149848,0.365871,0.271207,-0.216023,-0.12135899999999997,-0.09466400000000003
