q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,182.298089,263.655861,-81.35777200000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.02,177.34077,256.536705,-79.19593499999999,8046843.819172+5083.782999i,13.252839-0.004810i
0.04,163.304075,236.371503,-73.06742799999998,8046843.819172+5083.782999i,13.252839-0.004810i
0.06,142.468743,206.417086,-63.94834300000002,8046843.819172+5083.782999i,13.252839-0.004810i
0.08,117.964319,171.146286,-53.181967,8046843.819172+5083.782999i,13.252839-0.004810i
0.1,93.004226,135.159263,-42.15503700000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.12,70.198973,102.204493,-32.005520000000004,8046843.819172+5083.782999i,13.252839-0.004810i
0.14,51.142472,74.586508,-23.444035999999997,8046843.819172+5083.782999i,13.252839-0.004810i
0.16,36.348498,53.070568,-16.722070000000002,8046843.819172+5083.782999i,13.252839-0.004810i
0.18,25.483834,37.20938,-11.725546000000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.2,17.754861,25.8895,-8.134639000000004,8046843.819172+5083.782999i,13.252839-0.004810i
0.22,12.28458,17.866545,-5.5819649999999985,8046843.819172+5083.782999i,13.252839-0.004810i
0.24,8.362694,12.12247,-3.7597760000000005,8046843.819172+5083.782999i,13.252839-0.004810i
0.26,5.53071,7.99022,-2.45951,8046843.819172+5083.782999i,13.252839-0.004810i
0.28,3.537195,5.094539,-1.557344,8046843.819172+5083.782999i,13.252839-0.004810i
0.3,2.236357,3.211757,-0.9754,8046843.819172+5083.782999i,13.252839-0.004810i
0.32,1.499227,2.146107,-0.6468800000000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.34,1.174379,1.674751,-0.500372,8046843.819172+5083.782999i,13.252839-0.004810i
0.36,1.097244,1.560378,-0.46313399999999993,8046843.819172+5083.782999i,13.252839-0.004810i
0.38,1.122909,1.59627,-0.47336100000000014,8046843.819172+5083.782999i,13.252839-0.004810i
0.4,1.15393,1.644107,-0.4901770000000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.42,1.147148,1.642331,-0.49518299999999993,8046843.819172+5083.782999i,13.252839-0.004810i
0.44,1.100174,1.586359,-0.4861850000000001,8046843.819172+5083.782999i,13.252839-0.004810i
0.46,1.029106,1.497039,-0.46793299999999993,8046843.819172+5083.782999i,13.252839-0.004810i
0.48,0.950115,1.395087,-0.4449719999999999,8046843.819172+5083.782999i,13.252839-0.004810i
0.5,0.871401,1.290348,-0.41894700000000007,8046843.819172+5083.782999i,13.252839-0.004810i
