q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{a=0.15}_TetToxHcGT1b,strat{a=0.15}_TetToxHcGT1b_relDiffDebye,strat{a=0.20}_TetToxHcGT1b,strat{a=0.20}_TetToxHcGT1b_relDiffDebye,strat{a=0.25}_TetToxHcGT1b,strat{a=0.25}_TetToxHcGT1b_relDiffDebye,strat{a=0.30}_TetToxHcGT1b,strat{a=0.30}_TetToxHcGT1b_relDiffDebye,strat{a=0.35}_TetToxHcGT1b,strat{a=0.35}_TetToxHcGT1b_relDiffDebye,strat{a=0.40}_TetToxHcGT1b,strat{a=0.40}_TetToxHcGT1b_relDiffDebye,strat{a=0.45}_TetToxHcGT1b,strat{a=0.45}_TetToxHcGT1b_relDiffDebye,strat{a=0.50}_TetToxHcGT1b,strat{a=0.50}_TetToxHcGT1b_relDiffDebye
0,175.138217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.547556,84.27096240222659,24.80969,85.8342225786163,35.015944,80.00668009541288,65.328228,62.699044720776165,159.095256,9.160171477593604,99.083095,43.42577154362603,247.811284,41.49469387369634,460.603582,162.9943309289257
0.02,161.059383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.161275,84.37764100958962,23.005307,85.71625783516133,32.374567,79.89898731947832,60.011609,62.73945182069895,147.032569,8.709094582834705,91.769652,43.021232112878515,227.56045,41.28978129762238,422.246614,162.16827988220965
0.04,125.470537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.42277,84.52005509468728,18.390445,85.34281797168047,25.661129,79.54808386609518,46.806195,62.69546929571202,116.952184,6.789126119704095,73.053448,41.776412417841165,177.088832,41.139773714366115,326.404827,160.1446003215879
0.06,83.50779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.347412,84.01656659815808,12.820375,84.64768975445284,17.674114,78.83537092767034,31.695582,62.04476013555143,82.393638,1.3341893013813493,50.423627,39.618055992141564,119.428275,43.01453193767911,216.455511,159.20397486270443
0.08,48.75987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.137656,81.25988440904375,8.051803,83.4868243085964,11.016917,77.40577035992918,19.511225,59.98507584208079,54.665816,12.112308748977387,30.965012,36.494884010150145,74.268777,52.315371226379405,130.231462,167.0873855898303
0.1,26.52572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99839,73.6165879757458,4.896039,81.54229555314615,6.80336,74.3518366325212,11.615587,56.21009721885023,37.101609,39.87031831746698,17.951618,32.323729572656276,47.712209,79.87149453436137,80.561555,203.71109624922528
0.12,14.549347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.912107,59.36513851790048,3.194306,78.04502153945467,4.655541,68.00171856510123,6.967861,52.10877161703545,26.833361,84.4300022537094,10.77079,25.97062947223679,34.452847,136.79995397731597,58.362776,301.13673830172587
0.14,8.171848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.022601,38.53775792207589,2.365166,71.05714643737868,3.599535,55.95200742842991,4.297883,47.40622928865051,20.065064,145.5388793330468,7.137479,12.657712184563403,26.754494,227.39833144228817,48.704781,496.00693747607636
0.16,4.31685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.158655,3.6645933956472705,1.929781,55.29654725088895,2.907676,32.64357112246198,2.990743,30.71932080104705,15.131176,250.5142870380023,5.177665,19.94081332453063,20.698846,379.4895815235647,42.792584,891.2918910779852
0.18,1.979464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.463095,74.95114839168583,1.677797,15.23983260114859,2.3385,18.138041409189555,2.68126,35.45384002942211,11.936175,503.00035767258214,4.04484,104.3401648122926,16.120366,714.3803575109223,38.798393,1860.0453961274366
