q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,68.945112,130.331872,83.41256,-61.38676000000001,-14.467448000000005,-46.919312000000005
0.02,68.68988,129.716925,83.096267,-61.027045,-14.406386999999995,-46.620658000000006
0.04,67.929686,127.89003,82.154305,-59.96034399999999,-14.22461899999999,-45.735725
0.06,66.680846,124.904217,80.607188,-58.223371,-13.926341999999991,-44.29702900000001
0.08,64.969928,120.845203,78.488316,-55.875275,-13.518388000000002,-42.356887
0.1,62.832854,115.827571,75.842834,-52.99471700000001,-13.009979999999999,-39.98473700000001
0.12,60.31369,109.989717,72.726104,-49.676027,-12.412414000000005,-37.26361299999999
0.14,57.463197,103.48787,69.201861,-46.024673,-11.738663999999993,-34.28600900000001
0.16,54.337185,96.489527,65.34014,-42.152342,-11.002955000000007,-31.14938699999999
0.18,50.994769,89.166636,61.215063,-38.171867,-10.220294000000003,-27.951572999999996
0.2,47.496572,81.688922,56.902567,-34.192350000000005,-9.405994999999997,-24.786355000000007
0.22,43.902974,74.217675,52.478189,-30.314701,-8.575215,-21.739486
0.24,40.272458,66.900309,48.014976,-26.627850999999993,-7.742517999999997,-18.885332999999996
0.26,36.660114,59.865925,43.581603,-23.205810999999997,-6.921489000000001,-16.284321999999996
0.28,33.116364,53.222059,39.240764,-20.105695000000004,-6.124400000000001,-13.981295000000003
0.3,29.685933,47.052679,35.047875,-17.366746,-5.361941999999999,-12.004804
0.32,26.407087,41.417468,31.050134,-15.010380999999999,-4.643046999999999,-10.367334
0.34,23.311163,36.352292,27.285933,-13.041128999999998,-3.9747699999999995,-9.066358999999999
0.36,20.422368,31.870751,23.784623,-11.448383,-3.362255000000001,-8.086127999999999
0.38,17.757841,27.966586,20.566612,-10.208745,-2.808771,-7.399974
0.4,15.327952,24.616758,17.643764,-9.288806000000001,-2.315812000000001,-6.972994
0.42,13.136794,21.78491,15.020041,-8.648116,-1.8832470000000008,-6.764868999999999
0.44,11.182837,19.425006,12.692354,-8.242169,-1.5095170000000007,-6.732652
0.46,9.45969,17.484893,10.65155,-8.025203,-1.1918600000000001,-6.833342999999999
0.48,7.95694,15.909598,8.883486,-7.9526580000000004,-0.9265459999999992,-7.026112000000001
0.5,6.661011,14.644199,7.370141,-7.983188,-0.70913,-7.274058
