q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,196.75108,105.95818,-26.65675999999999,64.13614000000001,-90.7929
0.02,163.226285,189.077048,101.692367,-25.850763,61.533917999999986,-87.38468099999999
0.04,144.167415,167.737069,89.854615,-23.569653999999986,54.31280000000001,-77.882454
0.06,117.02905,137.218918,72.998453,-20.189868000000004,44.030597,-64.220465
0.08,87.141471,103.376479,54.434792,-16.235008000000008,32.706678999999994,-48.941687
0.1,59.447649,71.700686,37.234404,-12.253037000000006,22.213245,-34.46628200000001
0.12,37.261788,45.961305,23.456593,-8.699517,13.805195000000001,-22.504712
0.14,21.789073,27.649033,13.850367,-5.859960000000001,7.938705999999998,-13.798665999999999
0.16,12.428035,16.257298,8.041744,-3.829262999999999,4.386291,-8.215554
0.18,7.55505,10.099937,5.020944,-2.544887000000001,2.5341059999999995,-5.0789930000000005
0.2,5.367213,7.218918,3.666389,-1.8517050000000008,1.7008239999999994,-3.5525290000000003
0.22,4.454491,6.023251,3.100876,-1.5687600000000002,1.353615,-2.922375
0.24,3.988791,5.523267,2.809697,-1.5344759999999997,1.179094,-2.71357
0.26,3.619285,5.242183,2.575793,-1.6228979999999997,1.043492,-2.66639
0.28,3.255083,4.994947,2.344346,-1.7398639999999999,0.9107370000000001,-2.650601
0.3,2.887475,4.702909,2.111612,-1.8154340000000002,0.7758629999999997,-2.591297
0.32,2.511348,4.315833,1.875433,-1.8044849999999997,0.635915,-2.4403999999999995
0.34,2.122264,3.817798,1.633153,-1.6955339999999999,0.48911099999999985,-2.1846449999999997
0.36,1.734447,3.252039,1.392989,-1.5175919999999998,0.34145800000000004,-1.8590499999999999
0.38,1.38208,2.715585,1.175297,-1.333505,0.20678299999999994,-1.5402879999999999
0.4,1.100568,2.316965,1.001384,-1.2163970000000002,0.09918399999999994,-1.3155810000000001
0.42,0.90559,2.12343,0.880706,-1.2178399999999998,0.024884000000000017,-1.242724
0.44,0.786334,2.129967,0.80663,-1.343633,-0.02029599999999998,-1.3233370000000002
0.46,0.715008,2.265433,0.762145,-1.5504249999999997,-0.047136999999999984,-1.503288
0.48,0.662818,2.428191,0.729601,-1.7653729999999999,-0.06678300000000004,-1.6985899999999998
0.5,0.611276,2.5297,0.697635,-1.918424,-0.08635899999999996,-1.832065
