q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{a=0.15}_VATPaseLiRotor,strat{a=0.15}_VATPaseLiRotor_relDiffDebye,strat{a=0.20}_VATPaseLiRotor,strat{a=0.20}_VATPaseLiRotor_relDiffDebye,strat{a=0.25}_VATPaseLiRotor,strat{a=0.25}_VATPaseLiRotor_relDiffDebye,strat{a=0.30}_VATPaseLiRotor,strat{a=0.30}_VATPaseLiRotor_relDiffDebye,strat{a=0.35}_VATPaseLiRotor,strat{a=0.35}_VATPaseLiRotor_relDiffDebye,strat{a=0.40}_VATPaseLiRotor,strat{a=0.40}_VATPaseLiRotor_relDiffDebye,strat{a=0.45}_VATPaseLiRotor,strat{a=0.45}_VATPaseLiRotor_relDiffDebye,strat{a=0.50}_VATPaseLiRotor,strat{a=0.50}_VATPaseLiRotor_relDiffDebye
0,174.930111,38.399961,78.04839842581475,37.407684,78.61564039137893,36.493902,79.13801015080819,35.606387,79.64536419919153,34.771231,80.12278686543564,33.962325,80.58520353880071,33.205752,81.01770369310519,32.475411,81.43520814435429,152.808785,12.645808016436924,121.149133,30.74426563417661,353.533974,102.1001255752933,328.887987,88.01107774978773,595.682152,240.52579547039787,802.11107,358.53230493862776,812.580551,364.51725569418977,1298.203569,642.1269909329675
0.02,148.179635,32.548147,78.03466920403737,31.708072,78.60159933583316,30.934479,79.12366365324088,30.183145,79.63070633829001,29.47616,80.10781980938204,28.79142,80.56992109610744,28.151002,81.00211139000308,27.53281,81.41930232180691,137.027294,7.526230578176266,104.400817,29.544422889150717,312.359165,110.79763423631057,288.645152,94.79407679739528,521.887781,252.19939703590177,704.136321,375.19102135728707,707.748515,377.6287342049399,1147.806657,674.6048618624282
0.04,87.685683,19.314659,77.9728476312376,18.818781,78.53836526539914,18.362211,79.05905460073795,17.918844,79.56468674595374,17.50171,80.0404018065298,17.097763,80.50107792397534,16.720022,80.93186774858103,16.355449,81.34764029835976,98.475412,12.305006508303082,65.58172,25.208177941660093,213.581875,143.57667944492147,192.943639,120.04007085170333,346.381049,295.025775188408,470.418842,436.48306759496876,460.738916,425.44372152521186,785.828373,796.1877767434395
0.06,32.698267,7.285581,77.71875494196681,7.102575,78.27843597949702,6.934176,78.79344492477232,6.770746,79.29325734602388,6.617083,79.76319968272324,6.468373,80.21799442765575,6.329402,80.64300471948559,6.195366,81.05292246833754,56.298829,72.17679762661426,28.119861,14.001983652528132,110.173505,236.93989042293896,94.575306,189.2364479132793,166.271648,408.5029368681832,228.714647,599.470241037545,212.427628,549.6602037043737,403.462255,1133.8949186511934
0.08,6.071169,1.45981,75.9550425955858,1.42833,76.47355888132911,1.399495,76.94850859859115,1.371641,77.40729997797787,1.345577,77.83660774391225,1.320481,78.24997129877293,1.297148,78.6342959650769,1.274763,79.00300584615583,25.805048,325.04249181665006,7.34273,20.944253075478546,42.112519,593.6476154757016,31.785745,423.5523010477882,52.26929,760.9427607763843,73.012568,1102.6113587020886,61.117499,906.6841987103307,146.167663,2307.57032130056
0.1,2.254545,0.621749,72.42241782710038,0.612067,72.85186146206884,0.603308,73.24036557265435,0.594957,73.61077290539775,0.58725,73.95261571625316,0.579935,74.27707142682893,0.573238,74.57411584155561,0.566914,74.85461589810804,10.712777,375.16359176685324,2.250165,0.1942742327165716,15.259986,576.854354204507,8.324489,269.23144137730674,11.023297,388.93665905981027,14.04725,523.0636336821842,10.601134,370.21168351042013,38.281408,1597.9660197512137
0.12,4.502549,1.107702,75.3983354761936,1.08538,75.89409909808866,1.06498,76.34717578864772,1.04532,76.78381734435315,1.026969,77.19138647908107,1.009343,77.58285362358077,0.993,77.945825797787,0.977362,78.29314017459889,6.187963,37.43244104617184,3.509929,22.045734538369267,12.461858,176.77340102239862,6.523677,44.88852869785537,8.93716,98.49112136258817,9.38591,108.45769807280277,10.377936,130.49024008400573,21.846144,385.1950306370902
0.14,3.983063,0.988702,75.17734467167605,0.969475,75.66006362440162,0.951925,76.10067930133167,0.935035,76.52472481605237,0.91929,76.92002360997051,0.90419,77.29912883627499,0.890208,77.65016521204913,0.876852,77.98548504003075,6.022733,51.20857992956675,4.45511,11.851356606711978,15.709752,294.41384683094395,9.501917,138.5580393782373,14.48627,263.6967328912447,17.62815,342.5777347734646,17.873336,348.7334496090069,33.598443,743.5328037743817
0.16,1.714695,0.49142,71.34067574699874,0.485127,71.70767979144979,0.47949,72.03642630322011,0.474172,72.34656892333622,0.46932,72.62953469859072,0.464771,72.8948296927442,0.46066,73.13458078550413,0.456834,73.3577108465354,6.626783,286.4700719369917,4.013368,134.05725216437907,16.943632,888.1426142841729,10.444418,509.11229110716476,16.067256,837.0328833990884,21.919859,1178.3532348318506,19.818967,1055.8304538124855,42.561418,2382.156768404877
0.18,0.452906,0.218005,51.86528771974758,0.218824,51.68445549407603,0.219737,51.482868409780394,0.220782,51.252136204863696,0.221918,51.00131153042794,0.22317,50.72487447726459,0.224487,50.434085660159056,0.2259,50.12210039169276,6.918213,1427.516305811802,3.332301,635.7599590201941,15.704084,3367.4047153272427,9.41554,1978.9170379725595,14.601137,3123.8780232542736,21.850807,4724.578830927389,18.237907,3926.8636317469854,43.578377,9521.947379809499
