q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{a=0.15}_TetToxHcGT1b,strat{a=0.15}_TetToxHcGT1b_relDiffDebye,strat{a=0.20}_TetToxHcGT1b,strat{a=0.20}_TetToxHcGT1b_relDiffDebye,strat{a=0.25}_TetToxHcGT1b,strat{a=0.25}_TetToxHcGT1b_relDiffDebye,strat{a=0.30}_TetToxHcGT1b,strat{a=0.30}_TetToxHcGT1b_relDiffDebye,strat{a=0.35}_TetToxHcGT1b,strat{a=0.35}_TetToxHcGT1b_relDiffDebye,strat{a=0.40}_TetToxHcGT1b,strat{a=0.40}_TetToxHcGT1b_relDiffDebye,strat{a=0.45}_TetToxHcGT1b,strat{a=0.45}_TetToxHcGT1b_relDiffDebye,strat{a=0.50}_TetToxHcGT1b,strat{a=0.50}_TetToxHcGT1b_relDiffDebye
0.28,0.449552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.288445,1966.155861835783,34.913253,7666.232382460761,6.954079,1446.8909047229242,11.281003,2409.3877905114423,38.744134,8518.387639249742,40.885173,8994.64822756878,21.931887,4778.609593550912,38.029841,8359.497677688008
0.3,0.414082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.536215,2202.9774295912403,32.764,7812.442463087023,6.950793,1578.6030303176667,10.41634,2415.5259103269395,38.38406,9169.676054501282,41.950092,10030.865867147086,21.843602,5175.187523244188,36.656292,8752.423433039832
0.32,0.360183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.438708,2520.531229958105,29.502758,8091.046773445722,7.531599,1991.0478839923042,10.130612,2712.6291357448854,39.414698,10842.964548576696,44.965448,12384.056160340717,21.736609,5934.879214177238,36.738376,10099.919485372715
0.34,0.284393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.299624,3169.990470932829,27.705469,9641.96587117123,8.435175,2866.027644843579,10.281061,3515.0893306094026,41.624386,14536.22030078096,49.306384,17237.411258364304,21.414762,7429.989134753667,38.43256,13413.890988878065
0.36,0.212417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.355505,4304.310860241883,28.30907,13227.120710677582,9.228346,4244.447949081288,10.550811,4867.0275919535625,44.285187,20748.23107378411,54.318112,25471.452379046874,20.864845,9722.587175226088,41.00057,19201.92498717146
0.38,0.168878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.573866,5569.101955257642,30.023289,17678.0936534066,9.807884,5707.674178993119,10.810077,6301.116190385959,46.821488,27625.037008965053,59.500622,35132.903042433,20.405631,11983.060552588258,43.432125,25618.047939932967
0.4,0.154444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.692552,6175.771153298282,30.786804,19833.959234415062,10.475803,6682.913547952657,11.08693,7078.608427650152,48.754809,31467.95278547564,64.199289,41468.00458418585,20.481036,13161.140607598869,44.826694,28924.561653414832
0.42,0.153911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.474545,6055.859555197485,29.732297,19217.850575982222,11.406411,7311.04339520892,11.292785,7237.217612776214,49.570376,32107.169078233528,67.561879,43796.718882990834,21.199497,13673.867364905693,44.669082,28922.67024449195
0.44,0.154043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.944868,5706.734483228708,27.847507,17977.74907006485,12.2611,7859.530780366521,11.203555,7173.004940179041,49.251834,31872.782924248422,69.264239,44864.22362587069,22.137771,14271.16324662594,43.228213,27962.43256752984
0.46,0.150789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.387907,5462.678312078468,26.870217,17719.746135328172,12.537636,8214.688737242106,10.771813999999999,7043.633819443062,48.753153,32232.03549330521,70.128597,46407.76714481825,22.700682,14954.600799793086,41.604657,27491.30772138551
0.48,0.145682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.113517,5469.333891626968,27.613487,18854.63200669952,12.184068,8263.468376326518,10.308093,6975.74923463434,49.195502,33669.10119300943,71.327125,48860.83593031397,22.66837,15460.17215579138,40.924631,27991.755330102547
0.5,0.140295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.212726,5753.89785808475,29.326976,20803.792722477636,11.650701,8204.430663958088,10.227127,7189.730211340389,50.36861,35801.92808011689,72.719367,51733.18507430771,22.338587,15822.582415624223,41.303063,29340.153248512062
