q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,182.298089,208.253253,156.684894,-25.955163999999996,25.61319499999999,-51.56835899999999
0.02,177.34077,202.339723,152.465127,-24.998953,24.875642999999997,-49.874596
0.04,163.304075,185.670081,140.512522,-22.366006,22.79155300000002,-45.15755900000002
0.06,142.468743,161.150174,122.757513,-18.681431000000003,19.711229999999986,-38.39266099999999
0.08,117.964319,132.712256,101.851303,-14.747936999999993,16.113016000000002,-30.860952999999995
0.1,93.004226,104.294601,80.520563,-11.290374999999997,12.483663000000007,-23.774038000000004
0.12,70.198973,78.954455,60.987143,-8.755482,9.211829999999992,-17.967311999999993
0.14,51.142472,58.377304,44.617018,-7.234832000000004,6.525453999999996,-13.760286
0.16,36.348498,42.870166,31.863784,-6.521667999999998,4.484714,-11.006381999999999
0.18,25.483834,31.740797,22.462315,-6.256962999999999,3.0215190000000014,-9.278482
0.2,17.754861,23.846417,15.752634,-6.091556000000001,2.0022269999999978,-8.093782999999998
0.22,12.28458,18.083519,10.997154,-5.798938999999999,1.287426,-7.086364999999999
0.24,8.362694,13.670765,7.592445,-5.308071,0.7702489999999997,-6.07832
0.26,5.53071,10.197499,5.143118,-4.6667890000000005,0.3875919999999997,-5.054381
0.28,3.537195,7.510538,3.42675,-3.9733430000000003,0.1104449999999999,-4.083788
0.3,2.236357,5.552972,2.31076,-3.3166149999999996,-0.07440300000000022,-3.2422119999999994
0.32,1.499227,4.247724,1.679113,-2.7484969999999995,-0.179886,-2.5686109999999998
0.34,1.174379,3.462459,1.399724,-2.28808,-0.2253449999999999,-2.062735
0.36,1.097244,3.037969,1.331931,-1.9407249999999998,-0.23468699999999987,-1.706038
0.38,1.122909,2.835557,1.353206,-1.7126480000000002,-0.23029699999999997,-1.4823510000000002
0.4,1.15393,2.765137,1.38156,-1.6112070000000003,-0.22763,-1.3835770000000003
0.42,1.147148,2.781145,1.380508,-1.633997,-0.23336,-1.400637
0.44,1.100174,2.857951,1.347331,-1.757777,-0.24715700000000007,-1.5106199999999999
0.46,1.029106,2.96633,1.294388,-1.937224,-0.265282,-1.671942
0.48,0.950115,3.066175,1.233958,-2.11606,-0.28384300000000007,-1.8322169999999998
0.5,0.871401,3.11624,1.171876,-2.244839,-0.30047499999999994,-1.944364
