q_inverse_angstroms,debye,propo{e=0.380}_PsGQuadraplex,propo{e=0.380}_PsGQuadraplex_relDiffDebye,propo{e=0.390}_PsGQuadraplex,propo{e=0.390}_PsGQuadraplex_relDiffDebye,propo{e=0.400}_PsGQuadraplex,propo{e=0.400}_PsGQuadraplex_relDiffDebye,propo{e=0.410}_PsGQuadraplex,propo{e=0.410}_PsGQuadraplex_relDiffDebye,propo{e=0.420}_PsGQuadraplex,propo{e=0.420}_PsGQuadraplex_relDiffDebye,propo{e=0.430}_PsGQuadraplex,propo{e=0.430}_PsGQuadraplex_relDiffDebye,propo{e=0.440}_PsGQuadraplex,propo{e=0.440}_PsGQuadraplex_relDiffDebye,propo{e=0.450}_PsGQuadraplex,propo{e=0.450}_PsGQuadraplex_relDiffDebye,strat{s=0.15}_PsGQuadraplex,strat{s=0.15}_PsGQuadraplex_relDiffDebye,strat{s=0.20}_PsGQuadraplex,strat{s=0.20}_PsGQuadraplex_relDiffDebye,strat{s=0.25}_PsGQuadraplex,strat{s=0.25}_PsGQuadraplex_relDiffDebye,strat{s=0.30}_PsGQuadraplex,strat{s=0.30}_PsGQuadraplex_relDiffDebye,strat{s=0.35}_PsGQuadraplex,strat{s=0.35}_PsGQuadraplex_relDiffDebye,strat{s=0.40}_PsGQuadraplex,strat{s=0.40}_PsGQuadraplex_relDiffDebye,strat{s=0.45}_PsGQuadraplex,strat{s=0.45}_PsGQuadraplex_relDiffDebye,strat{s=0.50}_PsGQuadraplex,strat{s=0.50}_PsGQuadraplex_relDiffDebye
0,223.50526,313.119494,40.09491051798959,305.377328,36.63093566567516,297.636142,33.167399281788725,290.86347,30.13719229695087,283.124341,26.674576249346448,277.320795,24.077972482616286,270.550927,21.049020054382616,264.749038,18.453157657229184,157.977888,29.31804468494387,158.113483,29.257377208930112,160.482162,28.197590517556502,157.70687,29.439302681288122,158.055364,29.28338062379382,157.50376,29.53017750007315,161.613682,27.691329501596513,157.662449,29.45917738132874
0.02,219.493926,307.574421,40.1288986010483,299.970021,36.66438359665588,292.366601,33.20031507386679,285.714474,30.169649432577017,278.113111,26.706518065561426,272.41289,24.10953458456979,265.763566,21.080145971784223,260.065002,18.483917409176968,155.941964,28.95385906943046,156.075601,28.89297492450884,158.406746,27.830920478409954,155.936735,28.95624136769962,155.965872,28.942966740683296,155.226741,29.279709999811104,159.433558,27.363111633439907,155.530797,29.141184070852137
0.04,207.869103,291.500378,40.23266266752496,284.295333,36.7665174366967,277.091268,33.3008436564043,270.788577,30.26879564684511,263.586568,26.8041109505341,258.185864,24.205983608829055,251.885976,21.175284044016877,246.486928,18.57795335750307,150.002423,27.838038056093406,150.117329,27.78275999969076,152.342247,26.712414302379518,150.74651,27.480078653151256,149.865364,27.903973299966566,148.592994,28.516074849276656,153.072712,26.361008061885947,149.311136,28.170596858735657
0.06,189.79319,266.491938,40.411749230833834,259.908221,36.94285922482256,253.325483,33.47448504343068,247.566454,30.440114316008902,240.985773,26.972823945896046,236.051064,24.372778601803354,230.294838,21.339884745074357,225.361786,18.74071245654282,140.640752,25.897893385953424,140.685612,25.874257132197425,142.753624,24.784643748282015,142.483076,24.9271925931589,140.235806,26.111255098246684,138.166947,27.201314757394623,143.045681,24.630762041567458,139.506026,26.49576836766378
0.08,167.000033,234.928771,40.675882980214745,229.129231,37.20310522333849,223.330672,33.73091489149586,218.257799,30.693266988755624,212.461296,27.22230779439427,208.114721,24.61956878774988,203.04465,21.583598728989465,198.699732,18.981851937717884,128.586431,23.002152340892053,128.464636,23.075083464205058,130.351568,21.94518428628096,131.681185,21.149006599298097,127.811225,23.466347458745716,124.80273,25.267841114737987,130.134159,22.075369290495882,126.87947,24.024284474243192
0.1,141.533853,199.618916,41.039695994144964,194.69664,37.56188775557464,189.775344,34.08477193085388,185.470076,31.042907451971942,180.550837,27.56724498979054,176.862209,24.961064262130993,172.559744,21.921180228167746,168.872774,19.316170951694502,114.72163,18.944035247878112,114.295257,19.245286850206774,116.007332,18.035629256839343,119.00552,15.917275282543175,113.486438,19.816753663874316,109.530969,22.61146949768971,115.287326,18.54434571211737,112.360125,20.61254419463872
0.12,115.460738,163.404314,41.52370479391877,159.38178,38.039807090094975,155.360226,34.55675815964385,151.842231,31.50983930139091,147.822734,28.028571928927033,144.808912,25.41831492537315,141.293722,22.3738254643756,138.281557,19.765003580697694,99.972888,13.413953754565478,99.081038,14.186380828433641,100.65352,12.82446159316945,105.182399,8.902020875702355,98.211775,14.93924540825298,93.429852,19.08084633929848,99.507428,13.817086462759315,96.93,16.049384683475694
0.14,90.606529,128.802026,42.15534732601888,125.639176,38.6645944686834,122.477307,35.174924314780895,119.711536,32.122416917659436,116.551723,28.63501591590602,114.182664,26.020348930925287,111.419697,22.970936233524636,109.052296,20.358099138749708,85.207995,5.958217426031184,83.695146,7.627908359672404,85.186043,5.9824452606500325,90.930925,0.3580271792554897,82.890522,8.515950324065487,77.502126,14.462978710949177,83.739254,7.579227541096947,81.516634,10.032273722790991
0.16,68.36467,97.740643,42.96952358579366,95.349504,39.47189974002652,92.959346,35.975710845967654,90.868823,32.917811202774764,88.480721,29.424629710053452,86.690446,26.805915979701194,84.602726,23.752116407495276,82.814109,21.135827906431786,71.153749,4.079708129944898,68.901052,0.7845894670448978,70.381074,2.9494825324250002,76.902606,12.488813300788259,68.294043,0.10330920927432512,62.57687,8.466068804252261,68.77996,0.6074628898230604,66.90464,2.1356498905063144
0.18,49.598648,71.425562,44.00707454767719,69.688214,40.50426132583292,67.951847,37.003425980482376,66.433391,33.9419393044746,64.699079,30.445247217222537,63.399148,27.824347147527085,61.883495,24.768511835241974,60.58522,22.15095056623318,58.344731,17.633712515712137,55.296512,11.487942171326933,56.837113,14.594077241782891,63.636267,28.302422678940765,55.004958,10.900115664443122,49.24852,0.7059224678866206,55.220549,11.334786786930163,53.677601,8.223919732650788
