q_inverse_angstroms,debye,propo{e=0.380}_TetToxHcGT1b,propo{e=0.380}_TetToxHcGT1b_relDiffDebye,propo{e=0.390}_TetToxHcGT1b,propo{e=0.390}_TetToxHcGT1b_relDiffDebye,propo{e=0.400}_TetToxHcGT1b,propo{e=0.400}_TetToxHcGT1b_relDiffDebye,propo{e=0.410}_TetToxHcGT1b,propo{e=0.410}_TetToxHcGT1b_relDiffDebye,propo{e=0.420}_TetToxHcGT1b,propo{e=0.420}_TetToxHcGT1b_relDiffDebye,propo{e=0.430}_TetToxHcGT1b,propo{e=0.430}_TetToxHcGT1b_relDiffDebye,propo{e=0.440}_TetToxHcGT1b,propo{e=0.440}_TetToxHcGT1b_relDiffDebye,propo{e=0.450}_TetToxHcGT1b,propo{e=0.450}_TetToxHcGT1b_relDiffDebye,strat{s=0.15}_TetToxHcGT1b,strat{s=0.15}_TetToxHcGT1b_relDiffDebye,strat{s=0.20}_TetToxHcGT1b,strat{s=0.20}_TetToxHcGT1b_relDiffDebye,strat{s=0.25}_TetToxHcGT1b,strat{s=0.25}_TetToxHcGT1b_relDiffDebye,strat{s=0.30}_TetToxHcGT1b,strat{s=0.30}_TetToxHcGT1b_relDiffDebye,strat{s=0.35}_TetToxHcGT1b,strat{s=0.35}_TetToxHcGT1b_relDiffDebye,strat{s=0.40}_TetToxHcGT1b,strat{s=0.40}_TetToxHcGT1b_relDiffDebye,strat{s=0.45}_TetToxHcGT1b,strat{s=0.45}_TetToxHcGT1b_relDiffDebye,strat{s=0.50}_TetToxHcGT1b,strat{s=0.50}_TetToxHcGT1b_relDiffDebye
0.32,0.360183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.582131,61.62089826560388,0.473191,31.375162070391998,0.402936,11.869799518578068,0.444526,23.41670761807193,0.536177,48.86238384376832,0.482489,33.95662760319061,0.385184,6.941193782049695,0.488442,35.609398555734174
0.34,0.284393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.532556,87.26058658265148,0.445697,56.718695607838455,0.341705,20.152394749519143,0.398804,40.22989314082976,0.471357,65.74142120235027,0.416194,46.34467093071911,0.327918,15.304525779467138,0.435889,53.26994686929707
0.36,0.212417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457485,115.37118027276536,0.394354,85.65086598530249,0.289425,36.25321890432498,0.334705,57.569780196500275,0.378846,78.3501320515778,0.331521,56.070841787615876,0.265089,24.79650875400746,0.351717,65.578555388693
0.38,0.168878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.387584,129.50532336953302,0.342769,102.96841506886626,0.269339,59.48732220893189,0.277659,64.41395563661341,0.301485,78.52236525776004,0.263077,55.77931998247255,0.22254,31.775601321664155,0.276214,63.558308364618256
0.4,0.154444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339929,120.09854704617855,0.308766,99.92100696692651,0.280333,81.51109787366295,0.242203,56.82253761881329,0.256943,66.3664499753956,0.225127,45.76610292403719,0.209887,35.89844862862914,0.229934,48.87855792390769
0.42,0.153911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.317435,106.24581738797099,0.292532,90.06568731279768,0.301433,95.8488996887812,0.22541,46.454769314733845,0.235356,52.91694550746862,0.210916,37.03763863531522,0.213347,38.617122882704955,0.206995,34.49006243868211
0.44,0.154043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318219,106.57803340625667,0.284783,84.87240575683413,0.310792,101.75665236330114,0.216393,40.475711327356635,0.222519,44.45252299682554,0.208285,35.21224593133085,0.214664,39.35329745590515,0.19357,25.65971839031957
0.46,0.150789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.336388,123.08523831313956,0.281968,86.99507258487024,0.303037,100.96757721053922,0.20824,38.10025930273429,0.213432,41.543481288422896,0.209555,38.972338831081835,0.209516,38.94647487548826,0.182711,21.169979242517694
0.48,0.145682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.359533,146.79301492291427,0.286575,96.71270301066708,0.288268,97.8748232451504,0.200589,37.68962534836149,0.206782,41.9406652846611,0.210539,44.5195700223775,0.203809,39.89991900166114,0.174111,19.514421822874468
0.5,0.140295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37411,166.65953882889625,0.295583,110.68676716917922,0.27616,96.84236786770734,0.194762,38.82319398410491,0.198485,41.47688798602943,0.2082,48.40158237998502,0.19927,42.0364232510068,0.168572,20.155386863394988
