q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.15}_TeicoplaninUbiquitin,strat{s=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.20}_TeicoplaninUbiquitin,strat{s=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.25}_TeicoplaninUbiquitin,strat{s=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.30}_TeicoplaninUbiquitin,strat{s=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.35}_TeicoplaninUbiquitin,strat{s=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.40}_TeicoplaninUbiquitin,strat{s=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.45}_TeicoplaninUbiquitin,strat{s=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.50}_TeicoplaninUbiquitin,strat{s=0.50}_TeicoplaninUbiquitin_relDiffDebye
0,175.982653,166.667471,5.293238760299854,162.503034,7.659629384039338,158.339279,10.025632469582098,154.63878,12.12839597320993,150.938906,14.230804328197049,147.239704,16.3328308273657,144.003495,18.171767191167422,140.767879,20.01036658993884,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985
0.02,170.769539,161.760272,5.275687369513847,157.7192,7.642076611801363,153.67881,10.008066485440363,150.087969,12.11080741981743,146.497753,14.213182363864096,142.908209,16.315163795107516,139.767951,18.154050295820028,136.628286,19.992589544907073,139.812007,18.12825178382663,140.224748,17.88655703989457,140.009816,18.012417893802482,140.012561,18.010810464271383,139.773106,18.15103160757493,139.960726,18.041164238313023,139.913792,18.06864806257983,139.872189,18.09301013572451
0.04,156.103692,147.952524,5.221636910419765,144.258575,7.587980045981224,140.565307,9.95388693305217,137.283019,12.056520098192168,134.001356,14.158752888432652,130.720365,16.26055519558116,127.850091,18.09925225855644,124.98041,19.937569445827066,127.530222,18.30416028853437,129.017348,17.35150761200446,128.245192,17.846150621472805,128.26508,17.83341037186999,127.394496,18.391106342315076,128.054349,17.96840461659292,127.882322,18.07860508513789,127.742903,18.167916874124924
0.06,134.615868,127.714213,5.126925304229369,124.529048,7.493039379280312,121.344565,9.85864682757905,118.51453,11.960950992790844,115.685119,14.062791616809992,112.856381,16.16413229976722,110.381828,18.00236507036452,107.907868,19.840157328257924,109.665995,18.53412481803409,112.470712,16.450628242429786,111.021668,17.52705706284195,111.092869,17.47416508134094,109.42854,18.710519327483745,110.614331,17.8296491762769,110.28201,18.076515318387283,110.053337,18.246386079834217
0.08,109.835578,104.360437,4.984851993950443,101.762378,7.350259494241475,99.165001,9.715046066402996,96.856837,11.816518141325755,94.549299,13.917420273419962,92.242433,16.0177105819027,90.224518,17.854924931518998,88.207196,19.69159938321625,89.289147,18.706535144741533,93.16493,15.177821525189225,91.177027,16.987711395300348,91.348005,16.832044166963822,89.012796,18.958139410892894,90.51092,17.59416971429786,90.041162,18.02186173227039,89.795784,18.2452665747341
0.1,85.246607,81.165784,4.787079678138973,79.150831,7.1507549854740855,77.13656,9.513630260967448,75.346713,11.613241099437545,73.557491,13.712118770897238,71.768941,15.810208141187369,70.204553,17.64534041806496,68.640758,19.479777066083102,69.359865,18.63621621913937,73.703981,13.54027615433421,71.497818,16.128253644159702,71.81076,15.761151643255428,69.164214,18.865727993138773,70.576245,17.209320718184124,70.046857,17.83032842585746,69.883201,18.02230791426103
0.12,63.487829,60.614453,4.52586904491568,59.116153,6.885848939644795,57.618535,9.24475461273057,56.287936,11.34058781565833,54.957962,13.435436577930545,53.628660000000004,15.529226869609914,52.466113,17.36036051886417,51.304159,19.190560130824444,52.024038,18.056675083345503,56.14232,11.56994831245529,54.078007,14.821458141213176,54.544261,14.087059111755105,52.049646,18.01633979325391,52.954874,16.59051060007108,52.475941,17.34488038644383,52.466106,17.36037154459951
0.14,45.941542,44.013104,4.197590929795085,42.932157,6.550465807177308,41.851891,8.90185836600782,40.892271,10.990643283153181,39.933277,13.078065599104189,38.974955,15.164025186616497,38.137016,16.98794959907962,37.299669,18.81058541744201,38.286238,16.663141171883176,41.661959,9.315279404422244,39.998357,12.936407315191989,40.583974,11.661706957942336,38.644755,15.882764666453719,38.769595,15.611028032102178,38.447145,16.31289824795171,38.600577,15.978926001221286
0.16,32.77505,31.528275,3.8040369122243884,30.761192,6.144484905438738,29.994791,8.482852047517856,29.314162,10.559520122776322,28.634158,12.634281259677715,27.954827,14.706989005356204,27.361004,16.518803174976085,26.767775,18.328804990381403,28.104404,14.250614415538653,30.555635,6.771660150022658,29.373171,10.379477681956246,30.00317,8.45728686912758,28.833101,12.027285999563695,28.154553,14.097604732868449,28.053462,14.406043621596307,28.314755,13.608812190980634
0.18,23.322894,22.543224,3.3429384878223214,22.002022,5.663413811339199,21.461502,7.980964969441623,20.981657,10.038364021205957,20.502436,12.093087590245027,20.023888,14.14492558256279,19.605751,15.937743403541601,19.188207,17.728018658404928,20.780211,10.902090452411265,22.454869,3.721772263767965,21.665394,7.1067509889639,22.245258,4.620507214927967,21.819908,6.444251729652417,20.563602,11.830830256313826,20.685111,11.309844310058615,20.962713,10.119588932659903
