q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{s=0.15}_Selenow,strat{s=0.15}_Selenow_relDiffDebye,strat{s=0.20}_Selenow,strat{s=0.20}_Selenow_relDiffDebye,strat{s=0.25}_Selenow,strat{s=0.25}_Selenow_relDiffDebye,strat{s=0.30}_Selenow,strat{s=0.30}_Selenow_relDiffDebye,strat{s=0.35}_Selenow,strat{s=0.35}_Selenow_relDiffDebye,strat{s=0.40}_Selenow,strat{s=0.40}_Selenow_relDiffDebye,strat{s=0.45}_Selenow,strat{s=0.45}_Selenow_relDiffDebye,strat{s=0.50}_Selenow,strat{s=0.50}_Selenow_relDiffDebye
0,178.36908,90.439084,49.29665836702191,88.188666,50.55832210380857,85.938619,51.8197778449045,83.953613,52.93264224943023,81.968942,54.04531884113547,79.98463,55.1577941647734,78.265204,56.12176505031029,76.546088,57.08556213890883,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183
0.02,169.885546,86.150596,49.28903722038837,84.007548,50.55050298393249,81.86487,51.81175095378626,79.974604,52.92442124534833,78.084671,54.03689552258908,76.195097,55.14915848108702,74.557777,56.112936765085365,72.920768,57.076531984657485,137.459412,19.087046993391667,137.389689,19.128088154127017,137.575946,19.018451399037804,137.377145,19.135471948861376,137.457151,19.088377889429154,137.720535,18.93334174527125,137.549517,19.03400834347614,137.596691,19.006240236588468
0.04,146.548434,74.353069,49.26382563733161,72.505394,50.52462041320756,70.658088,51.78516339519533,69.028444,52.89718073684773,67.399134,54.00897016750107,65.770183,55.12051462794887,64.358737,56.08364057987818,62.947601,57.046554997646716,118.91141,18.858627994619162,118.668009,19.024717111613757,119.31809,18.58112247040456,118.635364,19.046993023480546,118.901447,18.865426429599367,119.831228,18.230973385904615,119.223584,18.645610365239378,119.388798,18.532873575435133
0.06,113.928714,57.861799,49.21227760018427,56.427013,50.47164931572913,54.992597,51.73069626679012,53.727266,52.8413302374325,52.46227,53.95167016455571,51.197632,55.06169586009722,50.101925,56.02344374746475,49.006528,56.984919534859316,92.917535,18.44239109027422,92.484858,18.822169799968073,93.642502,17.806057215742825,92.463505,18.840912221654676,92.895505,18.461727743192117,94.586248,16.977691857383732,93.466444,17.960590690069587,93.764442,17.699025374761973
0.08,79.094726,40.249605,49.11215066349682,39.255772,50.36866048439184,38.262309,51.6247025117705,37.386055,52.73255640331822,36.510135,53.839988016394415,35.634574,54.94696574332908,34.876067,55.90595130198693,34.117869,56.8645461898433,65.041275,17.767873675926253,64.500534,18.45153619977139,65.959805,16.60656995006215,64.550938,18.387810079776994,65.012955,17.80367884452876,67.219395,15.01406174667068,65.720661,16.908921335665273,66.110812,16.415650772973155
0.1,48.324319,24.690981,48.905682457729,24.086686,50.156181197297364,23.482762,51.40591220747467,22.950219,52.5079308411982,22.418009,53.60926038088607,21.886159,54.70984495404891,21.425533,55.66304203893696,20.965218,56.61559555552144,40.261415,16.684982151533273,39.752247,17.738629694916145,41.165847,14.813394473287875,39.927275,17.376435247851088,40.25283,16.702747533803837,42.518165,12.014973247734746,40.904153,15.3549313338487,41.321589,14.491109538449987
0.12,25.425472,13.112849,48.426330099201294,12.798434,49.66294431033571,12.484389,50.89810328791536,12.207622,51.986645518321154,11.931189,53.073874105464,11.655114,54.159694655816025,11.416161,55.09951201692539,11.177519,56.03810619523601,21.651218,14.84438125671767,21.307917,16.194605944778527,22.353229,12.08332730263572,21.613217,14.993841608918807,21.708348,14.619685329735466,23.575545,7.275880660150567,22.114465,13.022401314713056,22.509581,11.468384933030933
0.14,11.226387,5.93559,47.128225670467266,5.800871,48.32824665673828,5.666522,49.524971836442134,5.548309,50.577964219476854,5.430431,51.627972561430504,5.312912,52.67478308025548,5.211373,53.57925038572071,5.110145,54.48094743215248,9.9554,11.321425138826958,9.849984,12.26042715256477,10.362278,7.697124640367385,10.22839,8.889743423240278,10.126606,9.796393087108079,11.3212,0.8445548866255765,10.181145,9.310582291524423,10.542127,6.095104328756883
0.16,4.205786,2.390352,43.16515390940005,2.344395,44.25786285845261,2.298807,45.34179817993592,2.258914,46.29032480492351,2.219354,47.23093376600711,2.180154,48.16298309043779,2.146492,48.96335667102416,2.11314,49.7563594533816,4.053009,3.632543358126151,4.170466,0.8397954627268143,4.182053,0.5642940463447261,4.522307,7.525846536176588,4.359633,3.65798450040016,4.861317,15.58640881870832,4.074078,3.1315906230131474,4.420859,5.113740927379575
0.18,1.751964,1.155063,34.070391857366936,1.140034,34.92822911886317,1.125374,35.7650043037414,1.11277,36.48442547906235,1.100499,37.184839414508524,1.0885879999999999,37.86470498252248,1.078577,38.43612083353312,1.068875,38.989899335831105,1.921392,9.670746659177922,2.173819,24.078976508649713,1.857278,6.011196577098611,2.402042,37.10567112109608,2.333187,33.175510455694294,2.322703,32.57709633302968,1.818608,3.803959442088988,2.176759,24.24678817601275
