q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{s=0.15}_RhccCarborane,strat{s=0.15}_RhccCarborane_relDiffDebye,strat{s=0.20}_RhccCarborane,strat{s=0.20}_RhccCarborane_relDiffDebye,strat{s=0.25}_RhccCarborane,strat{s=0.25}_RhccCarborane_relDiffDebye,strat{s=0.30}_RhccCarborane,strat{s=0.30}_RhccCarborane_relDiffDebye,strat{s=0.35}_RhccCarborane,strat{s=0.35}_RhccCarborane_relDiffDebye,strat{s=0.40}_RhccCarborane,strat{s=0.40}_RhccCarborane_relDiffDebye,strat{s=0.45}_RhccCarborane,strat{s=0.45}_RhccCarborane_relDiffDebye,strat{s=0.50}_RhccCarborane,strat{s=0.50}_RhccCarborane_relDiffDebye
0,58.403088,12.818956,78.05089347330401,12.502544,78.59266619600662,12.186297,79.13415639940136,11.903491,79.61838764416018,11.62084,80.10235349199344,11.354965,80.557594831287,11.105852,80.9841356333761,10.873479,81.38201356750176,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372,3.999908,93.1512046075372
0.02,54.572631,11.990852,78.02771869291037,11.695279,78.56933267520124,11.399872,79.11064247571278,11.135713,79.59469280489702,10.871707,80.07846277376657,10.623382,80.53349855901212,10.39072,80.95983314420006,10.173703,81.35749951289685,3.731054,93.16314069592869,3.735617,93.154779361838,3.744616,93.13828941104195,3.740442,93.14593793361364,3.740108,93.14654996201301,3.75377,93.12151543509053,3.741984,93.14311234142257,3.740217,93.14635022819405
0.04,44.861835,9.890441,77.95355227890256,9.647726,78.49458008126507,9.405177,79.03523785863864,9.188312,79.51864429977063,8.9716,80.00170969377423,8.767787,80.45602236288373,8.576856,80.8816202012245,8.398786,81.27855001918668,3.053638,93.19323875182548,3.067506,93.16232606178502,3.095712,93.0994530205909,3.082888,93.12803856552011,3.080247,93.13392552935028,3.124507,93.03526705940584,3.086877,93.1191468204544,3.08266,93.12854679261338
0.06,33.283905,7.383642,77.81617872061585,7.204012,78.35586900034717,7.024549,78.89505753606736,6.864127,79.3770382411559,6.70386,79.85855325569521,6.553171,80.3112915987472,6.412044,80.73530134159438,6.280458,81.13064557779504,2.25659,93.22017653878054,2.275512,93.16332623831248,2.317661,93.03669145792838,2.299462,93.09136953731841,2.291235,93.11608718988953,2.361085,92.90622599721998,2.303292,93.07986247406967,2.300496,93.08826293068677
0.08,23.356617,5.230968,77.60391412848873,5.105512,78.14104671066019,4.980221,78.67747285490874,4.868271,79.15678028200746,4.756474,79.63543264848671,4.651405,80.08527947347855,4.553046,80.50639782293814,4.461378,80.8988690442627,1.587565,93.20293259935717,1.602034,93.14098441567971,1.644366,92.95974241475123,1.628358,93.02827973760071,1.61361,93.09142244358418,1.688912,92.76902130132973,1.629282,93.02432368523232,1.631816,93.01347451131299
0.1,16.373585,3.714015,77.3170322809574,3.626734,77.85009208429308,3.539618,78.3821441669616,3.461824,78.85726308563457,3.384184,79.3314414650182,3.311263,79.77679903332104,3.243042,80.1934518311048,3.179502,80.58151589893112,1.128886,93.10544392080293,1.132286,93.08467876766144,1.165076,92.88441718780585,1.156553,92.93647054081315,1.138852,93.04457759250646,1.201128,92.6642332757304,1.154818,92.94706687631327,1.162349,92.9010720621049
0.12,11.746647,2.707508,76.95080136484904,2.645556,77.47820292888686,2.58377,78.00419132370284,2.528639,78.47352525363195,2.473662,78.94154817115044,2.42207,79.38075435483844,2.373846,79.79128852684515,2.328971,80.17331243545499,0.828712,92.94511872196381,0.821998,93.00227545783916,0.844711,92.80891815341008,0.843582,92.81852940673198,0.827952,92.95158865334082,0.871448,92.58130426495322,0.841272,92.83819459289107,0.850619,92.75862295002139
0.14,8.426939,1.984982,76.44480397923849,1.941213,76.96419779471526,1.897609,77.4816336038507,1.858747,77.94279749740683,1.820039,78.40213391837773,1.783759,78.83265797936832,1.74989,79.23457141436529,1.718412,79.60811155747064,0.609481,92.76746870957533,0.598607,92.89650726082151,0.615401,92.69721781538944,0.618247,92.66344517267775,0.606382,92.80424362867703,0.636335,92.44880021084761,0.616244,92.687214182991,0.625535,92.57696062591648
0.16,5.84518,1.422493,75.66382900098884,1.392879,76.17046865964778,1.363431,76.67426837154714,1.337235,77.12243249994013,1.311192,77.56797908704266,1.286832,77.98473271995047,1.264138,78.37298423658467,1.243091,78.7330586910925,0.434944,92.55892889526072,0.424717,92.73389356700734,0.438255,92.50228393308674,0.441948,92.43910367174321,0.431647,92.61533434385254,0.455528,92.20677549707622,0.439609,92.47911954807209,0.449175,92.31546333902463
0.18,3.884908,0.994106,74.41108000498339,0.975273,74.89585338957833,0.956606,75.37635382871358,0.940055,75.80238708355513,0.923658,76.22445628056057,0.908377,76.61779892857179,0.894193,76.98290409965949,0.88109,77.32018364398849,0.302052,92.22498962652396,0.292982,92.45845718869019,0.303173,92.19613437435326,0.306334,92.11476822617163,0.295387,92.39655096079495,0.316765,91.84626765936285,0.30373,92.18179684049147,0.313541,91.92925546756835
