q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{s=0.15}_VATPaseLiRotor,strat{s=0.15}_VATPaseLiRotor_relDiffDebye,strat{s=0.20}_VATPaseLiRotor,strat{s=0.20}_VATPaseLiRotor_relDiffDebye,strat{s=0.25}_VATPaseLiRotor,strat{s=0.25}_VATPaseLiRotor_relDiffDebye,strat{s=0.30}_VATPaseLiRotor,strat{s=0.30}_VATPaseLiRotor_relDiffDebye,strat{s=0.35}_VATPaseLiRotor,strat{s=0.35}_VATPaseLiRotor_relDiffDebye,strat{s=0.40}_VATPaseLiRotor,strat{s=0.40}_VATPaseLiRotor_relDiffDebye,strat{s=0.45}_VATPaseLiRotor,strat{s=0.45}_VATPaseLiRotor_relDiffDebye,strat{s=0.50}_VATPaseLiRotor,strat{s=0.50}_VATPaseLiRotor_relDiffDebye
0,174.930111,38.399961,78.04839842581475,37.407684,78.61564039137893,36.493902,79.13801015080819,35.606387,79.64536419919153,34.771231,80.12278686543564,33.962325,80.58520353880071,33.205752,81.01770369310519,32.475411,81.43520814435429,144.118536,17.613648573057844,143.96869,17.69930906863713,144.013613,17.673628526995,144.156034,17.592212583687207,144.129256,17.607520411394475,144.081082,17.63505940952613,144.068581,17.642205692077802,143.991165,17.6864610804483
0.02,148.179635,32.548147,78.03466920403737,31.708072,78.60159933583316,30.934479,79.12366365324088,30.183145,79.63070633829001,29.47616,80.10781980938204,28.79142,80.56992109610744,28.151002,81.00211139000308,27.53281,81.41930232180691,122.425299,17.380482817358807,122.31834,17.452664801070664,122.427494,17.379001507190914,122.358511,17.425555137856833,122.393213,17.402136265216196,122.433317,17.375071817392442,122.40979,17.390949167879914,122.296117,17.467662138592793
0.04,87.685683,19.314659,77.9728476312376,18.818781,78.53836526539914,18.362211,79.05905460073795,17.918844,79.56468674595374,17.50171,80.0404018065298,17.097763,80.50107792397534,16.720022,80.93186774858103,16.355449,81.34764029835976,73.222163,16.494733809623177,73.254625,16.45771294271608,73.432955,16.254338806940684,72.984102,16.76622738970968,73.128896,16.601098950212887,73.30441,16.40093628511737,73.283852,16.42438138960496,73.103059,16.630564421788215
0.06,32.698267,7.285581,77.71875494196681,7.102575,78.27843597949702,6.934176,78.79344492477232,6.770746,79.29325734602388,6.617083,79.76319968272324,6.468373,80.21799442765575,6.329402,80.64300471948559,6.195366,81.05292246833754,28.163123,13.869676946487722,28.384761,13.191848974748419,28.471673,12.926048955438532,27.901906,14.668548030389502,28.077647,14.131085295743661,28.24883,13.607562137773233,28.279151,13.51483245274131,28.081243,14.120087771012452
0.08,6.071169,1.45981,75.9550425955858,1.42833,76.47355888132911,1.399495,76.94850859859115,1.371641,77.40729997797787,1.345577,77.83660774391225,1.320481,78.24997129877293,1.297148,78.6342959650769,1.274763,79.00300584615583,5.905922,2.721831660426516,6.215967,2.3850102014949632,6.115069,0.7230897377424319,5.758652,5.147558896812139,5.858112,3.5093241515760814,5.91581,2.5589635208639505,5.994779,1.2582420288415617,5.861493,3.4536347118652104
0.1,2.254545,0.621749,72.42241782710038,0.612067,72.85186146206884,0.603308,73.24036557265435,0.594957,73.61077290539775,0.58725,73.95261571625316,0.579935,74.27707142682893,0.573238,74.57411584155561,0.566914,74.85461589810804,2.238796,0.6985444956742941,2.447026,8.537465430940628,2.258376,0.16992342135554456,2.165865,3.93338788979593,2.16614,3.9211903066915874,2.169389,3.777081406669639,2.230464,1.0681090863123068,2.189612,2.8800933225994565
0.12,4.502549,1.107702,75.3983354761936,1.08538,75.89409909808866,1.06498,76.34717578864772,1.04532,76.78381734435315,1.026969,77.19138647908107,1.009343,77.58285362358077,0.993,77.945825797787,0.977362,78.29314017459889,3.720291,17.373669892320997,3.7482510000000002,16.752688310554753,3.623294,19.52793850772085,3.62161,19.565339544333668,3.582007,20.44490798434398,3.63078,19.36167712999903,3.633233,19.30719687892347,3.635841,19.249274133385335
0.14,3.983063,0.988702,75.17734467167605,0.969475,75.66006362440162,0.951925,76.10067930133167,0.935035,76.52472481605237,0.91929,76.92002360997051,0.90419,77.29912883627499,0.890208,77.65016521204913,0.876852,77.98548504003075,3.158141,20.71074446977113,3.105341,22.036357446517915,3.077054,22.746539535026187,3.042076,23.624707919508182,3.023605,24.088446504612158,3.108671,21.952753446279907,3.087129,22.49359349827005,3.072065,22.871794897544934
0.16,1.714695,0.49142,71.34067574699874,0.485127,71.70767979144979,0.47949,72.03642630322011,0.474172,72.34656892333622,0.46932,72.62953469859072,0.464771,72.8948296927442,0.46066,73.13458078550413,0.456834,73.3577108465354,1.323289,22.82656682383748,1.315401,23.286590326559534,1.323825,22.795307620305653,1.268643,26.013489279434545,1.282381,25.21229723070284,1.332653,22.280463872583752,1.334709,22.160559166499006,1.29372,24.551013445539883
0.18,0.452906,0.218005,51.86528771974758,0.218824,51.68445549407603,0.219737,51.482868409780394,0.220782,51.252136204863696,0.221918,51.00131153042794,0.22317,50.72487447726459,0.224487,50.434085660159056,0.2259,50.12210039169276,0.380393,16.01060705753512,0.427441,5.622579519812049,0.430626,4.919343086644904,0.395808,12.607031039553457,0.416644,8.006517908793429,0.418578,7.579497732421291,0.440008,2.847831558866512,0.404882,10.603524793224192
