q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,68.945112,145.166729,79.399844,-76.22161700000001,-10.454732000000007,-65.766885
0.02,68.68988,144.700023,79.099034,-76.01014299999999,-10.409154000000001,-65.60098899999998
0.04,67.929686,143.308813,78.203182,-75.37912699999998,-10.273495999999994,-65.10563099999999
0.06,66.680846,141.019536,76.731798,-74.33868999999999,-10.050951999999995,-64.28773799999999
0.08,64.969928,137.875332,74.716647,-72.90540399999999,-9.746718999999999,-63.15868499999999
0.1,62.832854,133.934702,72.200664,-71.10184799999999,-9.367810000000006,-61.734037999999984
0.12,60.31369,129.269713,69.236501,-68.95602299999999,-8.922811000000003,-60.03321199999999
0.14,57.463197,123.963819,65.884773,-66.50062199999999,-8.421575999999995,-58.079046000000005
0.16,54.337185,118.109403,62.212088,-63.772218,-7.874903000000003,-55.897315
0.18,50.994769,111.805134,58.288938,-60.810365,-7.294169000000004,-53.516195999999994
0.2,47.496572,105.153232,54.187543,-57.65666,-6.690970999999998,-50.965689000000005
0.22,43.902974,98.256773,49.979743,-54.353798999999995,-6.076768999999999,-48.277029999999996
0.24,40.272458,91.217109,45.735009,-50.94465099999999,-5.462550999999998,-45.482099999999996
0.26,36.660114,84.131495,41.518655,-47.471381,-4.858541000000002,-42.61284
0.28,33.116364,77.091015,37.390304,-43.974651,-4.273940000000003,-39.700711
0.3,29.685933,70.178835,33.402661,-40.49290200000001,-3.7167280000000034,-36.776174000000005
0.32,26.407087,63.468843,29.600614,-37.061756,-3.1935269999999996,-33.868229
0.34,23.311163,57.02469,26.020675,-33.713527,-2.709512,-31.004015
0.36,20.422368,50.899222,22.690757,-30.476854000000003,-2.2683890000000027,-28.208465
0.38,17.757841,45.134301,19.630272,-27.37646,-1.8724310000000024,-25.504029
0.4,15.327952,39.760966,16.8505,-24.433014000000004,-1.5225480000000005,-22.910466000000003
0.42,13.136794,34.799907,14.355211,-21.663112999999996,-1.2184170000000005,-20.444695999999997
0.44,11.182837,30.262186,12.141467,-19.079349,-0.9586300000000012,-18.120719
0.46,9.45969,26.150157,10.200561,-16.690466999999998,-0.7408710000000003,-15.949596
0.48,7.95694,22.458519,8.519046,-14.501579,-0.5621059999999991,-13.939473
0.5,6.661011,19.175454,7.079782,-12.514442999999998,-0.41877099999999956,-12.095671999999999
