q_inverse_angstroms,intensity_debye,intensity_prop,intensity_diff,weight_debye,weight_prop
0,68.945112,548.413552,-479.46844,151327.981233+63.759362i,467.663311-0.018046i
0.02,68.68988,546.316727,-477.626847,151327.981233+63.759362i,467.663311-0.018046i
0.04,67.929686,540.072113,-472.14242699999994,151327.981233+63.759362i,467.663311-0.018046i
0.06,66.680846,529.815699,-463.134853,151327.981233+63.759362i,467.663311-0.018046i
0.08,64.969928,515.768912,-450.798984,151327.981233+63.759362i,467.663311-0.018046i
0.1,62.832854,498.231034,-435.39818,151327.981233+63.759362i,467.663311-0.018046i
0.12,60.31369,477.569073,-417.255383,151327.981233+63.759362i,467.663311-0.018046i
0.14,57.463197,454.205558,-396.742361,151327.981233+63.759362i,467.663311-0.018046i
0.16,54.337185,428.604784,-374.267599,151327.981233+63.759362i,467.663311-0.018046i
0.18,50.994769,401.258116,-350.26334699999995,151327.981233+63.759362i,467.663311-0.018046i
0.2,47.496572,372.66898,-325.17240799999996,151327.981233+63.759362i,467.663311-0.018046i
0.22,43.902974,343.33814,-299.435166,151327.981233+63.759362i,467.663311-0.018046i
0.24,40.272458,313.749848,-273.47739,151327.981233+63.759362i,467.663311-0.018046i
0.26,36.660114,284.359378,-247.699264,151327.981233+63.759362i,467.663311-0.018046i
0.28,33.116364,255.582342,-222.465978,151327.981233+63.759362i,467.663311-0.018046i
0.3,29.685933,227.786127,-198.100194,151327.981233+63.759362i,467.663311-0.018046i
0.32,26.407087,201.283624,-174.876537,151327.981233+63.759362i,467.663311-0.018046i
0.34,23.311163,176.329342,-153.018179,151327.981233+63.759362i,467.663311-0.018046i
0.36,20.422368,153.117858,-132.69549,151327.981233+63.759362i,467.663311-0.018046i
0.38,17.757841,131.784472,-114.026631,151327.981233+63.759362i,467.663311-0.018046i
0.4,15.327952,112.407827,-97.079875,151327.981233+63.759362i,467.663311-0.018046i
0.42,13.136794,95.014196,-81.877402,151327.981233+63.759362i,467.663311-0.018046i
0.44,11.182837,79.583096,-68.400259,151327.981233+63.759362i,467.663311-0.018046i
0.46,9.45969,66.053846,-56.59415599999999,151327.981233+63.759362i,467.663311-0.018046i
0.48,7.95694,54.332696,-46.375755999999996,151327.981233+63.759362i,467.663311-0.018046i
0.5,6.661011,44.300176,-37.639165,151327.981233+63.759362i,467.663311-0.018046i
