q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,170.09432,196.752025,96.4944,-26.657704999999993,73.59992000000001,-100.257625
0.02,163.226285,189.031781,92.612712,-25.805496000000005,70.61357299999999,-96.419069
0.04,144.167415,167.579159,81.840919,-23.411744,62.326496000000006,-85.73824
0.06,117.02905,136.942628,66.50261,-19.913578000000015,50.526439999999994,-70.44001800000001
0.08,87.141471,103.03235,49.610558,-15.890878999999998,37.530913,-53.421791999999996
0.1,59.447649,71.358554,33.959021,-11.910905,25.488628,-37.399533
0.12,37.261788,45.669462,21.421866,-8.407674,15.839922000000001,-24.247596
0.14,21.789073,27.417783,12.680655,-5.628710000000002,9.108417999999999,-14.737128
0.16,12.428035,16.073694,7.395084,-3.645659,5.032951,-8.678609999999999
0.18,7.55505,9.955879,4.646299,-2.400829,2.9087509999999996,-5.3095799999999995
0.2,5.367213,7.12639,3.413717,-1.7591770000000002,1.9534959999999995,-3.7126729999999997
0.22,4.454491,6.003881,2.899127,-1.5493899999999998,1.555364,-3.104754
0.24,3.988791,5.582594,2.634169,-1.5938030000000003,1.354622,-2.9484250000000003
0.26,3.619285,5.352675,2.421327,-1.7333899999999995,1.1979580000000003,-2.931348
0.28,3.255083,5.104978,2.210721,-1.849895,1.044362,-2.894257
0.3,2.887475,4.767394,1.998944,-1.8799190000000006,0.8885309999999997,-2.7684500000000005
0.32,2.511348,4.325437,1.784032,-1.814089,0.7273159999999999,-2.541405
0.34,2.122264,3.802658,1.563569,-1.6803940000000002,0.5586949999999999,-2.239089
0.36,1.734447,3.253786,1.345031,-1.5193389999999998,0.389416,-1.9087549999999998
0.38,1.38208,2.744901,1.146942,-1.362821,0.23513800000000007,-1.5979590000000001
0.4,1.100568,2.325687,0.988689,-1.2251189999999998,0.11187899999999995,-1.336998
0.42,0.90559,2.01199,0.878878,-1.1063999999999998,0.026711999999999958,-1.133112
0.44,0.786334,1.788624,0.811472,-1.00229,-0.025137999999999994,-0.977152
0.46,0.715008,1.626688,0.770993,-0.9116799999999999,-0.05598500000000006,-0.8556949999999999
0.48,0.662818,1.501392,0.741379,-0.838574,-0.07856099999999999,-0.760013
0.5,0.611276,1.400131,0.712292,-0.788855,-0.101016,-0.687839
