q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{a=0.15}_Plastocyanin,strat{a=0.15}_Plastocyanin_relDiffDebye,strat{a=0.20}_Plastocyanin,strat{a=0.20}_Plastocyanin_relDiffDebye,strat{a=0.25}_Plastocyanin,strat{a=0.25}_Plastocyanin_relDiffDebye,strat{a=0.30}_Plastocyanin,strat{a=0.30}_Plastocyanin_relDiffDebye,strat{a=0.35}_Plastocyanin,strat{a=0.35}_Plastocyanin_relDiffDebye,strat{a=0.40}_Plastocyanin,strat{a=0.40}_Plastocyanin_relDiffDebye,strat{a=0.45}_Plastocyanin,strat{a=0.45}_Plastocyanin_relDiffDebye,strat{a=0.50}_Plastocyanin,strat{a=0.50}_Plastocyanin_relDiffDebye
0,191.785812,175.483307,8.500370715639798,171.028257,10.823300630809957,166.978767,12.93476547681222,162.929847,15.045933116262008,158.881541,17.156780606899112,155.23863,19.05624906184405,152.000969,20.74441408627245,148.359179,22.643298034997493,71.235934,62.85651516286303,17.730901,90.75484217779363,108.230033,43.56723687151581,38.903083,79.71534880797125,54.184552,71.74736158272229,1323.591023,590.1402190272553,86.353681,54.97389504495776,105.664733,44.9048227821983
0.02,187.232491,171.367867,8.47322166962999,167.017852,10.796544388228005,163.063848,12.908359479124806,159.110414,15.01987013568068,155.157594,17.13105285770087,151.60062,19.030816077750103,148.439347,20.719237239651964,144.883495,22.618401204735346,9.697953,94.82036854383355,1026.435844,448.2145959378387,111.119491,40.65159823142021,43.096087,76.98258097735827,2094.708527,1018.7740524159345,190.796517,1.9035296603515166,227.509898,21.511975183837073,246.874406,31.854468570842215
0.04,174.158755,159.546935,8.38994284266675,155.498613,10.714443841769542,151.818877,12.827306901682908,148.139711,14.939842674001664,144.461158,17.052026468609057,141.151025,18.95266763936157,138.209166,20.641850017818513,134.900155,22.541846948779575,7.945694,95.43767179548338,208.128103,19.504817888713085,108.262393,37.83695054549512,122.122111,29.87885621943037,153.582959,11.814390841275838,67.020524,61.51756826695276,2787.332345,1500.4549096598673,5091.138758,2823.274662821286
0.06,154.209853,141.495721,8.244694974192088,137.908104,10.571146189990856,134.647189,12.685741941534703,131.386844,14.799968066891298,128.127113,16.913796033512853,125.19392,18.81587488446669,122.587118,20.50629994440109,119.655047,22.407651215386355,947.553897,514.4574283460344,989.357932,541.5659653083256,97.859352,36.541440059605016,123.045879,20.208808577231448,1188.219723,670.5212733715529,326.085089,111.4554178324779,188.898362,22.4943531980411,937.366303,507.85110987687665
0.08,129.777666,119.361115,8.026458882378122,116.338418,10.355593850794023,113.591067,12.472561341949248,110.844286,14.589089620397406,108.098119,16.70514478199971,105.627133,18.60915960686179,103.431183,20.30124582453194,100.961319,22.204396093854857,1647.464774,1169.451689784589,12.544121,90.33414501382696,18.932708,85.41142818826776,1426.095789,998.8761263436497,124.417218,4.13048574937386,503.662127,288.09615130541795,1216.132361,837.0890989825629,568.122064,337.76566608926373
0.1,103.565009,95.573251,7.716658432386178,93.157669,10.049089070228348,90.96224,12.168945015009855,88.767382,14.288249615273054,86.573138,16.40696135120309,84.598882,18.313257714292284,82.84447,20.007277747641584,80.871336,21.912490733235977,5.362812,94.82179159565369,9.720656,90.61395726813484,14.849395,85.66176438993985,1367.995126,1220.90475268534,239.328862,131.09046608589586,39.18198,62.16677777723169,144.019718,39.06214018674976,536.662878,418.18937996712765
0.12,78.128405,72.437007,7.284671944857964,70.611909,9.62069557160421,68.953284,11.743643045061528,67.29523,13.86585967037212,65.637789,15.98729168987899,64.146657,17.895857466948158,62.821688,19.591743873435018,61.331678,21.498873553095066,48.946876,37.35072922581742,62.27309,20.29391870984695,176.849761,126.35782850040265,217.907831,178.90986767232738,91.931869,17.667663892536915,106.233416,35.972846239469504,1087.542142,1291.993273125184,482.98781,518.1974532821962
0.14,55.499095,51.792049,6.679471079663549,50.493853,9.018601114126268,49.314229,11.144084421556784,48.135176,13.268538883381787,46.956737,15.391887020860432,45.896706,17.30188393162086,44.954938,18.99879088118464,43.896029,20.90676613735773,2.47985,95.53172894080525,4.713348,91.50734259720812,8.185356,85.25137031513758,71.856283,29.472891404805807,1725.39729,3008.8746402080974,4894.109596,8718.35928315588,96.120297,73.1925484550694,227.249798,309.4657723698017
0.16,36.954091,34.805605,5.8139327523981,33.940937,8.1537765331584,33.155431,10.279403165403252,32.370495,12.403487343255176,31.586173,14.52591000005926,30.880847,16.4345647143641,30.254373,18.129841158858426,29.550169,20.035459673463482,133.908339,262.36404516079153,117.836153,218.87174007337916,132.523271,258.6159675798817,1435.800177,3785.361912974669,904.73396,2348.264686039768,1580.495233,4176.915465191662,18.891234,48.879180927491895,81.643092,120.93113317277917
0.18,22.965168,21.923416,4.536226340691255,21.387528,6.869708072677713,20.900913,8.98863443977418,20.414868,11.105078787144079,19.929436,13.218853874702766,19.493112,15.118792076765992,19.10575,16.805529138737406,18.670548,18.700581680917807,1.26991,94.47027777023011,2.273832,90.0987791598128,41.011638,78.58192023676901,46.501186,102.48572098405724,4403.596836,19075.112657569065,2076.824546,8943.3675294689765,57.972686,152.43745658642692,15.052833,34.45363430391626
0.2,13.307628,12.963545,2.585607292298819,12.656332,4.894155442277155,12.377602,6.988668453912296,12.099442,9.07889820785492,11.821896,11.164514066669122,11.572669,13.03732716303762,11.351616,14.698427097601463,11.103511,16.56280893935418,35.063867,163.48697904690454,130.737964,882.4287543955995,1145.861827,8510.564008852667,41.23007,209.82283243865848,3.942233,70.37614066158146,306.043514,2199.760062424348,5.555217,58.255393072304095,46.240316,247.47226177347306
0.22,7.275654,7.306439,0.4231234745357577,7.143606,1.814929626944879,6.996132,3.8418814308651843,6.849228,5.860998887522691,6.702937,7.871690984755459,6.57184,9.673549621793455,6.455791,11.268581491093457,6.325816,13.055018834045718,0.308536,95.75933654898927,0.810551,88.85940700313675,126.168326,1634.1166306149248,2.175214,70.10283886506973,4519.821413,62022.54476367347,1575.676109,21556.831248434846,207.942588,2758.0604300314444,112.319406,1443.7705806240922
0.24,3.93541,4.120354,4.699484932954883,4.038836,2.628087035404184,3.965285,0.7591331017606829,3.892304,1.0953369534559263,3.819936,2.934230486785363,3.75537,4.574872757857503,3.698459,6.020999082687697,3.635015,7.633130982540573,30.13464,665.730635435698,31.518013,700.8825764024587,0.591838,84.96121115716025,798.357692,20186.518863345875,32.562611,727.426138572601,34.455363,775.5215593800899,3176.423051,80613.90404049387,3404.491151,86409.18585357054
0.26,2.3521,2.565233,9.061391947621274,2.523405,7.28306619616512,2.485936,5.69006419795077,2.449036,4.1212533480719324,2.41275,2.5785468304918955,2.380658,1.214149058288332,2.352612,0.021767781982061474,2.321641,1.294970451936568,0.152363,93.52225670677268,28.475506,1110.6418094468772,122.403508,5104.0095234046175,3160.001069,134248.07486926575,164.93227,6912.128310871135,1116.653587,47374.749670507204,89.034749,3685.330088006462,8608.532637,365893.4797415076
0.28,1.748013,1.936227,10.76731122709041,1.910453,9.292837067001212,1.887577,7.984151147617324,1.865272,6.708130889186751,1.84358,5.467179019835662,1.824622,4.382633309935334,1.808252,3.4461414188567208,1.790416,2.4257828746124868,115.956196,6533.600322194399,28.66713,1539.983798747492,792.028309,45210.20701791119,1458.647366,83346.02505816604,0.60946,65.13412657686185,30.570085,1648.8476916361606,31.40019,1696.3361828544753,33.28102,1803.9343528909678
0.3,1.576208,1.732363,9.90700465928355,1.711792,8.601910407763437,1.693646,7.450666409509401,1.676071,6.33564859460173,1.659109,5.259521585983569,1.644408,4.326840112472468,1.631822,3.528341437170732,1.618243,2.6668434622841684,0.205376,86.97024758153746,786.806508,49817.68269162446,0.451598,71.3490859074437,103.614655,6473.666356216945,797.869791,50519.575018017924,236.90173,14929.852024605887,1111.3619,70408.58135474507,60.292824,3725.1819556809764
