q_inverse_angstroms,debye,propo{e=0.380}_AntiterminatorHairpin,propo{e=0.380}_AntiterminatorHairpin_relDiffDebye,propo{e=0.390}_AntiterminatorHairpin,propo{e=0.390}_AntiterminatorHairpin_relDiffDebye,propo{e=0.400}_AntiterminatorHairpin,propo{e=0.400}_AntiterminatorHairpin_relDiffDebye,propo{e=0.410}_AntiterminatorHairpin,propo{e=0.410}_AntiterminatorHairpin_relDiffDebye,propo{e=0.420}_AntiterminatorHairpin,propo{e=0.420}_AntiterminatorHairpin_relDiffDebye,propo{e=0.430}_AntiterminatorHairpin,propo{e=0.430}_AntiterminatorHairpin_relDiffDebye,propo{e=0.440}_AntiterminatorHairpin,propo{e=0.440}_AntiterminatorHairpin_relDiffDebye,propo{e=0.450}_AntiterminatorHairpin,propo{e=0.450}_AntiterminatorHairpin_relDiffDebye,strat{a=0.15}_AntiterminatorHairpin,strat{a=0.15}_AntiterminatorHairpin_relDiffDebye,strat{a=0.20}_AntiterminatorHairpin,strat{a=0.20}_AntiterminatorHairpin_relDiffDebye,strat{a=0.25}_AntiterminatorHairpin,strat{a=0.25}_AntiterminatorHairpin_relDiffDebye,strat{a=0.30}_AntiterminatorHairpin,strat{a=0.30}_AntiterminatorHairpin_relDiffDebye,strat{a=0.35}_AntiterminatorHairpin,strat{a=0.35}_AntiterminatorHairpin_relDiffDebye,strat{a=0.40}_AntiterminatorHairpin,strat{a=0.40}_AntiterminatorHairpin_relDiffDebye,strat{a=0.45}_AntiterminatorHairpin,strat{a=0.45}_AntiterminatorHairpin_relDiffDebye,strat{a=0.50}_AntiterminatorHairpin,strat{a=0.50}_AntiterminatorHairpin_relDiffDebye
0,106.067165,61.755331,41.77714564163188,60.134025,43.305711055820154,58.66059,44.694863862911774,57.187647,46.08355281297469,55.862453,47.33294417739929,54.684891,48.44314826364974,53.360601,49.69168733792404,52.1839,50.80107967437425,75.84947,28.48920775812195,79.821076,24.744782233031305,133.057322,25.44628867944193,263.16008,148.1070178504347,264.79814,149.6513789163687,371.316534,250.07679709361517,584.352844,450.9271827902631,732.791828,590.875284542582
0.02,100.848066,58.721542,41.77226760104651,57.180844,43.30000934276717,55.780688,44.688390950402564,54.381025,46.076283703844155,53.121783,47.32493630566996,52.002845,48.434464771986804,50.744507,49.682220975858876,49.62643,50.79089568262023,66.494808,34.064369662775675,58.964998,41.530858906109316,146.571117,45.338550171105894,194.284482,92.65067710867156,279.011401,176.66509836688385,380.120985,276.9244171722639,754.043813,647.702799774068,539.761196,435.222158846358
0.04,87.072799,50.71904,41.750993901091896,49.390969,43.276236014877625,48.18411,44.66227047553623,46.977745,46.047737594837166,45.89247,47.294137173653965,44.92817,48.401601285379606,43.843799,49.64696265248118,42.88036,50.7534379364559,38.735267,55.51392921226754,99.748322,14.55738548154401,97.773441,12.289305182437056,165.016233,89.51525033667517,224.887533,158.27530018875353,425.658179,388.8532169501063,360.992217,314.58666902392787,571.606175,556.4692780807471
0.06,69.296706,40.405311,41.69230641352563,39.351276,43.21335273858472,38.393542,44.59542997613769,37.4363,45.97679722323309,36.575237,47.21937143736673,35.810235,48.323322900802815,34.950076,49.564592579624204,34.185936,50.66730011668953,32.733598,52.76312556617049,27.099708,60.89322340949367,85.440717,23.296938529805452,218.468169,215.26486843400608,204.354455,194.8977906684338,277.33823,300.21848946182234,342.461927,394.1965452152949,354.040156,410.9047405514485
0.08,52.279614,30.551312,41.561710842011955,29.759098,43.07705102795901,29.039383,44.45371574472604,28.320161,45.82943745529568,27.673315,47.066718970036774,27.098729,48.1657821727605,26.452787,49.40133452400777,25.879063,50.49874890047964,19.477128,62.74431559498508,52.476679,0.3769442521132519,96.005397,83.63830498059912,56.938435,8.911353094535082,236.964648,353.2639586818678,208.719192,299.2362912243384,146.510405,180.24385375148327,286.87129,448.72495806874156
0.1,38.86505,22.803684,41.32598825937442,22.217325,42.834693381328464,21.684751,44.20500938503874,21.152669,45.57405946988361,20.67425,46.80503434319523,20.249377,47.898235046655024,19.771862,49.12688392270176,19.34785,50.21786926814708,22.218741,42.83105000508168,26.286134,32.3656241275902,62.828656,61.65849780200979,56.215574,44.64299930142892,90.993872,134.12776260419065,139.070438,257.8290469200477,184.634292,375.0651086258734,190.623593,390.47561498055455
0.12,29.446471,17.378877,40.98146090239472,16.936656,42.483240181820094,16.535115,43.84687047897861,16.134068,45.20882315575269,15.773579,46.43304116136701,15.453533,47.51991503497991,15.093949,48.74105966721785,14.774764,49.82500959113233,21.014948,28.633390398462343,32.079587,8.942042664467323,47.241305,60.431126025254436,40.453745,37.380621942778816,73.791248,150.59453813667517,112.132498,280.8011425206097,175.619883,496.4038373223059,142.119519,382.6368463643742
0.14,22.916206,13.623476,40.55090969246829,13.281036,42.04522336725372,12.970205,43.401604087517796,12.659868,44.75582912808516,12.381019,45.97264922474514,12.13354,47.05257929693947,11.855595,48.26545458702894,11.608979,49.34161876534012,7.803348,65.94834240886122,20.302377,11.406028554639452,29.116124,27.05473148565692,44.376776,93.64800613155599,72.186153,215.00045426367697,74.837218,226.56897044824956,70.426876,207.32345485112148,114.844745,401.1507794963966
0.16,18.01037,10.800754,40.03036028687918,10.533313,41.515288136778985,10.290664,42.86256195736124,10.048509,44.20709291369362,9.831023,45.41465278059252,9.63809,46.48588563144456,9.421509,47.68842061545654,9.229438,48.754867334763254,13.341564,25.922876653838877,18.270761,1.4457837345928954,21.382762,18.72472358979853,37.923755,110.56621823982515,48.482967,169.19473059132045,54.462522,202.39535334365698,72.650158,303.3795974208192,128.381655,612.8207527107993
0.18,14.047329,8.517767,39.363796491133655,8.310986,40.83582722380888,8.123482,42.170629021360575,7.936471,43.50192125492327,7.768615,44.69685304587085,7.619798,45.756250173965455,7.452847,46.94473945901032,7.304891,47.998007308008525,3.342643,76.20442291911864,16.366342,16.50856899557204,28.858984,105.44107709017139,34.629893,146.52297244550908,43.834619000000004,212.04949353717,37.77288,168.8972401799659,42.308121,201.1826732327548,85.79807,510.77853305777916
