q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{s=0.15}_Plastocyanin,strat{s=0.15}_Plastocyanin_relDiffDebye,strat{s=0.20}_Plastocyanin,strat{s=0.20}_Plastocyanin_relDiffDebye,strat{s=0.25}_Plastocyanin,strat{s=0.25}_Plastocyanin_relDiffDebye,strat{s=0.30}_Plastocyanin,strat{s=0.30}_Plastocyanin_relDiffDebye,strat{s=0.35}_Plastocyanin,strat{s=0.35}_Plastocyanin_relDiffDebye,strat{s=0.40}_Plastocyanin,strat{s=0.40}_Plastocyanin_relDiffDebye,strat{s=0.45}_Plastocyanin,strat{s=0.45}_Plastocyanin_relDiffDebye,strat{s=0.50}_Plastocyanin,strat{s=0.50}_Plastocyanin_relDiffDebye
0,191.785812,175.483307,8.500370715639798,171.028257,10.823300630809957,166.978767,12.93476547681222,162.929847,15.045933116262008,158.881541,17.156780606899112,155.23863,19.05624906184405,152.000969,20.74441408627245,148.359179,22.643298034997493,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167,144.19351700000001,24.815336704886167
0.02,187.232491,171.367867,8.47322166962999,167.017852,10.796544388228005,163.063848,12.908359479124806,159.110414,15.01987013568068,155.157594,17.13105285770087,151.60062,19.030816077750103,148.439347,20.719237239651964,144.883495,22.618401204735346,141.318682,24.52235119811551,141.632959,24.354497318523634,141.338893,24.511556597300196,141.343283,24.509211918779627,141.270109,24.54829381082155,141.339878,24.511030513395244,141.260044,24.553669480368136,141.396189,24.480955070987125
0.04,174.158755,159.546935,8.38994284266675,155.498613,10.714443841769542,151.818877,12.827306901682908,148.139711,14.939842674001664,144.461158,17.052026468609057,141.151025,18.95266763936157,138.209166,20.641850017818513,134.900155,22.541846948779575,133.021896,23.620322159514757,134.203109,22.942082928877163,133.091618,23.58028857062052,133.110627,23.56937381643548,132.835446,23.72737965427005,133.093591,23.57915569619225,132.79576,23.750166909495885,133.313522,23.452873787482005
0.06,154.209853,141.495721,8.244694974192088,137.908104,10.571146189990856,134.647189,12.685741941534703,131.386844,14.799968066891298,128.127113,16.913796033512853,125.19392,18.81587488446669,122.587118,20.50629994440109,119.655047,22.407651215386355,120.228586,22.035730103445466,122.621507,20.48399981290431,120.347934,21.958336864506325,120.39508,21.9277642395522,119.837282,22.28947783252216,120.345649,21.959818611590283,119.750325,22.34586657702086,120.820828,21.651680713293985
0.08,129.777666,119.361115,8.026458882378122,116.338418,10.355593850794023,113.591067,12.472561341949248,110.844286,14.589089620397406,108.098119,16.70514478199971,105.627133,18.60915960686179,103.431183,20.30124582453194,100.961319,22.204396093854857,104.301836,19.6303653665647,107.964986,16.80773022994574,104.434634,19.528038052402643,104.525919,19.457698522641024,103.67192,20.115746264075984,104.416103,19.542317088673794,103.523762,20.22990920487043,105.212961,18.928299265298854
0.1,103.565009,95.573251,7.716658432386178,93.157669,10.049089070228348,90.96224,12.168945015009855,88.767382,14.288249615273054,86.573138,16.40696135120309,84.598882,18.313257714292284,82.84447,20.007277747641584,80.871336,21.912490733235977,86.815914,16.172542407638854,91.515179,11.635039784527997,86.896202,16.095018154249377,87.04636,15.950029029592413,85.951991,17.006726663829088,86.843584,16.14582488956284,85.734654,17.21658229180475,87.995485,15.033575674193203
0.12,78.128405,72.437007,7.284671944857964,70.611909,9.62069557160421,68.953284,11.743643045061528,67.29523,13.86585967037212,65.637789,15.98729168987899,64.146657,17.895857466948158,62.821688,19.591743873435018,61.331678,21.498873553095066,69.312401,11.283993318435218,74.584744,4.535688396556925,69.262187,11.348264437242772,69.479193,11.070508862941725,68.255343,12.636968590360965,69.154954,11.485516695240351,67.969044,13.003415339145864,70.656952,9.563043044331952
0.14,55.499095,51.792049,6.679471079663549,50.493853,9.018601114126268,49.314229,11.144084421556784,48.135176,13.268538883381787,46.956737,15.391887020860432,45.896706,17.30188393162086,44.954938,18.99879088118464,43.896029,20.90676613735773,53.08843,4.343611368797986,58.355071,5.1459866147367,52.84027,4.790753795174499,53.120383,4.286037457007183,51.905766,6.474572243024859,52.659849,5.115841979044876,51.560487,7.096706712064395,54.467151,1.8593888783231434
0.16,36.954091,34.805605,5.8139327523981,33.940937,8.1537765331584,33.155431,10.279403165403252,32.370495,12.403487343255176,31.586173,14.52591000005926,30.880847,16.4345647143641,30.254373,18.129841158858426,29.550169,20.035459673463482,39.054898,5.684910501519313,43.751659,18.39462916297954,38.571375,4.376468088472276,38.89709,5.25787253162309,37.825205,2.3572870457021895,38.306011,3.6583770928095616,37.440857,1.3172181667247693,40.337,9.15435587361628
0.18,22.965168,21.923416,4.536226340691255,21.387528,6.869708072677713,20.900913,8.98863443977418,20.414868,11.105078787144079,19.929436,13.218853874702766,19.493112,15.118792076765992,19.10575,16.805529138737406,18.670548,18.700581680917807,27.682781,20.54247110232331,31.373694,36.61425860241912,26.966461,17.4233125575219,27.308806,18.91402666856172,26.477416,15.293804948433223,26.614906,15.892494233005404,26.08214,13.572607002047626,28.759105,25.229238471061933
0.2,13.307628,12.963545,2.585607292298819,12.656332,4.894155442277155,12.377602,6.988668453912296,12.099442,9.07889820785492,11.821896,11.164514066669122,11.572669,13.03732716303762,11.351616,14.698427097601463,11.103511,16.56280893935418,19.033857,43.0296744092937,21.482268,61.42822747975825,18.125073,36.200628692055425,18.45007,38.64281448203993,17.90064,34.51412979082373,17.698012,32.99148428254832,17.527225,31.708107560566035,19.828544,49.001339682774436
0.22,7.275654,7.306439,0.4231234745357577,7.143606,1.814929626944879,6.996132,3.8418814308651843,6.849228,5.860998887522691,6.702937,7.871690984755459,6.57184,9.673549621793455,6.455791,11.268581491093457,6.325816,13.055018834045718,12.854165,76.67367084800898,14.039998,92.97231561588828,11.818488,62.43884054959182,12.095928,66.25210599624445,11.807625,62.28953438412545,11.337193,55.82369639897663,11.488605,57.90477392135469,13.326346,83.1635479092326
0.24,3.93541,4.120354,4.699484932954883,4.038836,2.628087035404184,3.965285,0.7591331017606829,3.892304,1.0953369534559263,3.819936,2.934230486785363,3.75537,4.574872757857503,3.698459,6.020999082687697,3.635015,7.633130982540573,8.69859,121.03389481655023,8.786244,123.26121039485085,7.60932,93.35520314274753,7.82099,98.73380410173273,7.719928,96.16578704633064,7.101794,80.45880861206328,7.482305,90.127712233287,8.837462,124.56267580760327
0.26,2.3521,2.565233,9.061391947621274,2.523405,7.28306619616512,2.485936,5.69006419795077,2.449036,4.1212533480719324,2.41275,2.5785468304918955,2.380658,1.214149058288332,2.352612,0.021767781982061474,2.321641,1.294970451936568,6.054561,157.41086688491131,5.328062,126.52361719314655,4.97671,111.5858169295523,5.121255,117.73117639556139,5.101718,116.9005569491093,4.472272,90.13953488372094,4.962477,110.98069809957059,5.872538,149.67212278389522
0.28,1.748013,1.936227,10.76731122709041,1.910453,9.292837067001212,1.887577,7.984151147617324,1.865272,6.708130889186751,1.84358,5.467179019835662,1.824622,4.382633309935334,1.808252,3.4461414188567208,1.790416,2.4257828746124868,4.44031,154.02042204491613,3.227835,84.65737955038091,3.421166,95.71742315417562,3.513869,101.02075899893192,3.465393,98.24755307883866,2.944853,68.46859834566447,3.42878,96.15300343876162,3.968039,127.00283121464197
0.3,1.576208,1.732363,9.90700465928355,1.711792,8.601910407763437,1.693646,7.450666409509401,1.676071,6.33564859460173,1.659109,5.259521585983569,1.644408,4.326840112472468,1.631822,3.528341437170732,1.618243,2.6668434622841684,3.465131,119.8397038969476,2.073162,31.52845309756072,2.53322,60.71609838295453,2.600783,65.00252504745565,2.433898,54.414772669596914,2.101452,33.32326697999249,2.491008,58.03802543826701,2.749681,74.44912092820235
0.32,1.519609,1.65831,9.12741369654957,1.639629,7.898084309845495,1.623202,6.817082552156512,1.607344,5.773524636929639,1.592101,4.770437658634557,1.578946,3.904754446703065,1.567735,3.1669988793169894,1.555702,2.375150449885459,2.851245,87.63017328799711,1.521367,0.11568765386358769,2.021988,33.059754186767776,2.0940820000000002,37.80400089759933,1.758468,15.718451259501617,1.640549,7.958626199239413,1.889137,24.317307939081704,1.956095,28.723572971731542
0.34,1.441259,1.581656,9.741274815976857,1.564932,8.580900448843678,1.550283,7.564497428983966,1.536204,6.587643164760798,1.522739,5.653390542574234,1.511185,4.851730327442877,1.501396,4.1725324872212335,1.490964,3.4487208752902765,2.425993,68.32456900529328,1.317908,8.558558871098116,1.709841,18.63523488838577,1.810303,25.60566837743944,1.301681,9.684449498667483,1.374613,4.624151523078085,1.478094,2.5557516032857346,1.429827,0.7931953937495002
0.36,1.315863,1.47242,11.897667158359196,1.458484,10.838590339571816,1.446369,9.917901787648107,1.434825,9.040606810891408,1.423895,8.209973226696086,1.414622,7.50526460581383,1.40686,6.915385568254445,1.398709,6.295944182639072,2.097285,59.38475357996994,1.293482,1.7008609558897836,1.505712,14.427717779130496,1.646225,25.106109070625138,1.001622,23.88098153075206,1.205813,8.363332656971128,1.192767,9.354773255270503,1.088776,17.257647642649733
0.38,1.167319,1.347049,15.396819549754603,1.336312,14.47701956363256,1.327106,13.688374814425183,1.318471,12.948645571604672,1.310449,12.26142982338161,1.303794,11.691320024774711,1.29836,11.225808883432888,1.292827,10.75181676988038,1.824661,56.31211348397483,1.347619,15.445649389755491,1.371022,17.45049982052892,1.549116,32.70716916284237,0.833218,28.62122521778537,1.09333,6.338370231273549,1.009242,13.54188529442252,0.892307,23.559284137412313
0.4,1.026169,1.229739,19.83786296409264,1.221996,19.083308889666316,1.215512,18.45144415783363,1.209598,17.875125832099766,1.204298,17.358641705216193,1.200093,16.94886514794346,1.196836,16.631471034498205,1.193753,16.331033192388382,1.594654,55.398769598379985,1.427087,39.06939305319103,1.289676,25.678713740134413,1.491268,45.32382093008071,0.778573,24.12818941129581,1.023403,0.2695462443320784,0.9143,10.901615620818802,0.813281,20.745900529055163
0.42,0.909671,1.133919,24.651549846043228,1.128621,24.069141480821095,1.124361,23.600840303802137,1.12067,23.195089213572825,1.117594,22.856944983406084,1.115389,22.61454965586459,1.113911,22.452073332006854,1.112828,22.333019300384414,1.404273,54.37152552955959,1.505796,65.5319340728681,1.248686,37.26786937255337,1.453787,59.81459230864784,0.811668,10.77345545807221,0.988664,8.683688938088602,0.88892,2.281154395380304,0.821939,9.644365930100008
0.44,0.819248,1.059497,29.32555221373747,1.056099,28.91078159482842,1.053565,28.6014735464719,1.051601,28.361741499521514,1.050251,28.196956233033234,1.049601,28.117615178798122,1.049504,28.105775052243036,1.049976,28.163388863933758,1.252453,52.8783713844892,1.570217,91.66564947366366,1.230672,50.219713688651055,1.419936,73.3218756713474,0.896621,9.444392906665628,0.978457,19.433553698025513,0.905334,10.507929222897095,0.882072,7.668495986563287
0.46,0.746861,0.998402,33.67976102648284,0.996563,33.43353046952512,0.995447,33.284105074438216,0.994901,33.21099910157312,0.994968,33.219969981027255,0.995594,33.30378745174804,0.996631,33.442635242702465,0.998378,33.67654757712613,1.137043,52.24292070412031,1.611451,115.76317413815957,1.21544,62.73978692152892,1.375169,84.1264974339268,0.994631,33.17484779631016,0.978,30.948061285834978,0.932988,24.92123701732987,0.955833,27.980039123745925
0.48,0.682821,0.941614,37.900562519313254,0.941225,37.84359297678307,0.941426,37.873029681278105,0.942198,37.986090058741595,0.943583,38.18892506235162,0.945394,38.45414830533917,0.947485,38.76037790284716,0.950418,39.18991946644874,1.054546,54.43959690753506,1.622849,137.66829081120818,1.185871,73.67230943395118,1.309938,91.84207867069115,1.073367,57.195956187639204,0.972343,42.40086347666518,0.947247,38.72552250150478,1.01183,48.18378462290996
0.5,0.620718,0.883651,42.35949336091429,0.884741,42.53509645281754,0.886287,42.784162856562894,0.888403,43.12505840011085,0.891133,43.564871648639155,0.894155,44.05172719334707,0.897322,44.56194278239071,0.901465,45.22939563537709,1.000633,61.205732715983764,1.600908,157.91228867215062,1.133507,82.61223293025175,1.221967,96.86347101260154,1.113781,79.43430027806507,0.951068,53.22062514700718,0.935712,50.74671589997391,1.031633,66.19994909121372
