q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{s=0.15}_Selenow,strat{s=0.15}_Selenow_relDiffDebye,strat{s=0.20}_Selenow,strat{s=0.20}_Selenow_relDiffDebye,strat{s=0.25}_Selenow,strat{s=0.25}_Selenow_relDiffDebye,strat{s=0.30}_Selenow,strat{s=0.30}_Selenow_relDiffDebye,strat{s=0.35}_Selenow,strat{s=0.35}_Selenow_relDiffDebye,strat{s=0.40}_Selenow,strat{s=0.40}_Selenow_relDiffDebye,strat{s=0.45}_Selenow,strat{s=0.45}_Selenow_relDiffDebye,strat{s=0.50}_Selenow,strat{s=0.50}_Selenow_relDiffDebye
0,178.36908,90.439084,49.29665836702191,88.188666,50.55832210380857,85.938619,51.8197778449045,83.953613,52.93264224943023,81.968942,54.04531884113547,79.98463,55.1577941647734,78.265204,56.12176505031029,76.546088,57.08556213890883,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183,144.19351700000001,19.160026502351183
0.02,169.885546,86.150596,49.28903722038837,84.007548,50.55050298393249,81.86487,51.81175095378626,79.974604,52.92442124534833,78.084671,54.03689552258908,76.195097,55.14915848108702,74.557777,56.112936765085365,72.920768,57.076531984657485,137.737045,18.923623437629008,137.55438,19.031145828027064,137.388534,19.128768023619863,137.705051,18.942456116896494,137.527358,19.047051831001568,137.572044,19.020748239523567,137.491246,19.068308495179462,137.671306,18.96231949008777
0.04,146.548434,74.353069,49.26382563733161,72.505394,50.52462041320756,70.658088,51.78516339519533,69.028444,52.89718073684773,67.399134,54.00897016750107,65.770183,55.12051462794887,64.358737,56.08364057987818,62.947601,57.046554997646716,119.905289,18.18043651015745,119.234165,18.63839022667413,118.658686,19.031078830907184,119.779511,18.266263425237277,119.15805,18.690328686828536,119.305119,18.589973469112596,119.016467,18.786940432266906,119.662944,18.34580504626886
0.06,113.928714,57.861799,49.21227760018427,56.427013,50.47164931572913,54.992597,51.73069626679012,53.727266,52.8413302374325,52.46227,53.95167016455571,51.197632,55.06169586009722,50.101925,56.02344374746475,49.006528,56.984919534859316,94.773189,16.813605918521997,93.464267,17.962501534073308,92.450238,18.852557222755976,94.502492,17.051208003629352,93.388859,18.028690291369394,93.621808,17.824221205551392,93.085698,18.29478738783974,94.297637,17.231017809961415
0.08,79.094726,40.249605,49.11215066349682,39.255772,50.36866048439184,38.262309,51.6247025117705,37.386055,52.73255640331822,36.510135,53.839988016394415,35.634574,54.94696574332908,34.876067,55.90595130198693,34.117869,56.8645461898433,67.573782,14.566007852407253,65.674005,16.96790883376978,64.417192,18.55690605717503,67.133405,15.122779488483213,65.705332,16.928301894616837,65.939871,16.631772641832022,65.217069,17.545616126162443,66.876633,15.447418074373248
0.1,48.324319,24.690981,48.905682457729,24.086686,50.156181197297364,23.482762,51.40591220747467,22.950219,52.5079308411982,22.418009,53.60926038088607,21.886159,54.70984495404891,21.425533,55.66304203893696,20.965218,56.61559555552144,43.063786,10.885891635637952,40.787872,15.595557590785711,39.602281,18.04896205573017,42.471267,12.11202169243193,41.024,15.106925769610951,41.159756,14.825998893021133,40.38109,16.437332515746373,42.214816,12.642708943296238
0.12,25.425472,13.112849,48.426330099201294,12.798434,49.66294431033571,12.484389,50.89810328791536,12.207622,51.986645518321154,11.931189,53.073874105464,11.655114,54.159694655816025,11.416161,55.09951201692539,11.177519,56.03810619523601,24.281017,4.501214372736132,21.930472,13.746057496985689,21.091746,17.04482024955131,23.599152,7.183032826293251,22.389968,11.938830476775415,22.374639,11.999120409642742,21.68508,14.711199855011541,23.37921,8.0480787141336
0.14,11.226387,5.93559,47.128225670467266,5.800871,48.32824665673828,5.666522,49.524971836442134,5.548309,50.577964219476854,5.430431,51.627972561430504,5.312912,52.67478308025548,5.211373,53.57925038572071,5.110145,54.48094743215248,12.101193,7.792409080499358,9.965306,11.233186598680419,9.591807,14.560160806856215,11.419655,1.7215511989743428,10.556316,5.9687146006992275,10.421593,7.168771217311509,9.926379,11.579932172300849,11.239054,0.11283238320573352
0.16,4.205786,2.390352,43.16515390940005,2.344395,44.25786285845261,2.298807,45.34179817993592,2.258914,46.29032480492351,2.219354,47.23093376600711,2.180154,48.16298309043779,2.146492,48.96335667102416,2.11314,49.7563594533816,5.607919,33.33819171969283,3.883843,7.654764174877172,3.91209,6.983141795612038,5.008437,19.084446997541008,4.436631,5.488748119852042,4.283474,1.8471695897033327,4.018987,4.441476575365455,4.842968,15.150128893861936
0.18,1.751964,1.155063,34.070391857366936,1.140034,34.92822911886317,1.125374,35.7650043037414,1.11277,36.48442547906235,1.100499,37.184839414508524,1.0885879999999999,37.86470498252248,1.078577,38.43612083353312,1.068875,38.989899335831105,2.951597,68.4736101883372,1.708128,2.5021062076618006,1.959296,11.834261434595678,2.474008,41.213403928391216,2.053818,17.229463619115464,1.996588,13.962843985378692,1.933499,10.361799671682752,2.294926,30.99161854923958
