q_inverse_angstroms,debye,propo{e=0.380}_Lg3Endorepellin,propo{e=0.380}_Lg3Endorepellin_relDiffDebye,propo{e=0.390}_Lg3Endorepellin,propo{e=0.390}_Lg3Endorepellin_relDiffDebye,propo{e=0.400}_Lg3Endorepellin,propo{e=0.400}_Lg3Endorepellin_relDiffDebye,propo{e=0.410}_Lg3Endorepellin,propo{e=0.410}_Lg3Endorepellin_relDiffDebye,propo{e=0.420}_Lg3Endorepellin,propo{e=0.420}_Lg3Endorepellin_relDiffDebye,propo{e=0.430}_Lg3Endorepellin,propo{e=0.430}_Lg3Endorepellin_relDiffDebye,propo{e=0.440}_Lg3Endorepellin,propo{e=0.440}_Lg3Endorepellin_relDiffDebye,propo{e=0.450}_Lg3Endorepellin,propo{e=0.450}_Lg3Endorepellin_relDiffDebye,strat{s=0.15}_Lg3Endorepellin,strat{s=0.15}_Lg3Endorepellin_relDiffDebye,strat{s=0.20}_Lg3Endorepellin,strat{s=0.20}_Lg3Endorepellin_relDiffDebye,strat{s=0.25}_Lg3Endorepellin,strat{s=0.25}_Lg3Endorepellin_relDiffDebye,strat{s=0.30}_Lg3Endorepellin,strat{s=0.30}_Lg3Endorepellin_relDiffDebye,strat{s=0.35}_Lg3Endorepellin,strat{s=0.35}_Lg3Endorepellin_relDiffDebye,strat{s=0.40}_Lg3Endorepellin,strat{s=0.40}_Lg3Endorepellin_relDiffDebye,strat{s=0.45}_Lg3Endorepellin,strat{s=0.45}_Lg3Endorepellin_relDiffDebye,strat{s=0.50}_Lg3Endorepellin,strat{s=0.50}_Lg3Endorepellin_relDiffDebye
0,182.928156,134.505697,26.4707522662613,130.938025,28.421065481029608,127.625674,30.231804228103627,124.568569,31.90300950718598,121.766631,33.43472450463011,118.965111,34.966210997064884,116.16404,36.49745203794652,113.618029,37.88926129009905,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795
0.02,176.842584,130.068929,26.44931664196899,126.619571,28.399841183048984,123.417083,30.210766994899817,120.46139,31.88213648812098,117.752412,33.413994900685225,115.043853,34.94561637936708,112.335743,36.476983959926756,109.874242,37.86890040014344,139.992177,20.837971356491824,139.906243,20.886564855894665,139.905873,20.886774081518723,139.949021,20.862374980903923,139.878046,20.902509544872956,139.883826,20.899241101340156,139.797516,20.94804721921502,139.857818,20.91394796628847
0.04,159.651069,117.531143,26.38248917706903,114.416126,28.333629886311627,111.524098,30.145097869654734,108.854982,31.816941357279603,106.408701,33.34920857936755,103.962838,34.88121398047138,101.517425,36.41293751687939,99.294739,37.80515243527746,128.049772,19.793977702711164,127.719211,20.001029870961908,127.718256,20.001628050483024,127.892363,19.892573346940758,127.631264,20.056116880745726,127.651063,20.04371546049592,127.330689,20.244386838399432,127.542962,20.111426250456237
0.06,134.274679,99.01162,26.261882927309028,96.390457,28.21397323913915,93.957007,30.026265786120398,91.711195,31.698816423906695,89.652942,33.231683987120164,87.595107,34.764240248155794,85.537721,36.29646212000998,83.667789,37.689079115206816,110.194308,17.933664916823215,109.500097,18.450673041638773,109.499186,18.451351501648347,109.89221,18.158650001315575,109.381479,18.53901285438932,109.414333,18.514545099005595,108.779514,18.98732150385553,109.161591,18.702772694768456
0.08,104.755501,77.445471,26.0702585919569,75.399405,28.02344098378184,73.499974,29.83664504644964,71.747102,31.50994332984957,70.140711,33.043410293078544,68.534739,34.57647727731262,66.929216,36.10911564443761,65.470067,37.50202483399893,88.997176,15.042957028099174,87.885058,16.10458910410824,87.884415,16.105202914355772,88.572569,15.448288486539713,87.82688,16.16012604435923,87.859138,16.12933243477113,86.919662,17.026159800428996,87.403576,16.564213654039985
0.1,75.294293,55.887694,25.774329270878464,54.416502,27.728251595376552,53.050883,29.54196010579447,51.79076,31.215557067519047,50.636056,32.74914474593711,49.481771,34.28217594127618,48.327934,35.81461213800095,47.279409,37.20718116046325,67.209471,10.737629211818223,65.708193,12.731509412008164,65.705339,12.735299871930536,66.731171,11.372869919902154,65.828043,12.572334001462771,65.834046,12.56436128565547,64.685925,14.089205937560234,65.143824,13.481060244499544
0.12,49.351184,36.861639,25.307488063508277,35.897809,27.260490852661206,35.00331,29.073008663784037,34.178069,30.745189416326873,33.422006,32.277195213796695,32.666362,33.808351994148715,31.911166,35.33860099486164,31.225043,36.728887801354475,47.216962,4.32456088591512,45.441508,7.922152384429124,45.429609,7.946263254798515,46.777778,5.214476718532235,45.827588,7.139840859745138,45.775579,7.245226375926468,44.571322,9.685404913486982,44.86728,9.085707042003293
0.14,29.054571,21.928923,24.525049776160863,21.363299,26.471814021965763,20.838563,28.277849980989217,20.354641,29.943412346374,19.911454,31.468773020259018,19.468686,32.99269158026804,19.026366,34.515068214223504,18.624675,35.89760798739723,30.653102,5.50182275966147,28.786537,0.9225192139302285,28.755085,1.030770683208498,30.337623,4.4160073814202985,29.448697,1.3565025620237174,29.311253,0.8834479091086955,28.213599,2.8944567792792424,28.258468,2.7400266897762786
0.16,15.039154,11.568731,23.075919031083796,11.279379,24.999910234312377,11.011181,26.783241929698963,10.764064,28.426399516887724,10.537947,29.929921590004327,10.312249,31.430657602149697,10.087001,32.92840142470779,9.882647,34.28721456007432,18.247085,21.330528299663655,16.501247,9.721909889346165,16.439579,9.311860228308046,18.100849,20.358159774146873,17.352911,15.384888006333327,17.118801,13.8282179968368,16.253065,8.071670786800905,16.039271,6.650088163203857
0.18,6.684076,5.346517,20.011127940496184,5.22309,21.857710774084556,5.108966,23.56511206634994,5.004071,25.134438926188157,4.908325,26.566888228081197,4.812997,27.99308386080589,4.718118,29.4125620355005,4.632283,30.69673355000751,9.904843,48.18567293370092,8.469032,26.704603598163757,8.371425,25.244312003633713,9.9161,48.354088134246226,9.349205,39.87281114098642,9.031915,35.125857336152364,8.452931,26.463717647734697,8.056036,20.52579892867766
