q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.15}_TeicoplaninUbiquitin,strat{s=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.20}_TeicoplaninUbiquitin,strat{s=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.25}_TeicoplaninUbiquitin,strat{s=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.30}_TeicoplaninUbiquitin,strat{s=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.35}_TeicoplaninUbiquitin,strat{s=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.40}_TeicoplaninUbiquitin,strat{s=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.45}_TeicoplaninUbiquitin,strat{s=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.50}_TeicoplaninUbiquitin,strat{s=0.50}_TeicoplaninUbiquitin_relDiffDebye
0,175.982653,166.667471,5.293238760299854,162.503034,7.659629384039338,158.339279,10.025632469582098,154.63878,12.12839597320993,150.938906,14.230804328197049,147.239704,16.3328308273657,144.003495,18.171767191167422,140.767879,20.01036658993884,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985,144.19351700000001,18.063789503161985
0.02,170.769539,161.760272,5.275687369513847,157.7192,7.642076611801363,153.67881,10.008066485440363,150.087969,12.11080741981743,146.497753,14.213182363864096,142.908209,16.315163795107516,139.767951,18.154050295820028,136.628286,19.992589544907073,140.369701,17.8016748057158,140.227331,17.88504447505712,140.195107,17.903914350907748,140.067973,17.978362054370837,140.035939,17.997120669161024,139.854984,18.103085117539614,139.982154,18.028616333033494,140.075422,17.974000035217056
0.04,156.103692,147.952524,5.221636910419765,144.258575,7.587980045981224,140.565307,9.95388693305217,137.283019,12.056520098192168,134.001356,14.158752888432652,130.720365,16.26055519558116,127.850091,18.09925225855644,124.98041,19.937569445827066,129.550579,17.009919919126574,129.049157,17.331130771718062,128.909876,17.42035415792728,128.443796,17.718924931000355,128.32835,17.792879620041273,127.653544,18.22516023515959,128.144847,17.910431612341366,128.468417,17.70315272235842
0.06,134.615868,127.714213,5.126925304229369,124.529048,7.493039379280312,121.344565,9.85864682757905,118.51453,11.960950992790844,115.685119,14.062791616809992,112.856381,16.16413229976722,110.381828,18.00236507036452,107.907868,19.840157328257924,113.513587,15.675923881425332,112.612548,16.345264735060805,112.263517,16.60454397545467,111.361874,17.274333513193262,111.141459,17.43806978238257,109.794451,18.438700703545596,110.830729,17.668896953515166,111.397445,17.24790943664977
0.08,109.835578,104.360437,4.984851993950443,101.762378,7.350259494241475,99.165001,9.715046066402996,96.856837,11.816518141325755,94.549299,13.917420273419962,92.242433,16.0177105819027,90.224518,17.854924931518998,88.207196,19.69159938321625,94.686535,13.792473509812996,93.55697,14.8208880004255,92.861092,15.454451380043722,91.581307,16.61963394047055,91.261974,16.9103712460092,89.250005,18.74217204920613,90.911245,17.229693096348075,91.595351,16.606847555352243
0.1,85.246607,81.165784,4.787079678138973,79.150831,7.1507549854740855,77.13656,9.513630260967448,75.346713,11.613241099437545,73.557491,13.712118770897238,71.768941,15.810208141187369,70.204553,17.64534041806496,68.640758,19.479777066083102,75.542751,11.383275348425306,74.515947,12.587785458722129,73.314649,13.996988759916269,71.859495,15.703982212453338,71.454947,16.178544208803515,68.973958,19.088911069504505,71.199861,16.477777232822884,71.787849,15.788027786255473
0.12,63.487829,60.614453,4.52586904491568,59.116153,6.885848939644795,57.618535,9.24475461273057,56.287936,11.34058781565833,54.957962,13.435436577930545,53.628660000000004,15.529226869609914,52.466113,17.36036051886417,51.304159,19.190560130824444,58.064885,8.54170647416531,57.514966,9.407886667537484,55.665075,12.321659321505539,54.32626,14.43043358751486,53.833638,15.206364986901658,51.222359,19.319403723822408,53.799302,15.26044779385983,54.078829,14.820163404863
0.14,45.941542,44.013104,4.197590929795085,42.932157,6.550465807177308,41.851891,8.90185836600782,40.892271,10.990643283153181,39.933277,13.078065599104189,38.974955,15.164025186616497,38.137016,16.98794959907962,37.299669,18.81058541744201,43.432296,5.461823636655464,43.640179,5.009329029487071,41.068455,10.607147230713323,40.138366,12.631652633688265,39.526739,13.962968417559862,37.183966,19.06243373372187,39.77636,13.419623572931014,39.619682,13.760661320423248
0.16,32.77505,31.528275,3.8040369122243884,30.761192,6.144484905438738,29.994791,8.482852047517856,29.314162,10.559520122776322,28.634158,12.634281259677715,27.954827,14.706989005356204,27.361004,16.518803174976085,26.767775,18.328804990381403,31.989342,2.397274756255138,33.041375,0.812584572716142,29.797063,9.086140219465717,29.47765,10.06070166178236,28.69884,12.436929920778152,26.986601,17.661144681701476,29.213634,10.86624124143213,28.618878,12.680902088631449
0.18,23.322894,22.543224,3.3429384878223214,22.002022,5.663413811339199,21.461502,7.980964969441623,20.981657,10.038364021205957,20.502436,12.093087590245027,20.023888,14.14492558256279,19.605751,15.937743403541601,19.188207,17.728018658404928,23.445655,0.526354062236003,25.204473,8.067519408183214,21.483318,7.887425977239364,21.824438,6.424828754098873,20.842193,10.636334410300881,20.001577,14.240586952888437,21.537894,7.653424141961114,20.615692,11.607487475610883
0.2,16.593902,16.132347,2.781473579872899,15.752313,5.0716763302567465,15.37296,7.357775163430512,15.036374,9.386146790549924,14.700413,11.410751973827498,14.365125,13.431301450376163,14.07234,15.195714666749263,13.780148,16.956554281205225,17.188538,3.583460960538403,19.343485,16.56983993276567,15.463309,6.813304067964239,16.35301,1.451689903917709,15.174846,8.551671571882245,15.277155,7.935125807058517,15.941186,3.933469053872922,14.86133,10.441016223911648
