q_inverse_angstroms,debye,propo{e=0.380}_Elf2Nucleosome,propo{e=0.380}_Elf2Nucleosome_relDiffDebye,propo{e=0.390}_Elf2Nucleosome,propo{e=0.390}_Elf2Nucleosome_relDiffDebye,propo{e=0.400}_Elf2Nucleosome,propo{e=0.400}_Elf2Nucleosome_relDiffDebye,propo{e=0.410}_Elf2Nucleosome,propo{e=0.410}_Elf2Nucleosome_relDiffDebye,propo{e=0.420}_Elf2Nucleosome,propo{e=0.420}_Elf2Nucleosome_relDiffDebye,propo{e=0.430}_Elf2Nucleosome,propo{e=0.430}_Elf2Nucleosome_relDiffDebye,propo{e=0.440}_Elf2Nucleosome,propo{e=0.440}_Elf2Nucleosome_relDiffDebye,propo{e=0.450}_Elf2Nucleosome,propo{e=0.450}_Elf2Nucleosome_relDiffDebye,strat{s=0.15}_Elf2Nucleosome,strat{s=0.15}_Elf2Nucleosome_relDiffDebye,strat{s=0.20}_Elf2Nucleosome,strat{s=0.20}_Elf2Nucleosome_relDiffDebye,strat{s=0.25}_Elf2Nucleosome,strat{s=0.25}_Elf2Nucleosome_relDiffDebye,strat{s=0.30}_Elf2Nucleosome,strat{s=0.30}_Elf2Nucleosome_relDiffDebye,strat{s=0.35}_Elf2Nucleosome,strat{s=0.35}_Elf2Nucleosome_relDiffDebye,strat{s=0.40}_Elf2Nucleosome,strat{s=0.40}_Elf2Nucleosome_relDiffDebye,strat{s=0.45}_Elf2Nucleosome,strat{s=0.45}_Elf2Nucleosome_relDiffDebye,strat{s=0.50}_Elf2Nucleosome,strat{s=0.50}_Elf2Nucleosome_relDiffDebye
0,187.04931,48.582616,74.02684030216416,47.344808,74.68859521588185,46.140638,75.33236663636984,45.036989,75.92239768219406,43.966953,76.49445860024825,42.963957,77.0306787017819,41.994555,77.54893883329483,41.058742,78.04924166787892,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887,144.19351700000001,22.911494835238887
0.02,148.751807,38.727313,73.96514786539701,37.742029,74.6275156173397,36.78356,75.27185669751226,35.905135,75.86238733893163,35.053499,76.43490878736014,34.255254,76.97153756256554,33.483777,77.49017126225566,32.739064,77.99081257547346,115.981413,22.03024935354231,115.864266,22.109002682569102,115.915939,22.074264953299032,115.779324,22.166105854431745,116.390678,21.755116561373953,115.968458,22.038958491442067,116.434354,21.72575490124971,116.078025,21.965300898832115
0.04,75.455296,19.811587,73.74394104822014,19.310986,74.40738155741911,18.8241,75.05264574139369,18.37796,75.64390973961589,17.945509,76.21703187010228,17.540249,76.75411809397713,17.148659,77.27308763058859,16.770733,77.77394843166476,60.980424,19.183374484409953,60.668622,19.59660194030649,60.908377,19.278857510545055,60.64571,19.626966939471025,61.790565,18.109704320820637,61.117606,19.001568822949157,61.941042,17.910278955104754,61.23031,18.852203561695656
0.06,25.963338,6.957428,73.20287553164388,6.786193,73.86240166807518,6.619771,74.50339012649299,6.467389,75.0903023332362,6.319795,75.65877315158784,6.181589,76.1910852911132,6.04815,76.70503692552938,5.919473,77.20064731276078,22.301242,14.104873572111574,22.059274,15.036833861655237,22.270936,14.221599703397155,22.170025,14.610266984930833,22.86089,11.949341798808764,22.628167,12.845694186163579,23.024964,11.317396861682422,22.59798,12.961961978848793
0.08,7.643426,2.146222,71.92068059532465,2.098266,72.54809557912904,2.05179,73.15614751814172,2.00936,73.7112650792982,1.968386,74.24733359098394,1.930135,74.74777671688062,1.89332,75.22943245607402,1.857936,75.69236622425598,6.914478,9.536927550551283,6.936667,9.246625793197971,6.820337,10.768587280101876,6.871195,10.103205028739726,7.098792,7.125521984513219,7.118284,6.870505451351264,7.149596,6.460846222623205,7.154131,6.401514190102714
0.1,3.004342,0.912302,69.63388322634374,0.895963,70.17772943293407,0.88025,70.70073913023218,0.866019,71.17442022246469,0.852389,71.62809693437032,0.839774,72.04798921028299,0.82774,72.44854280904104,0.816282,72.82992415643758,2.582176,14.051862271339278,2.746863,8.570229354713945,2.505481,16.604667511222086,2.517466,16.20574488523609,2.589614,13.804287261570082,2.607145,13.220765145912145,2.575283,14.281296869663962,2.755292,8.289668752758509
0.12,1.957751,0.639039,67.35851494904102,0.629702,67.83543974693411,0.620802,68.29004301364168,0.612816,68.69796005722894,0.605241,69.08488362411768,0.598303,69.43926985607465,0.591757,69.773633112689,0.585598,70.08822878905437,1.651864,15.624407802626585,1.807723,7.663283022202519,1.631779,16.65032989384247,1.624452,17.024585864085886,1.603482,18.09571288687887,1.616665,17.422338182945634,1.579396,19.32600213203824,1.760313,10.084939300248092
0.14,1.485339,0.521293,64.904106066022635,0.514973,65.32959815907346,0.509008,65.7311899842393,0.503713,66.08767426156588,0.498748,66.42194138846418,0.494256,66.72436393308195,0.490075,67.0058484965385,0.486199,67.26679902702347,1.454486,2.0771689156482136,1.490876,0.37277685430734164,1.350279,9.092873748013078,1.341162,9.706673022118183,1.37213,7.621761766169198,1.306096,12.067480891567516,1.328915,10.531198601800659,1.444945,2.7195138618187524
0.16,1.10948,0.423682,61.81256083931211,0.419863,62.15677614738436,0.416332,62.47503334895627,0.413267,62.75128889209359,0.410465,63.0038396365865,0.408002,63.225835526552984,0.405781,63.42601939647403,0.403797,63.60484190792083,1.195865,7.7860799653891855,1.165636,5.061470238309827,1.036566,6.571907560298511,0.994114,10.39820456430039,1.109431,0.004416483397624629,0.996178,10.212171467714606,1.057506,4.684536900169445,1.117639,0.7353895518621361
0.18,0.870854,0.361279,58.514400806564595,0.359059,58.76932298640185,0.357084,58.99611186260844,0.355445,59.1843179224072,0.354026,59.34726142384372,0.352859,59.481267812974394,0.351891,59.59242306976831,0.351118,59.68118651346839,0.900442,3.39758444010132,0.949491,9.02987182696525,0.829823,4.711581964370611,0.792925,8.948572320963104,0.873437,0.2966054011349781,0.81713,6.169116752061768,0.840275,3.511380782542197,0.873341,0.28558173930417924
