q_inverse_angstroms,debye,propo{e=0.380}_Lg3Endorepellin,propo{e=0.380}_Lg3Endorepellin_relDiffDebye,propo{e=0.390}_Lg3Endorepellin,propo{e=0.390}_Lg3Endorepellin_relDiffDebye,propo{e=0.400}_Lg3Endorepellin,propo{e=0.400}_Lg3Endorepellin_relDiffDebye,propo{e=0.410}_Lg3Endorepellin,propo{e=0.410}_Lg3Endorepellin_relDiffDebye,propo{e=0.420}_Lg3Endorepellin,propo{e=0.420}_Lg3Endorepellin_relDiffDebye,propo{e=0.430}_Lg3Endorepellin,propo{e=0.430}_Lg3Endorepellin_relDiffDebye,propo{e=0.440}_Lg3Endorepellin,propo{e=0.440}_Lg3Endorepellin_relDiffDebye,propo{e=0.450}_Lg3Endorepellin,propo{e=0.450}_Lg3Endorepellin_relDiffDebye,strat{s=0.15}_Lg3Endorepellin,strat{s=0.15}_Lg3Endorepellin_relDiffDebye,strat{s=0.20}_Lg3Endorepellin,strat{s=0.20}_Lg3Endorepellin_relDiffDebye,strat{s=0.25}_Lg3Endorepellin,strat{s=0.25}_Lg3Endorepellin_relDiffDebye,strat{s=0.30}_Lg3Endorepellin,strat{s=0.30}_Lg3Endorepellin_relDiffDebye,strat{s=0.35}_Lg3Endorepellin,strat{s=0.35}_Lg3Endorepellin_relDiffDebye,strat{s=0.40}_Lg3Endorepellin,strat{s=0.40}_Lg3Endorepellin_relDiffDebye,strat{s=0.45}_Lg3Endorepellin,strat{s=0.45}_Lg3Endorepellin_relDiffDebye,strat{s=0.50}_Lg3Endorepellin,strat{s=0.50}_Lg3Endorepellin_relDiffDebye
0,182.928156,134.505697,26.4707522662613,130.938025,28.421065481029608,127.625674,30.231804228103627,124.568569,31.90300950718598,121.766631,33.43472450463011,118.965111,34.966210997064884,116.16404,36.49745203794652,113.618029,37.88926129009905,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795,144.19351700000001,21.174782410204795
0.02,176.842584,130.068929,26.44931664196899,126.619571,28.399841183048984,123.417083,30.210766994899817,120.46139,31.88213648812098,117.752412,33.413994900685225,115.043853,34.94561637936708,112.335743,36.476983959926756,109.874242,37.86890040014344,140.100112,20.776936849101908,139.828228,20.930680361467687,139.810146,20.94090527426357,139.874472,20.904530551306575,140.036662,20.812816216257044,140.010356,20.827691592653945,139.838613,20.924807907127153,139.837492,20.925441804220636
0.04,159.651069,117.531143,26.38248917706903,114.416126,28.333629886311627,111.524098,30.145097869654734,108.854982,31.816941357279603,106.408701,33.34920857936755,103.962838,34.88121398047138,101.517425,36.41293751687939,99.294739,37.80515243527746,128.446446,19.54551459971746,127.439067,20.176502545059698,127.370566,20.219409241788423,127.617372,20.064818357088484,128.208408,19.694613507410974,128.104752,19.75954010054265,127.480902,20.150298523838888,127.480352,20.150643025133775
0.06,134.274679,99.01162,26.261882927309028,96.390457,28.21397323913915,93.957007,30.026265786120398,91.711195,31.698816423906695,89.652942,33.231683987120164,87.595107,34.764240248155794,85.537721,36.29646212000998,83.667789,37.689079115206816,110.967427,17.35789068615088,108.975229,18.84156431310478,108.83561,18.94554445369405,109.351285,18.561499595914125,110.486888,17.715768287183913,110.26118,17.883862526306988,109.069329,18.771484085990625,109.08037,18.76326138899203
0.08,104.755501,77.445471,26.0702585919569,75.399405,28.02344098378184,73.499974,29.83664504644964,71.747102,31.50994332984957,70.140711,33.043410293078544,68.534739,34.57647727731262,66.929216,36.10911564443761,65.470067,37.50202483399893,90.115009,13.975869391336303,87.168244,16.788862477016835,86.955785,16.991676647129005,87.774649,16.20998595577334,89.383607,14.674068524573233,89.005803,15.034721661061024,87.331908,16.632628199639843,87.374246,16.592212183682836
0.1,75.294293,55.887694,25.774329270878464,54.416502,27.728251595376552,53.050883,29.54196010579447,51.79076,31.215557067519047,50.636056,32.74914474593711,49.481771,34.28217594127618,48.327934,35.81461213800095,47.279409,37.20718116046325,68.533948,8.9785622928951625,64.921237,13.776682915397043,64.657581,14.126850224890223,65.747465,12.679351408479247,67.603831,10.213871056601857,67.069025,10.92415862115871,65.162375,13.456422255004108,65.257608,13.329941221441565
0.12,49.351184,36.861639,25.307488063508277,35.897809,27.260490852661206,35.00331,29.073008663784037,34.178069,30.745189416326873,33.422006,32.277195213796695,32.666362,33.808351994148715,31.911166,35.33860099486164,31.225043,36.728887801354475,48.549495,1.624457480088022,44.722798,9.378470028196295,44.450997,9.929218719453626,45.711981,7.374094611387645,47.518826,3.712895723028664,46.855443,5.057104607662508,45.033458,8.7489815847174,45.195486,8.420665246856085
0.14,29.054571,21.928923,24.525049776160863,21.363299,26.471814021965763,20.838563,28.277849980989217,20.354641,29.943412346374,19.911454,31.468773020259018,19.468686,32.99269158026804,19.026366,34.515068214223504,18.624675,35.89760798739723,31.795224,9.43277737606245,28.237396,2.8125522830813745,28.011687,3.5893973447413865,29.29333,0.821760541568491,30.782481,5.947119301813134,30.052879,3.4359757024118567,28.589784,1.5997035371818007,28.817401,0.8162915225972499
0.16,15.039154,11.568731,23.075919031083796,11.279379,24.999910234312377,11.011181,26.783241929698963,10.764064,28.426399516887724,10.537947,29.929921590004327,10.312249,31.430657602149697,10.087001,32.92840142470779,9.882647,34.28721456007432,19.054171,26.69709346682666,16.154244,7.4145793041284005,16.023356,6.544264391467763,17.159294,14.09746851451883,18.16877,20.809787571827503,17.459192,16.09158334305242,16.501979,9.726777184408105,16.777512,11.55888157006705
0.18,6.684076,5.346517,20.011127940496184,5.22309,21.857710774084556,5.108966,23.56511206634994,5.004071,25.134438926188157,4.908325,26.566888228081197,4.812997,27.99308386080589,4.718118,29.4125620355005,4.632283,30.69673355000751,10.315942,54.336096717033136,8.289107,24.012758083540632,8.278785,23.858331353503445,9.129514,36.58602924323422,9.633667,44.12862750214092,9.034904,35.17057555898525,8.57469,28.285345648373838,8.869373,32.694077685531994
