q_inverse_angstroms,debye,propo{e=0.380}_MtCorB,propo{e=0.380}_MtCorB_relDiffDebye,propo{e=0.390}_MtCorB,propo{e=0.390}_MtCorB_relDiffDebye,propo{e=0.400}_MtCorB,propo{e=0.400}_MtCorB_relDiffDebye,propo{e=0.410}_MtCorB,propo{e=0.410}_MtCorB_relDiffDebye,propo{e=0.420}_MtCorB,propo{e=0.420}_MtCorB_relDiffDebye,propo{e=0.430}_MtCorB,propo{e=0.430}_MtCorB_relDiffDebye,propo{e=0.440}_MtCorB,propo{e=0.440}_MtCorB_relDiffDebye,propo{e=0.450}_MtCorB,propo{e=0.450}_MtCorB_relDiffDebye,strat{s=0.15}_MtCorB,strat{s=0.15}_MtCorB_relDiffDebye,strat{s=0.20}_MtCorB,strat{s=0.20}_MtCorB_relDiffDebye,strat{s=0.25}_MtCorB,strat{s=0.25}_MtCorB_relDiffDebye,strat{s=0.30}_MtCorB,strat{s=0.30}_MtCorB_relDiffDebye,strat{s=0.35}_MtCorB,strat{s=0.35}_MtCorB_relDiffDebye,strat{s=0.40}_MtCorB,strat{s=0.40}_MtCorB_relDiffDebye,strat{s=0.45}_MtCorB,strat{s=0.45}_MtCorB_relDiffDebye,strat{s=0.50}_MtCorB,strat{s=0.50}_MtCorB_relDiffDebye
0,58.691094,7.518571,87.18958791260562,7.330506,87.51001983367357,7.148236,87.82057802500665,6.977449,88.1115710673241,6.818135,88.38301599898615,6.658911,88.6543075854064,6.516828,88.89639371861088,6.374827,89.13834013726171,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301,3.999908,93.18481267362301
0.02,50.630395,6.493828,87.17405226643008,6.331896,87.49388386166058,6.174967,87.80383404079703,6.027938,88.0942307481504,5.890798,88.36509570980041,5.753747,88.6357848877142,5.631462,88.87730976619875,5.509259,89.11867268663418,3.440971,93.20374450959746,3.458898,93.16833692488476,3.4477,93.19045407407943,3.452218,93.18153058059295,3.452057,93.18184857139669,3.450807,93.18431744409658,3.45498,93.17607535947528,3.448052,93.18975883952714
0.04,33.273713,4.289402,87.10873655729374,4.183689,87.42644381166598,4.081274,87.73423933782202,3.985352,88.02252096121644,3.895912,88.29132174097913,3.806562,88.55985203695181,3.726866,88.79936843838257,3.647252,89.03863839902688,2.244322,93.25496977148298,2.288528,93.12211414458014,2.263186,93.19827636909652,2.272112,93.17145038787827,2.27118,93.1742513977926,2.271537,93.1731784787589,2.282067,93.14153187532752,2.263208,93.19821025083675
0.06,18.371556000000002,2.401222,86.92967541780348,2.343662,87.24298584180895,2.287941,87.5462862263817,2.235795,87.83012718138845,2.187211,88.09457946839125,2.138718,88.35853642445963,2.095502,88.59376962952948,2.052368,88.82855649243862,1.231377,93.29737230749535,1.276099,93.05394164762093,1.255302,93.16714381732282,1.259684,93.14329172771212,1.25616,93.16247355422698,1.264503,93.11706096097684,1.275405,93.05771922639542,1.253145,93.17888479342741
0.08,10.204892,1.370155,86.57354727516959,1.338889,86.87992974349949,1.308666,87.17609162350762,1.280424,87.45284124515968,1.254152,87.71028639989527,1.227969,87.966859423892,1.204673,88.19514209459541,1.181459,88.42262122911247,0.688837,93.24993346328408,0.719228,92.95212531401606,0.710242,93.0401811209761,0.708005,93.06210198010915,0.700217,93.13841831937074,0.715285,92.99076364551433,0.721309,92.93173313348147,0.705412,93.08751136219765
0.1,6.078567,0.848163,86.04666198464211,0.830209,86.34202765224106,0.812895,86.62686452250999,0.796755,86.89238763017664,0.781777,87.13879439019098,0.766889,87.38372053808077,0.753678,87.60105794671672,0.740549,87.81704635319475,0.414602,93.17928057714919,0.438766,92.78175267295728,0.433454,92.86914169079652,0.428827,92.94526160524347,0.419102,93.10524997092243,0.434198,92.85690196390036,0.434556,92.8510124178939,0.427057,92.97438031035934
0.12,3.417083,0.507805,85.13922547389105,0.498531,85.41062654901856,0.489634,85.6709948221919,0.481384,85.91242881721047,0.473772,86.13519191661426,0.466249,86.35535045534452,0.459613,86.54955118151943,0.45306,86.74132293538086,0.229927,93.27124919119612,0.252894,92.59912621379112,0.247803,92.74811293726256,0.242453,92.90467922494128,0.236084,93.0910662690956,0.247678,92.75177102809619,0.244121,92.85586566085753,0.24181,92.92349644418938
0.14,1.753373,0.293929,83.23636784643085,0.290109,83.45423363996139,0.286501,83.66000845228025,0.28321,83.84770382571193,0.280225,84.01794712248906,0.27733,84.18305745554426,0.274827,84.32581087994397,0.272405,84.46394463699396,0.113129,93.54792163447253,0.129911,92.59079499912454,0.127477,92.72961315133745,0.122247,93.02789537651145,0.121215,93.08675336052283,0.128884,92.64936781848472,0.124336,92.90875358523257,0.124032,92.92609159602664
0.16,0.958826,0.192218,79.95277558180524,0.190993,80.08053598880298,0.189899,80.19463385431767,0.188967,80.29183605784574,0.188183,80.37360271832429,0.187488,80.44608719413115,0.18695,80.50219747900037,0.186494,80.54975563866645,0.060767,93.66235375344432,0.068997,92.80401240683919,0.068336,92.87295087951307,0.065876,93.12951463560645,0.067081,93.00384011280462,0.071162,92.57821544263506,0.067518,92.95826354312462,0.067832,92.92551516124928
0.18,0.651278,0.153364,76.45183777127433,0.153129,76.48792067289239,0.152996,76.50834205976557,0.152964,76.51325547615612,0.153021,76.50450345321046,0.153168,76.4819324466664,0.15338,76.44938106307906,0.153674,76.40423904999093,0.044666,93.14179198437535,0.047014,92.78127005671925,0.045298,93.04475201066212,0.047005,92.7826519550791,0.047129,92.76361246656573,0.0489,92.49168557820163,0.045929,92.9478655812111,0.046172,92.91055432549541
0.2,0.518358,0.137034,73.56383040292617,0.137215,73.5289124504686,0.137487,73.47643906335003,0.137833,73.40968982826541,0.138243,73.33059391385875,0.138743,73.23413548165554,0.139271,73.13227537724892,0.139881,73.01459608996097,0.040385,92.2090524309454,0.040152,92.25400206035211,0.036151,93.02586243484234,0.041095,92.07208145721683,0.039924,92.29798710543679,0.040486,92.18956782764035,0.03796,92.67687582713106,0.037487,92.76812550399531
0.22,0.396078,0.121959,69.20833775165498,0.122525,69.06543660592106,0.12317,68.90258989390978,0.123866,68.72686693025112,0.124602,68.54104494569252,0.125428,68.33250016410908,0.126247,68.12572271118314,0.127148,67.89824226541236,0.034522,91.28404001232082,0.034343,91.32923313084797,0.028285,92.858729846141415,0.034524,91.28353506127581,0.033095,91.64432258292558,0.03298,91.67335726801286,0.031202,92.12225874701447,0.030398,92.32524906710294
