q_inverse_angstroms,debye,propo{e=0.380}_NeuB,propo{e=0.380}_NeuB_relDiffDebye,propo{e=0.390}_NeuB,propo{e=0.390}_NeuB_relDiffDebye,propo{e=0.400}_NeuB,propo{e=0.400}_NeuB_relDiffDebye,propo{e=0.410}_NeuB,propo{e=0.410}_NeuB_relDiffDebye,propo{e=0.420}_NeuB,propo{e=0.420}_NeuB_relDiffDebye,propo{e=0.430}_NeuB,propo{e=0.430}_NeuB_relDiffDebye,propo{e=0.440}_NeuB,propo{e=0.440}_NeuB_relDiffDebye,propo{e=0.450}_NeuB,propo{e=0.450}_NeuB_relDiffDebye,strat{s=0.15}_NeuB,strat{s=0.15}_NeuB_relDiffDebye,strat{s=0.20}_NeuB,strat{s=0.20}_NeuB_relDiffDebye,strat{s=0.25}_NeuB,strat{s=0.25}_NeuB_relDiffDebye,strat{s=0.30}_NeuB,strat{s=0.30}_NeuB_relDiffDebye,strat{s=0.35}_NeuB,strat{s=0.35}_NeuB_relDiffDebye,strat{s=0.40}_NeuB,strat{s=0.40}_NeuB_relDiffDebye,strat{s=0.45}_NeuB,strat{s=0.45}_NeuB_relDiffDebye,strat{s=0.50}_NeuB,strat{s=0.50}_NeuB_relDiffDebye
0,180.685523,94.299888,47.80993715805334,91.861137,49.15965846361692,89.558233,50.434195549800634,87.391137,51.63357000106754,85.359812,52.75780229498519,83.328826,53.881846970108384,81.433569,54.930772732688716,79.673992,55.90460670166696,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564,144.19351700000001,20.196419388840564
0.02,160.601541,83.827686,47.80393421007088,81.661334,49.15283284859639,79.615694,50.426569070093784,77.690731,51.625164667629186,75.886404,52.748645170222865,74.082417,53.87191396874579,72.399025,54.920093201347306,70.83618,55.89321275566091,128.87233,19.75647979616833,128.360635,20.075091309366698,128.620194,19.91347455377156,127.465298,20.632580978784006,128.900528,19.738922056793957,128.072726,20.254360448509026,127.572856,20.56560901865817,128.502684,19.98664321658035
0.04,117.222525,61.215353,47.7785067332409,59.637183,49.12480941696146,58.147049,50.39601049371697,56.744914,51.59214152740695,55.430739,52.71323578808765,54.116904,53.83404000212417,52.890986,54.8798441255211,51.752939,55.850687399883256,95.433667,18.587603363773304,94.037894,19.778307112903438,94.877862,19.06174858458305,91.956575,21.55383532303199,95.621915,18.427013067667673,93.271162,20.432389594064794,92.003897,21.513465948630614,94.515916,19.370516886579605
0.06,79.471648,41.556379,47.70917673684079,40.489569,49.051554838777214,39.482387,50.31890240907047,38.534795,51.51126726351516,37.646753,52.62869973452672,36.759052,53.74570312169694,35.930859,54.7878269744702,35.162129,55.755127916813805,65.559216,17.506157667700556,63.846604,19.661155132960126,65.47522,17.611850706808056,62.445885,21.423694397277384,66.152218,16.759977092711097,63.252724,20.408440504467706,61.930747,22.07189789244084,64.804274,18.45610902645431
0.08,56.816321,29.788015,47.57137654161029,29.027319,48.910245350099316,28.309244,50.17409874180344,27.633752,51.36300359891307,27.000806,52.477025043560985,26.368199,53.59044982866807,25.778095,54.62906688379208,25.230446,55.59296069169983,46.786861,17.652427724068932,45.367975,20.14974887233547,48.023676,15.475562030846735,46.075413,18.904617213775605,47.934713,15.63214203890463,45.881055,19.246698497074455,45.021355,20.75982005241065,46.95408,17.35811264513238
0.1,40.818208,21.491626,47.347943349203376,20.946732,48.68287211432701,20.43247,49.94275593872225,19.948803,51.12768546821065,19.495691,52.23775869827504,19.042919,53.346998966735626,18.620661,54.38148338114207,18.228869,55.3413295360737,33.274255,18.48183291143012,32.365956,20.707062887229156,35.669565,12.61359391377495,34.396753,15.73183957512295,34.766812,14.825236815883727,33.962911,16.794703481348325,33.425649,18.110934708353682,34.388708,15.751548916601136
0.12,25.650574,13.610229,46.93986575115239,13.270343,48.26492771662731,12.949698,49.51497771550843,12.64826,50.69014829843573,12.365988,51.79059930588687,12.084055,52.889728705486284,11.821248,53.914294471538916,11.577517,54.86449153145656,20.817605,18.841562765807886,20.493741,20.10416219145817,23.302918,9.152450155696323,22.188033,13.498883104916084,22.165238,13.587750511937863,22.065967,13.97476329379607,21.713203,15.350030763444119,22.29655,13.07582434607506
0.14,13.510842,7.290198,46.04186770891111,7.114706,47.340765290571824,6.9493220000000004,48.5648488821052,6.794012,49.71437013326038,6.648734,50.7896399054922,6.503797,51.86238577876938,6.368851,52.86118363311479,6.243849,53.78638133729934,11.034686,18.32717753638152,11.249323,16.738549677362816,12.80206,5.246023896956233,11.97338,11.379468429872835,11.896134,11.951201856997514,11.933153,11.677207090424115,11.881054,12.062815922205289,12.291592,9.024234018871663
0.16,6.415063,3.593268,43.98701930129135,3.513938,45.223640048429765,3.439375,46.38595131489745,3.369543,47.47451427990652,3.304402,48.48995247591489,3.2396,49.50010623434252,3.179447,50.43778993285023,3.123896,51.30373622207608,5.3656180000000004,16.359075507130633,5.848023,8.83919612324929,6.393265,0.3397940129348619,5.946499,7.304121565135054,5.763635,10.154662549689693,5.790978,9.728431349777859,5.998686,6.490614355618951,6.157582,4.013694019840496
0.18,3.047876,1.837998,39.695775024968206,1.804325,40.80057718883577,1.772883,41.8321808367532,1.743635,42.79179992886849,1.716542,43.6807140447971,1.689788,44.55850566099146,1.665146,45.36700311954948,1.64257,46.107715668222724,2.744473,9.954571642678372,3.209282,5.295687882315421,3.248524,6.583207453321598,3.011319,1.1994254359429377,2.808678,7.848022688587069,2.88693,5.280595404799934,3.09608,1.5815604046883842,3.083212,1.1593647510594274
