q_inverse_angstroms,debye,propo{e=0.380}_Gb1v29Sem,propo{e=0.380}_Gb1v29Sem_relDiffDebye,propo{e=0.390}_Gb1v29Sem,propo{e=0.390}_Gb1v29Sem_relDiffDebye,propo{e=0.400}_Gb1v29Sem,propo{e=0.400}_Gb1v29Sem_relDiffDebye,propo{e=0.410}_Gb1v29Sem,propo{e=0.410}_Gb1v29Sem_relDiffDebye,propo{e=0.420}_Gb1v29Sem,propo{e=0.420}_Gb1v29Sem_relDiffDebye,propo{e=0.430}_Gb1v29Sem,propo{e=0.430}_Gb1v29Sem_relDiffDebye,propo{e=0.440}_Gb1v29Sem,propo{e=0.440}_Gb1v29Sem_relDiffDebye,propo{e=0.450}_Gb1v29Sem,propo{e=0.450}_Gb1v29Sem_relDiffDebye,strat{s=0.15}_Gb1v29Sem,strat{s=0.15}_Gb1v29Sem_relDiffDebye,strat{s=0.20}_Gb1v29Sem,strat{s=0.20}_Gb1v29Sem_relDiffDebye,strat{s=0.25}_Gb1v29Sem,strat{s=0.25}_Gb1v29Sem_relDiffDebye,strat{s=0.30}_Gb1v29Sem,strat{s=0.30}_Gb1v29Sem_relDiffDebye,strat{s=0.35}_Gb1v29Sem,strat{s=0.35}_Gb1v29Sem_relDiffDebye,strat{s=0.40}_Gb1v29Sem,strat{s=0.40}_Gb1v29Sem_relDiffDebye,strat{s=0.45}_Gb1v29Sem,strat{s=0.45}_Gb1v29Sem_relDiffDebye,strat{s=0.50}_Gb1v29Sem,strat{s=0.50}_Gb1v29Sem_relDiffDebye
0,72.477529,22.656636,68.73977864228787,22.075831,69.54113736410633,21.534003,70.28871803838676,21.031116,70.98257033569674,20.528477,71.67608045798582,20.064739,72.31591739282392,19.63986,72.90213908920653,19.2152,73.4880586229699,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392,3.999908,94.48117498597392
0.02,69.666234,21.790767,68.72119282348461,21.23255,69.52246622086676,20.711804,70.26995315980479,20.228494,70.96370387984516,19.745431,71.65710005222904,19.299763,72.2968188577554,18.891449,72.88291914846438,18.483353,73.46870651856968,3.852812,94.46961350027905,3.857816,94.46243068055034,3.84793,94.47662119930294,3.849184,94.47482118812395,3.850939,94.47230203372268,3.848822,94.47534080857594,3.847068,94.47785852756157,3.848156,94.47629679537435
0.04,61.885169,19.392837,68.66319133749154,18.897175,69.46412960429986,18.434814,70.21125691682283,18.005717,70.90463306321423,17.576869,71.59760685148974,17.181245,72.23689410947557,16.818804,72.8225610889097,16.456581,73.4078758030054,3.443739,94.43527576049763,3.461695,94.40626073106466,3.426658,94.46287688088886,3.431026,94.45581864695238,3.437475,94.4453977333406,3.429591,94.45813745778088,3.423203,94.46845980173376,3.427165,94.46205762159265
0.06,50.862748,15.992085,68.55835433822806,15.585138,69.35844284308035,15.205578,70.10468643967094,14.853368,70.7971578727913,14.501406,71.48914171920086,14.176754,72.12743204515807,13.879371,72.71210945975629,13.582206,73.29635826990709,2.858592,94.37979245635725,2.892255,94.31360845859135,2.828126,94.43969091091972,2.835895,94.42441647077347,2.848498,94.39963802191734,2.832776,94.43054866009206,2.820525,94.4546350503909,2.828016,94.43990717921888
0.08,38.814404,12.268487,68.39192223587925,11.958678,69.19010272578191,11.669779,69.93441146230147,11.401755,70.62493861814805,11.133978,71.31482941229757,10.887036,71.95104168029992,10.660887,72.53368362940726,10.434957,73.11576135498564,2.209249,94.30817229603731,2.255469,94.18909279142868,2.171035,94.40662543729901,2.1809,94.3812096148636,2.199304,94.33379422752441,2.175791,94.39437225417657,2.158509,94.43889696206594,2.16848,94.41320804513705
0.1,27.74834,8.841076,68.13836070914512,8.620677,68.93263885335122,8.415228,69.67303990076523,8.224693,70.35969358887773,8.034406,71.04545352983277,7.858993,71.67761026425366,7.698411,72.25631875636525,7.538049,72.83423440825649,1.600215,94.23311448540706,1.65183,94.04710335825494,1.564182,94.36297090204316,1.574129,94.32712371262569,1.596447,94.24669367609016,1.567242,94.35194321534189,1.547471,94.42319432441724,1.557047,94.38868415191683
0.12,18.943646,6.107534,67.75945876522397,5.958445,68.54647199382843,5.819551,69.27966770493916,5.690818,69.95922537826141,5.562333,70.63747390549845,5.443968,71.26230082635624,5.33568,71.83393312987373,5.227611,72.40440937293697,1.102387,94.18070312335863,1.151583,93.92100654752524,1.078367,94.30750025628646,1.086948,94.26220274597614,1.110416,94.13831951885079,1.07904,94.30394761388595,1.060065,94.40411312584705,1.065162,94.37720700650762
0.14,12.773465,4.187992,67.2133442257054,4.088978,67.98849803087886,3.996821,68.70997023908546,3.911487,69.37802702712224,3.8264,70.04415011901625,3.748094,70.65718659737198,3.676528,71.21745744009164,3.605181,71.77601379108958,0.742341,94.18841324574029,0.783772,93.86406116116495,0.736033,94.23779687030887,0.743292,94.18096812415425,0.764971,94.01124910116401,0.735384,94.24287771563942,0.720049,94.36293127980544,0.716718,94.38900877717988
0.16,8.874407,2.974495,66.4823238330178,2.9071380000000002,67.24132665991091,2.844527,67.94684985712284,2.786628,68.59927654884433,2.728977,69.24890868764525,2.675996,69.84591759201489,2.627645,70.3907539962952,2.579513,70.9331226300529,0.508113,94.27440053177638,0.540362,93.91100723687791,0.519217,94.14927667843045,0.526762,94.06425691316615,0.544053,93.86941572546763,0.519641,94.144498894405,0.509419,94.2596840555093,0.495491,94.41662975340212
0.18,6.517712,2.243324,65.58111189939045,2.195041,66.32190866979087,2.150232,67.00940452723287,2.108864,67.64410578436114,2.067743,68.27501736805799,2.030023,68.85374806373771,1.995659,69.38098829773394,1.961514,69.90486845690634,0.365676,94.38950355584905,0.390675,94.00594871329079,0.388772,94.03514607580082,0.398954,93.87892561070511,0.409923,93.71063035617406,0.392737,93.97431184440184,0.387442,94.05555200966229,0.363698,94.41985162891517
