q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,186.836133,211.411078,173.147328,-24.574945000000014,13.688805000000002,-38.263750000000016
0.02,182.772539,206.365447,169.420202,-23.592907999999994,13.352337000000006,-36.945245
0.04,171.06382,191.865881,158.677812,-20.80206100000001,12.386008000000004,-33.18806900000001
0.06,153.069864,169.705935,142.159003,-16.636071000000015,10.910860999999983,-27.546931999999998
0.08,130.789167,142.507699,121.685867,-11.71853200000001,9.10329999999999,-20.821832
0.1,106.520472,113.260179,99.357057,-6.739706999999996,7.1634150000000005,-13.903121999999996
0.12,82.49886,84.826504,77.217406,-2.3276440000000065,5.2814539999999965,-7.609098000000003
0.14,60.58076,59.52338,56.9711,1.0573799999999949,3.609659999999998,-2.552280000000003
0.16,42.035025,38.851166,39.790275,3.183858999999998,2.2447499999999962,0.939109000000002
0.18,27.467648,23.41084,26.244336,4.056808,1.223312,2.8334960000000002
0.2,16.874663,12.997402,16.345546,3.8772610000000025,0.529117000000003,3.3481439999999996
0.22,9.790211,6.820946,9.681551,2.969264999999999,0.10865999999999865,2.8606050000000005
0.24,5.481305,3.785626,5.591251,1.6956789999999997,-0.10994599999999988,1.8056249999999996
0.26,3.139653,2.756399,3.33918,0.383254,-0.1995269999999998,0.5827809999999998
0.28,2.0321,2.760497,2.253325,-0.7283970000000002,-0.221225,-0.5071720000000002
0.3,1.589693,3.097605,1.807856,-1.5079120000000001,-0.21816299999999988,-1.2897490000000003
0.32,1.43465,3.360505,1.649592,-1.9258549999999999,-0.21494199999999997,-1.710913
0.34,1.359396,3.388811,1.580595,-2.029415,-0.22119899999999992,-1.808216
0.36,1.279128,3.188169,1.516125,-1.9090409999999998,-0.2369969999999999,-1.6720439999999999
0.38,1.179037,2.845866,1.437083,-1.6668290000000001,-0.2580460000000002,-1.408783
0.4,1.071379,2.464473,1.350882,-1.3930939999999998,-0.27950299999999983,-1.113591
0.42,0.969318,2.12279,1.267289,-1.1534720000000003,-0.2979710000000001,-0.8555010000000001
0.44,0.877024,1.862467,1.189,-0.9854430000000001,-0.31197600000000003,-0.673467
0.46,0.790812,1.692131,1.112351,-0.9013190000000001,-0.32153900000000013,-0.57978
0.48,0.704862,1.59925,1.032325,-0.8943880000000001,-0.32746299999999995,-0.5669250000000001
0.5,0.616332,1.56211,0.947098,-0.9457780000000001,-0.330766,-0.6150120000000001
