q_inverse_angstroms,intensity_debye,intensity_strat,intensity_prop,diff_strat_debye,diff_prop_debye,diff_prop_strat
0,179.352881,209.285903,81.956824,-29.933021999999994,97.396057,-127.329079
0.02,166.616099,193.515852,76.145197,-26.899753000000004,90.470902,-117.370655
0.04,133.936424,153.525287,61.238005,-19.588863000000003,72.69841899999999,-92.28728199999999
0.06,94.174005,105.988814,43.111687,-11.814809000000011,51.06231799999999,-62.877127
0.08,59.508036,65.919411,27.327854,-6.411375,32.180182,-38.591556999999995
0.1,35.557888,39.294515,16.444698,-3.7366269999999986,19.11319,-22.849816999999998
0.12,21.269316,23.873806,9.967018,-2.6044899999999984,11.302298,-13.906787999999999
0.14,12.827998,14.790265,6.141011,-1.9622670000000006,6.686986999999999,-8.649253999999999
0.16,7.312664,8.819777,3.629759,-1.5071130000000004,3.682905,-5.190018
0.18,3.641331,4.889276,1.945871,-1.2479449999999996,1.6954600000000002,-2.943405
0.2,1.576085,2.676693,0.990798,-1.1006080000000003,0.585287,-1.6858950000000004
0.22,0.746652,1.720586,0.602166,-0.973934,0.144486,-1.11842
0.24,0.564602,1.476918,0.512792,-0.9123159999999999,0.05181000000000002,-0.9641259999999999
0.26,0.568917,1.540035,0.51114,-0.971118,0.05777699999999997,-1.028895
0.28,0.5708,1.644294,0.510194,-1.073494,0.06060599999999994,-1.1340999999999999
0.3,0.535673,1.642934,0.493902,-1.1072609999999998,0.04177099999999995,-1.1490319999999998
0.32,0.461718,1.549553,0.460851,-1.0878349999999999,8.670000000000067e-4,-1.088702
0.34,0.363669,1.484075,0.416793,-1.120406,-0.053124000000000005,-1.067282
0.36,0.277944,1.514001,0.377758,-1.236057,-0.09981399999999996,-1.136243
0.38,0.232189,1.587245,0.356521,-1.355056,-0.12433199999999997,-1.230724
0.4,0.220387,1.62538,0.350793,-1.4049930000000002,-0.13040600000000002,-1.274587
0.42,0.21863,1.619334,0.34987,-1.4007040000000002,-0.13124000000000002,-1.2694640000000001
0.44,0.213138,1.607698,0.347372,-1.39456,-0.13423400000000002,-1.260326
0.46,0.204567,1.611228,0.343485,-1.4066610000000002,-0.13891799999999999,-1.267743
0.48,0.195013,1.626303,0.339174,-1.4312900000000002,-0.14416099999999998,-1.2871290000000002
0.5,0.182212,1.650688,0.333473,-1.468476,-0.151261,-1.317215
