q_inverse_angstroms,debye,propo{e=0.380}_ArginaseI,propo{e=0.380}_ArginaseI_relDiffDebye,propo{e=0.390}_ArginaseI,propo{e=0.390}_ArginaseI_relDiffDebye,propo{e=0.400}_ArginaseI,propo{e=0.400}_ArginaseI_relDiffDebye,propo{e=0.410}_ArginaseI,propo{e=0.410}_ArginaseI_relDiffDebye,propo{e=0.420}_ArginaseI,propo{e=0.420}_ArginaseI_relDiffDebye,propo{e=0.430}_ArginaseI,propo{e=0.430}_ArginaseI_relDiffDebye,propo{e=0.440}_ArginaseI,propo{e=0.440}_ArginaseI_relDiffDebye,propo{e=0.450}_ArginaseI,propo{e=0.450}_ArginaseI_relDiffDebye,strat{s=0.15}_ArginaseI,strat{s=0.15}_ArginaseI_relDiffDebye,strat{s=0.20}_ArginaseI,strat{s=0.20}_ArginaseI_relDiffDebye,strat{s=0.25}_ArginaseI,strat{s=0.25}_ArginaseI_relDiffDebye,strat{s=0.30}_ArginaseI,strat{s=0.30}_ArginaseI_relDiffDebye,strat{s=0.35}_ArginaseI,strat{s=0.35}_ArginaseI_relDiffDebye,strat{s=0.40}_ArginaseI,strat{s=0.40}_ArginaseI_relDiffDebye,strat{s=0.45}_ArginaseI,strat{s=0.45}_ArginaseI_relDiffDebye,strat{s=0.50}_ArginaseI,strat{s=0.50}_ArginaseI_relDiffDebye
0,62.708341,11.549866,81.58161128836115,11.253857,82.05365216088238,10.982653000000001,82.48613689206033,10.723909,82.89875185822568,10.465304,83.31114516328857,10.231456,83.68405887184927,10.010037,84.03715225060729,9.788745,84.39004310447314,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613,3.999908,93.62140994927613
0.02,59.825609,11.028664,81.56531260718131,10.746267,82.03734624749076,10.48754,82.469814891479,10.240706,82.88240408885767,9.99401,83.29476261578883,9.770938,83.66763303654794,9.559728,84.02067582797194,9.348644,84.3735080072482,3.823626,93.60871361961397,3.82089,93.61328691196441,3.821127,93.6128907605437,3.825388,93.60576839259589,3.823826,93.6083793146176,3.820447,93.61402739753137,3.824386,93.60744326062775,3.821675,93.61197476485363
0.04,51.911232,9.596398,81.51383114929732,9.351405,81.98577718209424,9.126965,82.41813062729855,8.91286,82.83057508633198,8.698893,83.24275370694343,8.505432,83.61543027913497,8.322275,83.96825758248234,8.139244,84.32084216379222,3.338088,93.56962285156322,3.328403,93.58827970023906,3.32897,93.58718745107032,3.343779,93.55865990620296,3.338642,93.56855564514439,3.326889,93.59119621741976,3.340209,93.56553703059869,3.330564,93.58411682465945
0.06,40.868701,7.594342,81.41770642526663,7.401633,81.88923841743832,7.225121,82.32113861411939,7.056764,82.73308466545095,6.888546,83.14469060320758,6.736477,83.51678219476563,6.592534,83.86899059992145,6.448716,84.22089314754585,2.656185,93.50068650334642,2.638354,93.54431646848771,2.638591,93.54373656260815,2.665004,93.47910764279,2.656692,93.49944594519899,2.635793,93.55058287759134,2.658372,93.49533521997677,2.640495,93.53907774068962
0.08,29.044317,5.444705,81.25380259415293,5.308135,81.7240150629123,5.183083,82.15457089247442,5.063847,82.56510215062039,4.94475,82.97515482977272,4.837124,83.34571269140191,4.735284,83.6963492720452,4.633571,84.046548589867,1.918543,93.39442893423868,1.89451,93.4771748979327,1.893429,93.48089679643698,1.927436,93.36381020769055,1.918152,93.3957751528466,1.89162,93.48712520938261,1.918388,93.39496260146176,1.894163,93.47836962390956
0.1,18.452931,3.512347,80.96591267804556,3.426241,81.43253773614609,3.347448,81.85953223365979,3.272368,82.26640526645875,3.197428,82.67251961219603,3.129753,83.03926351862476,3.065761,83.38604853613771,3.001895,83.73215073529511,1.248239,93.2355515771451,1.221898,93.37829854780252,1.219034,93.39381911740742,1.254151,93.2035133063685,1.24605,93.247414191274,1.219644,93.39051340949577,1.24403,93.25836096173558,1.217511,93.40207254879996
0.12,10.296301,2.017498,80.40560391542554,1.970431,80.86272924616325,1.927423,81.28043265246421,1.886502,81.67786664356451,1.84572,82.07395063528155,1.80895,82.43106917717344,1.774238,82.76819995841225,1.739651,83.10411671142869,0.721594,92.99171615126637,0.69725,93.22815057562906,0.693168,93.26779588125872,0.723333,92.97482659063677,0.717087,93.03548915285208,0.696097,93.23934877195218,0.713541,93.06992870546424,0.689436,93.30404190786574
0.14,4.887526,1.020466,79.12101132556634,0.999436,79.55129036653717,0.980296,79.94289953649351,0.962158,80.31400753673739,0.944159,80.68227156234053,0.928004,81.01280688839302,0.912819,81.32349577270791,0.89776,81.63160666562183,0.362204,92.58921589368528,0.343364,92.9746869888774,0.339362,93.0565689062319,0.360668,92.62064283647801,0.355505,92.72627910316999,0.342799,92.98624702968331,0.352158,92.79475955728931,0.334395,93.15819496407795
0.16,1.873617,0.460227,75.43644191955987,0.453828,75.7779738334996,0.4481,76.08369266504307,0.442764,76.3684893977798,0.437567,76.6458673250723,0.432994,76.88994068691734,0.428782,77.1147465036878,0.424697,77.33277398742646,0.152782,91.84561199007054,0.141346,92.45598219913676,0.138651,92.59982162843313,0.149846,92.00231424031699,0.144729,92.27542235152649,0.140139,92.52040304928916,0.142911,92.37245392201288,0.133504,92.87453092067375
0.18,0.565431,0.213363,62.265422306169995,0.213411,62.25693320670427,0.213592,62.22492222746896,0.213897,62.17098107461388,0.214342,62.092280048317114,0.214872,61.998546241716504,0.215496,61.888187948662164,0.216246,61.75554576951035,0.054087,90.43437660828643,0.049887,91.17717281153669,0.049039,91.32714690209768,0.05135,90.91843213407118,0.046084,91.84975708795591,0.047006,91.68669563571859,0.045698,91.91802359615939,0.044157,92.19055906025669
