q_inverse_angstroms,debye,propo{e=0.380}_CollagenLikePeptide,propo{e=0.380}_CollagenLikePeptide_relDiffDebye,propo{e=0.390}_CollagenLikePeptide,propo{e=0.390}_CollagenLikePeptide_relDiffDebye,propo{e=0.400}_CollagenLikePeptide,propo{e=0.400}_CollagenLikePeptide_relDiffDebye,propo{e=0.410}_CollagenLikePeptide,propo{e=0.410}_CollagenLikePeptide_relDiffDebye,propo{e=0.420}_CollagenLikePeptide,propo{e=0.420}_CollagenLikePeptide_relDiffDebye,propo{e=0.430}_CollagenLikePeptide,propo{e=0.430}_CollagenLikePeptide_relDiffDebye,propo{e=0.440}_CollagenLikePeptide,propo{e=0.440}_CollagenLikePeptide_relDiffDebye,propo{e=0.450}_CollagenLikePeptide,propo{e=0.450}_CollagenLikePeptide_relDiffDebye,strat{s=0.15}_CollagenLikePeptide,strat{s=0.15}_CollagenLikePeptide_relDiffDebye,strat{s=0.20}_CollagenLikePeptide,strat{s=0.20}_CollagenLikePeptide_relDiffDebye,strat{s=0.25}_CollagenLikePeptide,strat{s=0.25}_CollagenLikePeptide_relDiffDebye,strat{s=0.30}_CollagenLikePeptide,strat{s=0.30}_CollagenLikePeptide_relDiffDebye,strat{s=0.35}_CollagenLikePeptide,strat{s=0.35}_CollagenLikePeptide_relDiffDebye,strat{s=0.40}_CollagenLikePeptide,strat{s=0.40}_CollagenLikePeptide_relDiffDebye,strat{s=0.45}_CollagenLikePeptide,strat{s=0.45}_CollagenLikePeptide_relDiffDebye,strat{s=0.50}_CollagenLikePeptide,strat{s=0.50}_CollagenLikePeptide_relDiffDebye
0,183.629759,206.301854,12.346634403631702,201.402096,9.678353387154417,195.890682,6.676980390743742,191.604667,4.342927880224467,186.707107,1.675843837490415,182.422438,0.6574756763689961,178.750419,2.6571619036977623,174.467091,4.989751143767496,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913,144.19351700000001,21.475953687876913
0.02,170.366398,191.384032,12.33672499197875,186.840521,9.669819397132521,181.729884,6.670027736338004,177.755585,4.337232627293084,173.214271,1.6716166059929216,169.241317,0.6603890281227842,165.836484,2.65892456093366,161.864871,4.990143068001009,133.404144,21.695741903283064,135.328853,20.56599506200747,133.130491,21.85636806150001,134.208072,21.223860118237646,133.809171,21.458003121014517,134.034895,21.32550985787702,133.548338,21.61110432117019,133.88518,21.413388102505994
0.04,138.038853,155.046982,12.321262188407221,151.371221,9.658416967576516,147.236803,6.663305149311855,144.021786,4.3342384190920535,140.348222,1.6729847791476533,137.134551,0.6551068632829058,134.38053,2.6502125455939542,131.168199,4.97733344683761,107.340503,22.238919936548584,113.23971,17.965335455228672,106.504276,22.84471097423563,109.867632,20.408182470191917,108.522188,21.382867474275518,109.20488,20.888302368029667,107.726214,21.959497881368222,108.729519,21.232669906348754
0.06,102.48947,115.140086,12.343332441859637,112.417326,9.686708302813944,109.355034,6.698799398611395,106.973892,4.375495355766802,104.253329,1.721014851574505,101.873532,0.6009768613302419,99.834262,2.5907129776356554,97.455806,4.911396263440529,79.205661,22.718245103618926,87.760197,14.371498847637707,78.053991,23.841941030624902,82.954048,19.060906452145765,80.724331,21.23646360938347,81.714867,20.269987736301104,79.665343,22.269728782869112,81.017535,20.9503815367569
0.08,75.456752,84.849716,12.448142480344247,82.850308,9.798402136365484,80.601787,6.818521687760967,78.853578,4.501685945877984,76.856367,1.8548572035011677,75.109504,0.46019473512455633,73.612748,2.443789258249544,71.867225,4.757065345192688,58.41133,22.58965771545533,66.814422,11.453355426695284,57.51376,23.77917353240966,61.988818,17.84854720489426,59.498384,21.149025868486884,60.542446,19.76536970475485,58.824451,22.042163966983356,59.940332,20.56332877937815
0.1,58.677757,66.078185,12.611981742928593,64.527052,9.968504760671063,62.782841,6.9959797543045115,61.426873,4.68510751015926,59.877937,2.0453747064667165,58.523315,0.2632036531321452,57.362765,2.2410399906731207,56.009484,4.547332986842015,45.916829,21.74747068126684,52.502501,10.52401508803412,45.681617,22.14832444941615,48.211744,17.83642309299586,46.152981,21.345014943226275,47.174542,19.604046896339266,46.345684,21.016606002850452,46.93554,20.011359670752235
0.12,47.891991,54.006605,12.767508454597355,52.743748,10.130622884314832,51.323848,7.165826536633235,50.220123,4.861213642172454,48.959463,2.2289154777465865,47.857083,0.07288901394806158,46.912741,2.044705136606245,45.811701,4.343711665693744,38.000997,20.652709969815202,42.823943,10.582245369585904,38.393379,19.833403877487562,38.895549,18.78485695029884,37.503581,21.691330393843934,38.573221,19.457888063162798,38.474358,19.664317150648415,38.672124,19.251375454405313
0.14,39.419235,44.513915,12.924350256924056,43.477749,10.295770580022676,42.312877,7.340685327860877,41.407506,5.0439106694992875,40.373538,2.420906950629567,39.469512,0.12754433210081637,38.695188,1.8367860259084143,37.792503,4.126746751934676,31.722969,19.52413840603452,35.451926,10.064398763700007,32.405459,17.79277553204673,31.886817,19.108483459914936,30.868593,21.691547286496046,32.047184,18.701659228039304,32.136072,18.476165252826448,32.180722,18.362895677706575
0.16,32.325352,36.575175,13.147027757037261,35.728591,10.528080251067333,34.776998,7.584282454217347,34.037511,5.296644565541002,33.193125,2.6844966761692173,32.454984,0.4010227019337666,31.822846,1.5545259955715374,31.086045,3.833854616648888,26.403255,18.320286195182035,29.459235,8.866468027942906,27.063799,16.27686219781923,26.589641,17.743692319266938,25.493016,21.136153443897538,26.816807,17.04094359127165,26.737315,17.286855839961166,26.676487,17.475030124961982
0.18,26.711325,30.304103,13.45039229615155,29.607276,10.841659857756964,28.82416,7.909884665025042,28.21571,5.6320118900878295,27.521081,3.031508171159612,26.913977,0.7586744573696756,26.394157,1.1873914903135612,25.788393,3.455208605338745,22.124642,17.171304680692543,24.681393,7.599518181894754,22.646882,15.216178905389372,22.657647,15.17587764740236,21.239935,20.483409190670997,22.756732,14.804930118592019,22.567265,15.514243490354746,22.281346,16.584647148728113
